Name: standard EDGE-CALIFA galaxy name
rfVsys: CO relativistic helocentric vsys (km/s); see VsysFlag for how this was derived 
rfVsysFlag: how is Vsys derived; 0=CO kinematics; 1=Ha kinematics; 3=LEDA
rfRflat: the radius (arcsec) at which the rotation curve flattens from the Lelli+16 algorithm
rfVrotMax: the maximum CO rotation velocity (relativistic km/s) from the Lelli+2016 algorithm
rfeVrotMax: the error in rfVrotMax from the Lelli+2016 algorithm
rfVrotMaxFlag: 0 = either rfeVrotMax\rfVrotMax > 10% rfeVrotMax>rfVrotMax rfeVrotMax=0 so rfRflat rfVrotMax and rfeVrotMax values are unreliable; 1 = rfRflat rfVrotMax and rfeVrotMax value are reliable
rfPA: position angle (degrees) ranging from 0-365 degrees defined counterclockwise from North to approaching side of major axis; see PAFlag for how this was derived
rfPAFlag: this describes where the PA listed is from; 0=CO kinematics; 1=Ha kinematics; 2=outer optical isophotes; 3=LEDA
rfInc: inclination (degrees); see IncFlag for how this was derived
rfIncFlag: this describes where the inclination listed is from; 0=CO kinematics; 1=Ha kinematics; 2=outer optical isophotes; 3=LEDA
rfKinXoff: offset of CO kinematic center from RA (arcsec); RA=RA-xoff
rfKinYoff: offset of CO kinematic center from Dec (arcsec); Dec=Dec-yoff

Name, rfVsys, rfVsysFlag, rfRflat, rfVrotMax, rfeVrotMax, rfVrotMaxFlag, rfPA, rfPAFlag, rfInc, rfIncFlag, rfKinXoff, rfKinYoff
ARP220,5247.0,0,NaN,0.0,113.9,0,337.7,2,29.7,2,0.00,0.00
IC0480,4595.0,0,17.5,158.1,8.1,1,167.9,2,76.6,2,-1.60,-1.00
IC0540,2022.0,0,NaN,NaN,NaN,0,350.0,2,68.3,2,0.00,0.00
IC0944,6907.0,0,23.5,296.4,14.1,1,105.7,2,75.0,0,0.00,0.00
IC1151,2192.0,0,NaN,NaN,NaN,0,203.9,0,68.0,2,0.00,0.00
IC1199,4686.0,0,13.9,197.1,11.3,1,339.3,0,64.5,2,0.60,1.10
IC1683,4820.0,0,8.6,193.5,11.8,1,15.6,2,54.8,0,0.00,0.00
IC2247,4254.0,0,14.9,181.9,9.0,1,328.5,2,77.7,2,1.00,-1.00
IC2487,4310.0,0,18.4,170.8,8.6,1,162.9,2,77.9,2,0.00,0.00
IC4566,5537.0,0,10.9,214.0,16.8,1,145.0,0,53.9,2,0.00,0.00
IC5376,4979.0,0,15.1,205.0,12.7,1,3.4,2,71.6,2,0.00,0.00
NGC0444,4776.0,1,NaN,NaN,NaN,0,158.7,2,74.9,2,0.00,0.00
NGC0447,5552.0,0,NaN,NaN,NaN,0,227.0,0,29.1,2,0.80,0.80
NGC0477,5796.0,0,16.2,204.3,15.3,1,140.0,0,60.0,2,0.00,0.00
NGC0496,5958.0,0,11.9,136.2,7.7,1,36.5,0,57.0,2,-0.40,1.60
