Name: standard EDGE-CALIFA galaxy name
rfVsys: CO relativistic helocentric vsys (km/s); see VsysFlag for how this was derived 
rfVsysFlag: how is Vsys derived; 0=CO kinematics; 1=Ha kinematics; 3=LEDA
rfLSRK2helio: conversion from LSRK velocity to heliocentric velocity (km/s); V(helio)=V(LSRK)-LSRK2helio
rfRflat: the radius (arcsec) at which the rotation curve flattens from the Lelli+16 algorithm
rfVrotMaxL: the maximum CO rotation velocity (relativistic km/s) from the Lelli+2016 algorithm
rfeVrotMaxL: the error in rfVrotMaxL from the Lelli+2016 algorithm
rfVrotMaxLFlag: 0 = either rfeVrotMaxL\rfVrotMaxL > 10% rfeVrotMaxL>rfVrotMaxL rfeVrotMaxL=0 so rfRflat rfVrotMaxL and rfeVrotMaxL values are unreliable; 1 = rfRflat rfVrotMaxL and rfeVrotMaxL values are reliable
rfVrotMax: the maximum CO rotation velocity (relativistic km/s) using median Vrot at radii larger than 12 arcsec as used in Levy+18
rfeVrotMax: the error in rfVrotMax using standard deviation of Vrot at radii larger than 12 arcsec as used in Levy+18
rfPA: position angle (degrees) ranging from 0-365 degrees defined counterclockwise from North to approaching side of major axis; see PAFlag for how this was derived
rfPAFlag: this describes where the PA listed is from; 0=CO kinematics; 1=Ha kinematics; 2=outer optical isophotes; 3=LEDA
rfInc: inclination (degrees); see IncFlag for how this was derived
rfIncFlag: this describes where the inclination listed is from; 0=CO kinematics; 1=Ha kinematics; 2=outer optical isophotes; 3=LEDA
rfKinXoff: offset of CO kinematic center from ledaRA (arcsec); RA=ledaRA-xoff
rfKinYoff: offset of CO kinematic center from ledaDec (arcsec); Dec=ledaDE-yoff
rfKinRA: RA of kinematic center including rfKinXoff (J2000 hours); rfKinRA=ledaRA-rfKinXoff
rfKinDecl: Decl of kinematic center including rfKinYoff (J2000 degrees); rfKinDecl=ledaDE-rfKinYoff

Name, rfVsys, rfVsysFlag, rfLSRK2helio,rfRflat, rfVrotMaxL, rfeVrotMaxL, rfVrotMaxLFlag,rfVrotMax, rfeVrotMax,rfPA, rfPAFlag, rfInc, rfIncFlag,rfKinXoff, rfKinYoff, rfKinRA, rfKinDecl
ARP220,5247.0,0,-1.06,NaN,0.0,113.9,0,138.9,137.9,337.7,2,29.7,2,0.00,0.00,15.58258670,23.50266820
IC0480,4595.0,0,1.13,17.5,158.1,8.1,1,154.2,11.1,167.9,2,76.6,2,-1.60,-1.00,7.92313853,26.74309458
IC0540,2022.0,0,-1.94,NaN,NaN,NaN,0,NaN,NaN,350.0,2,68.3,2,0.00,0.00,9.50285530,7.90258960
IC0944,6907.0,0,-2.10,23.5,296.4,14.1,1,293.0,21.0,105.7,2,75.0,0,0.00,0.00,13.85857590,14.09197490
IC1151,2192.0,0,-2.09,NaN,NaN,NaN,0,NaN,NaN,203.9,0,68.0,2,0.00,0.00,15.97565070,17.44148200
IC1199,4686.0,0,-3.25,13.9,197.1,11.3,1,199.0,5.7,339.3,0,64.5,2,0.60,1.10,16.17618889,10.03976384
IC1683,4820.0,0,3.56,8.6,193.5,11.8,1,NaN,NaN,15.6,2,54.8,0,0.00,0.00,1.37746110,34.43700000
IC2247,4254.0,0,0.54,14.9,181.9,9.0,1,181.6,5.4,328.5,2,77.7,2,1.00,-1.00,8.26639198,23.19987928
IC2487,4310.0,0,-0.19,18.4,170.8,8.6,1,170.1,9.7,162.9,2,77.9,2,0.00,0.00,9.50255510,20.09090160
IC4566,5537.0,0,2.05,10.9,214.0,16.8,1,215.9,2.9,145.0,0,53.9,2,0.00,0.00,15.61171110,43.53935410
IC5376,4979.0,0,3.86,15.1,205.0,12.7,1,203.3,14.5,3.4,2,71.6,2,0.00,0.00,0.02215560,34.52572220
NGC0444,4776.0,1,3.17,NaN,NaN,NaN,0,NaN,NaN,158.7,2,74.9,2,0.00,0.00,1.26378970,31.08021320
NGC0447,5552.0,0,3.42,NaN,NaN,NaN,0,NaN,NaN,227.0,0,29.1,2,0.80,0.80,1.26042959,33.06741668
NGC0477,5796.0,0,4.28,16.2,204.3,15.3,1,197.7,12.7,140.0,0,60.0,2,0.00,0.00,1.35565440,40.48821480
NGC0496,5958.0,0,3.45,11.9,136.2,7.7,1,143.3,0.0,36.5,0,57.0,2,-0.40,1.60,1.38654321,33.52842756
