# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy name}
# - {name: bbRactr, unit: deg, datatype: float64, format: .4f, description: R.A. J2000 of center used by Bbarolo}
# - {name: bbDectr, unit: deg, datatype: float64, format: .4f, description: Dec. J2000 of center used by Bbarolo}
# - {name: bbVsys, unit: km / s, datatype: float64, format: .2f, description: Systemic velocity determined by Bbarolo (radio-LSR)}
# - {name: bbKinInc, unit: deg, datatype: float64, format: .2f, description: Inclination determined by Bbarolo}
# - {name: bbKinPA, unit: arcsec, datatype: float64, format: .2f, description: Position angle E from N determined by Bbarolo}
# - {name: bbMask, datatype: string, description: Identifier for cube mask}
# delimiter: ','
# meta: !!omap
# - {comments: Global fit parameters from Bbarolo on smo7 CO data}
# schema: astropy-2.0
Name,bbRactr,bbDectr,bbVsys,bbKinInc,bbKinPA,bbMask
ARP220,233.7385,23.5031,5324.47,29.70,149.69,de10_smo7_dil
IC0480,118.8468,26.7426,4569.22,76.60,353.38,de10_smo7_dil
IC1151,239.6347,17.4415,2159.90,68.00,24.56,smooth
IC1199,242.6431,10.0404,4665.76,64.50,161.68,de10_smo7_dil
IC1683,20.6621,34.4371,4774.87,54.80,199.58,de10_smo7_dil
IC2247,123.9960,23.1995,4221.71,77.70,151.88,de10_smo7_dil
IC2487,142.5384,20.0906,4284.22,77.90,347.87,de10_smo7_dil
IC4566,234.1757,43.5393,5497.08,53.90,327.43,de10_smo7_dil
NGC0447,18.9069,33.0678,5507.41,29.10,50.72,de10_smo7_dil
NGC0477,20.3349,40.4882,5735.29,60.00,319.68,de10_smo7_dil
NGC0496,20.7983,33.5292,5896.50,57.00,219.22,de10_smo7_dil
NGC0523,21.3362,34.0252,4726.69,71.60,106.89,de10_smo7_dil
NGC0551,21.9194,37.1829,5098.91,64.20,139.73,de10_smo7_dil
NGC1167,45.4265,35.2057,4851.20,39.50,263.20,de10_smo7_dil
NGC2253,100.9243,65.2063,3522.21,47.40,119.90,de10_smo7_dil
NGC2347,109.0174,64.7110,4355.43,50.20,8.45,de10_smo7_dil
NGC2410,113.7594,32.8221,4602.03,71.60,38.62,de10_smo7_dil
NGC2480,119.2935,23.7798,2261.30,55.40,160.66,de10_smo7_dil
NGC2487,119.5853,25.1492,4744.78,31.40,304.62,de10_smo7_dil
NGC2623,129.6003,25.7546,5422.45,45.60,77.28,de10_smo7_dil
NGC2639,130.9087,50.2056,3159.27,49.50,134.92,de10_smo7_dil
NGC2730,135.5660,16.8383,3773.45,27.70,79.57,de10_smo7_dil
