CALIFAID,log_M_star [Mo],SFR [Mo/yr],log_M_dust [Mo],log_M_H_2 [Mo],f_AGN
CALIFA001,10.75+/-0.06,0.51+/-0.11,-,9.23+/-0.05,-
CALIFA002,11.10+/-0.06,4.76+/-1.21,8.70+/-0.56,9.93+/-0.20,-
CALIFA003,10.5+/-0.04,3.34+/-0.66,7.9+/-0.69,9.27+/-0.04,-
CALIFA004,11.35+/-0.14,1.37+/-0.47,-,-,-
CALIFA005,10.5+/-0.05,2.12+/-0.72,7.99+/-0.25,9.21+/-0.02,-
CALIFA006,11.49+/-0.07,0.68+/-0.34,-,9.12+/-0.56,-
CALIFA007,11.09+/-0.04,0.15+/-0.16,8.4+/-0.03,9.43+/-0.17,-
CALIFA008,10.91+/-0.05,5.43+/-1.53,8.34+/-0.2,9.76+/-0.38,-
CALIFA009,11.21+/-0.03,7.06+/-2.47,7.86+/-0.14,9.59+/-0.1,-
CALIFA010,11.12+/-0.04,1.67+/-0.49,8.38+/-0.16,9.89+/-0.09,-
CALIFA011,10.17+/-0.05,2.12+/-0.21,7.7+/-0.18,8.97+/-0.09,-
CALIFA012,10.41+/-0.05,5.26+/-0.64,8.1+/-0.33,9.1+/-0.1,-
CALIFA013,10.59+/-0.04,0.72+/-0.16,7.85+/-0.21,8.94+/-0.02,0.16+/-0.04
CALIFA014,10.03+/-0.17,9.99+/-2.03,-,9.04+/-0.27,-
CALIFA015,10.41+/-0.06,1.5+/-0.7,-,9.0+/-0.76,-
CALIFA016,10.31+/-0.04,2.31+/-0.53,8.05+/-0.24,8.96+/-0.22,-
CALIFA017,10.96+/-0.02,0.0+/-0.0,-,-,0.41+/-0.05
CALIFA018,11.27+/-0.02,0.0+/-0.0,-,-,-
CALIFA019,10.26+/-0.05,1.2+/-0.39,-,8.62+/-0.34,0.63+/-0.03
CALIFA020,11.29+/-0.03,0.26+/-0.08,-,8.36+/-1.18,-
CALIFA021,10.84+/-0.03,1.58+/-0.3,8.3+/-0.24,9.63+/-0.25,-
CALIFA022,11.31+/-0.08,0.85+/-0.37,8.46+/-0.11,9.36+/-0.27,-
CALIFA023,10.99+/-0.07,2.89+/-0.92,8.12+/-0.05,9.01+/-0.11,-
CALIFA024,10.68+/-0.06,0.55+/-0.33,-,-,-
CALIFA025,11.05+/-0.03,2.47+/-0.34,8.54+/-0.04,9.62+/-0.09,-
CALIFA026,10.95+/-0.02,0.0+/-0.04,7.7+/-0.17,9.17+/-0.29,-
CALIFA027,9.56+/-0.02,0.12+/-0.07,7.35+/-0.03,7.75+/-0.01,-
CALIFA028,11.07+/-0.04,1.25+/-0.67,8.05+/-0.17,9.61+/-0.3,0.21+/-0.03
CALIFA029,11.41+/-0.03,0.26+/-0.09,7.89+/-0.05,-,-
CALIFA030,10.55+/-0.03,2.6+/-1.14,8.15+/-0.45,9.23+/-0.54,-
CALIFA031,10.92+/-0.03,2.93+/-2.46,8.51+/-0.19,9.74+/-0.64,-
CALIFA032,10.87+/-0.04,0.81+/-0.32,7.29+/-nan,-,-
CALIFA033,11.07+/-0.05,4.71+/-0.82,8.52+/-0.24,9.79+/-0.22,-
CALIFA034,11.22+/-0.05,8.25+/-2.55,8.26+/-0.31,9.61+/-0.07,-
CALIFA035,11.04+/-0.02,0.0+/-0.0,-,-,-
CALIFA036,11.1+/-0.02,0.03+/-0.02,-,-,0.43+/-0.05
CALIFA037,11.05+/-0.02,0.0+/-0.0,-,-,-
CALIFA038,11.33+/-0.04,1.48+/-0.56,8.13+/-0.07,9.33+/-0.05,0.31+/-0.04
CALIFA039,10.16+/-0.04,0.49+/-0.39,-,-,-
CALIFA040,10.08+/-0.04,0.47+/-0.25,7.37+/-nan,8.92+/-0.07,-
CALIFA041,10.29+/-0.03,0.55+/-0.24,-,9.17+/-0.23,-
CALIFA042,10.85+/-0.05,2.69+/-1.44,8.4+/-0.02,9.54+/-0.05,-
CALIFA043,10.72+/-0.02,0.07+/-0.19,7.68+/-nan,9.68+/-0.02,-
CALIFA044,11.53+/-0.02,0.1+/-0.04,-,-,-
CALIFA045,10.71+/-0.05,2.73+/-1.66,8.51+/-0.08,9.48+/-0.04,-
CALIFA046,10.99+/-0.02,0.01+/-0.0,-,-,-
CALIFA047,10.95+/-0.05,0.0+/-0.01,-,-,-
CALIFA048,10.89+/-0.02,1.65+/-0.08,8.07+/-0.26,9.65+/-0.02,-
CALIFA049,10.86+/-0.04,0.49+/-0.36,8.05+/-0.02,9.35+/-0.04,0.45+/-0.1
CALIFA050,11.29+/-0.03,0.01+/-0.0,-,8.36+/-0.13,-
CALIFA051,11.3+/-0.02,0.0+/-0.0,-,-,-
CALIFA052,10.8+/-0.05,1.59+/-1.1,8.3+/-0.02,9.39+/-0.04,-
CALIFA053,10.54+/-0.05,2.84+/-1.4,-,9.35+/-0.05,-
CALIFA054,10.98+/-0.04,0.0+/-0.0,-,8.84+/-0.54,-
CALIFA055,11.26+/-0.02,0.02+/-0.02,-,-,-
CALIFA056,9.49+/-0.02,0.18+/-0.12,-,8.07+/-0.21,-
CALIFA057,10.81+/-0.09,0.08+/-0.03,-,-,-
CALIFA058,10.09+/-0.03,1.64+/-0.3,7.8+/-0.4,8.85+/-0.15,-
CALIFA059,11.01+/-0.02,0.0+/-0.0,-,-,-
CALIFA060,9.61+/-0.12,2.66+/-0.67,-,-,-
CALIFA061,10.49+/-0.06,0.79+/-0.36,7.86+/-0.12,8.51+/-0.27,-
CALIFA062,11.24+/-0.05,0.0+/-0.0,-,-,-
CALIFA063,11.08+/-0.04,0.0+/-0.0,-,-,-
CALIFA064,10.14+/-0.02,0.58+/-0.12,6.92+/-0.14,8.05+/-0.67,-
CALIFA065,10.88+/-0.04,8.52+/-1.34,7.88+/-0.12,9.24+/-0.1,-
CALIFA066,11.08+/-0.04,0.26+/-0.21,-,9.49+/-0.34,-
CALIFA067,11.25+/-0.02,0.0+/-0.0,-,-,-
CALIFA068,11.7+/-0.02,0.0+/-0.0,-,-,-
CALIFA069,9.75+/-0.04,0.65+/-0.1,7.22+/-0.24,7.99+/-0.22,-
CALIFA070,11.2+/-0.02,0.45+/-0.22,-,9.26+/-0.45,-
CALIFA071,10.8+/-0.03,0.99+/-0.63,8.36+/-0.28,9.54+/-0.02,-
CALIFA072,11.18+/-0.03,0.09+/-0.03,-,-,-
CALIFA073,10.97+/-0.05,3.63+/-0.88,8.25+/-0.28,9.7+/-0.44,-
CALIFA074,10.68+/-0.02,0.0+/-0.0,-,-,-
CALIFA075,11.09+/-0.05,0.54+/-0.03,-,8.85+/-0.2,-
CALIFA076,11.69+/-0.07,0.08+/-0.04,-,-,-
CALIFA077,10.75+/-0.05,0.1+/-0.0,-,8.4+/-0.27,-
CALIFA078,10.79+/-0.04,0.0+/-0.0,-,8.41+/-0.83,-
CALIFA079,10.22+/-0.05,0.5+/-0.47,7.5+/-0.22,-,-
CALIFA080,10.91+/-0.02,0.0+/-0.0,-,-,-
CALIFA081,10.86+/-0.04,2.88+/-1.92,-,9.77+/-0.0,-
CALIFA082,10.76+/-0.09,1.0+/-0.41,-,-,-
CALIFA083,10.99+/-0.04,0.18+/-0.16,-,9.43+/-0.7,-
CALIFA084,10.74+/-0.03,8.09+/-1.11,8.0+/-0.17,9.32+/-0.47,-
CALIFA085,11.03+/-0.09,0.05+/-0.12,-,-,-
CALIFA086,10.87+/-0.08,1.17+/-0.46,7.54+/-0.13,9.12+/-0.45,-
CALIFA087,11.23+/-0.03,0.26+/-0.06,-,8.86+/-0.38,-
CALIFA088,10.66+/-0.05,2.33+/-1.06,7.96+/-nan,9.32+/-0.03,-
CALIFA089,9.68+/-0.04,0.68+/-0.11,7.3+/-0.11,8.16+/-0.36,-
CALIFA090,11.08+/-0.05,0.01+/-0.01,-,-,-
CALIFA091,-34.48+/-0.1,0.0+/-0.0,-37.89+/-0.02,7.83+/-0.28,-
CALIFA092,11.33+/-0.02,0.01+/-0.01,-,-,-
CALIFA093,11.06+/-0.05,0.36+/-0.02,-,-,-
CALIFA094,11.04+/-0.05,4.61+/-1.05,7.77+/-0.12,-,-
CALIFA095,-35.2+/-0.02,0.0+/-0.0,-,7.99+/-0.12,-
CALIFA096,11.23+/-0.1,0.1+/-0.12,-,8.63+/-0.87,-
CALIFA097,10.84+/-0.06,3.19+/-2.18,8.37+/-0.05,9.53+/-0.01,-
CALIFA098,11.06+/-0.02,0.0+/-0.0,-,-,-
CALIFA099,11.33+/-0.02,0.0+/-0.01,-,-,-
CALIFA100,10.24+/-0.06,1.16+/-0.4,7.1+/-0.16,8.57+/-0.04,-
CALIFA101,11.79+/-0.08,0.0+/-0.0,-,-,-
CALIFA102,11.2+/-0.06,2.28+/-0.77,8.5+/-0.06,9.51+/-0.33,-
CALIFA103,11.09+/-0.02,0.02+/-0.02,-,-,-
CALIFA104,11.21+/-0.02,0.0+/-0.0,-,-,-
CALIFA105,10.48+/-0.06,0.23+/-0.03,7.98+/-0.12,9.17+/-0.27,-
CALIFA106,10.92+/-0.04,1.02+/-0.43,-,-,-
CALIFA107,10.96+/-0.04,3.83+/-2.5,8.64+/-0.2,9.54+/-0.37,-
CALIFA108,10.83+/-0.07,2.44+/-0.96,-,9.38+/-0.3,0.1+/-0.04
CALIFA109,11.01+/-0.04,2.64+/-0.78,8.49+/-0.05,9.4+/-0.21,-
CALIFA110,10.65+/-0.05,0.87+/-0.34,-,9.42+/-0.28,-
CALIFA111,10.7+/-0.03,1.68+/-0.67,-,8.61+/-0.92,0.37+/-0.06
CALIFA112,11.74+/-0.03,0.09+/-0.05,-,-,-
CALIFA113,11.38+/-0.06,4.63+/-2.99,8.72+/-0.09,9.57+/-0.75,-
CALIFA114,11.74+/-0.04,16.53+/-4.93,8.76+/-0.17,-,-
CALIFA115,10.72+/-0.03,4.84+/-0.94,7.65+/-0.17,9.3+/-0.03,-
CALIFA116,10.8+/-0.05,2.64+/-1.93,8.45+/-0.12,9.67+/-0.26,-
CALIFA117,10.03+/-0.08,0.49+/-0.26,-,8.22+/-0.01,-
CALIFA118,11.18+/-0.02,0.02+/-0.0,-,-,-
CALIFA119,11.52+/-0.05,0.0+/-0.01,-,9.28+/-0.06,-
CALIFA120,10.8+/-0.04,0.0+/-0.0,7.97+/-0.02,-,-
CALIFA121,10.81+/-0.05,0.0+/-0.01,7.71+/-0.04,-,-
CALIFA122,10.98+/-0.05,3.53+/-1.46,-,9.78+/-0.09,-
CALIFA123,11.27+/-0.05,0.17+/-0.26,8.13+/-nan,-,-
CALIFA124,10.77+/-0.05,1.33+/-0.84,8.31+/-0.09,9.56+/-0.22,-
