#https://www.aanda.org/articles/aa/full_html/2015/10/aa24935-14/T3.html,,,,,,,,,
#Morphological parameters of the sample of interacting CALIFA galaxies used in this study.,,,,,,,,,
#(1) CALIFA ID number. For the objects not included in the CALIFA mother sample, we tag them as the ID of the CALIFA companion plus 1000. ,,,,,,,,
#(2) Name of the galaxy,
#(3) Morphological type from visual classification (see Walcher et al. 2014, for details). 
#(4) Interaction stage: 0,1,2,3, 4 represent non-interacting galaxies, objects include in a pair, galaxy in a binary system with clear signatures of interaction, merger remnant with evident tidal features, and merger remnant, respectively. 
#(5) For galaxies with uncertain interaction stage the alternative stage (see details of the definition in Sect. 2.1),
#(6) Stellar masses (see Walcher et al. 2014, for details).
CALIFA id,Name,Type,Stage,alternative stage,Stellar mass
14,UGC00312,Sd,1,-1,9.64
17,UGC00335NED02,E4,2,-1,10.73
22,NGC0169,Sab,2,-1,10.87
26,NGC0192,Sab,1,-1,10.73
39,NGC0444,Scd,1,-1,9.82
42,NGC0477,Sbc,1,2,10.38
44,NGC0499,E5,1,-1,11.26
119,NGC1167,S0,4,-1,11.58
127,NGC1349,E6,4,-1,11.14
155,UGC03995,Sb,2,-1,10.81
156,NGC2449,Sab,1,-1,10.74
165,UGC04132,Sbc,1,-1,10.65
186,IC2247,Sab,1,-1,10.39
213,NGC2623,Scd,3,-1,10.33
274,IC0540,Sab,1,-1,9.78
311,NGC3106,Sab,4,-1,11.21
314,UGC05498NED01,Sa,1,-1,10.69
340,NGC3303,S0a,2,-1,11.03
360,NGC3406NED01,S0,2,-1,11.34
475,NGC3991,Sm,2,-1,9.53
479,NGC4003,S0a,1,-1,10.98
486,UGC07012,Scd,1,-1,9.35
520,NGC4211NED02,S0a,2,-1,10.42
577,NGC4676,Sdm,2,-1,10.73
589,NGC4841A,E3,2,1,10.94
593,UGC08107,Sa,3,-1,10.96
633,NGC5216,E0,2,-1,10.48
634,NGC5218,Sab,2,-1,10.57
663,IC0944,Sab,1,-1,11.16
676,NGC5378,Sb,1,-1,10.52
680,NGC5394,Sbc,2,-1,10.38
740,NGC5614,Sa,2,-1,11.28
746,NGC5623,E7,4,0,10.8
758,NGC5682,Scd,1,-1,9.33
766,NGC5730,Scd,1,-1,9.61
767,NGC5731,Sd,1,-1,9.3
769,UGC09476,Sbc,1,-1,10.1
770,NGC5739,S0a,4,-1,11.4
778,NGC5784,S0,4,-1,11.14
780,NGC5797,E7,1,-1,10.59
781,IC1079,E4,1,-1,11.06
785,UGC09711,Sab,1,-1,10.76
795,NGC5930,Sab,2,-1,10.55
796,NGC5934,Sb,2,-1,10.93
797,UGC09873,Sb,1,-1,9.96
801,NGC5953,Sa,2,-1,10.33
802,ARP220,Sd,3,-1,10.83
803,NGC5957,Sb,1,-1,10.18
806,NGC5966,E4,1,-1,11.1
807,IC4566,Sb,1,-1,10.84
816,NGC6021,E5,1,-1,10.87
822,UGC10205,S0a,3,0,10.86
828,UGC10331,Sc,1,1,9.73
832,NGC6146,E5,1,-1,11.5
833,NGC6154,Sab,4,-1,10.84
843,UGC10650,Scd,1,-1,9.07
844,NGC6278,S0a,1,-1,10.48
846,UGC10695,E5,2,1,11.28
850,NGC6314,Sab,1,-1,11.15
852,UGC10796,Scd,1,2,9.24
858,UGC10905,S0a,4,-1,11.28
860,NGC6427,S0,1,-1,10.6
871,NGC6978,Sb,1,-1,10.97
873,UGC11680NED01,Sb,2,-1,10.96
874,NGC7025,S0a,3,0,11.26
877,UGC11717,Sab,1,2,10.8
882,NGC7236,S0,2,-1,11.12
883,UGC11958,S0,2,-1,11.19
892,VV488NED02,Sb,1,-1,10.19
900,NGC7550,E4,2,-1,11.49
901,NGC7549,Sbc,2,-1,10.32
903,NGC7562,E4,1,-1,11.23
905,UGC12494,Sd,1,-1,9.34
907,NGC7608,Sbc,1,-1,9.98
913,NGC7625,Sa,3,0,9.97
915,NGC7653,Sb,1,-1,10.39
916,NGC7671,S0,1,-1,10.85
922,UGC12688,Scd,2,4,9.91
923,NGC7711,E7,4,-1,10.96
925,NGC7722,Sab,3,0,11.24
927,NGC7738,Sb,4,0,11.01
932,NGC7783NED01,Sa,2,1,11.31
935,UGC12864,Sc,3,0,9.94
939,NGC4676B,S0a,2,-1,10.02
1014,UGC00312NOTES01,S0a,1,-1,9.71
1017,UGC00335NED01,E4,2,-1,10.19
1022,NGC0169A,S0,2,-1,10.21
1026,NGC0197,S0a,1,-1,9.12
1042,CGCG536-030,Sc,1,2,9.69
1044,NGC0495,S0a,1,-1,9.75
1340,NGC3303NED01,Sb,2,-1,10.33
1360,NGC3406NED02,S0,2,-1,10.23
1520,NGC4211NED01,S0a,2,-1,10.85
1589,NGC4841B,E0,2,1,10.82
1663,KUG1349+143,Sb,1,-1,10.16
1740,NGC5615,Ir,2,-1,9.28
1780,NGC5794,S0,1,-1,10.69
1781,IC1078,Sa,1,-1,10.45
1795,NGC5929,Sa,2,-1,10.47
1796,NGC5935,S0a,2,-1,10.8
1801,NGC5954,Sc,2,-1,9.96
1871,NGC6977,Sa,1,-1,10.85
1873,UGC11680NED02,E0,2,-1,9.45
