  14 UGC 00312         Sd   1      9.64
  17 UGC 00335NED02    E4   2     10.73
  22 NGC 0169          Sab  2     10.87
  26 NGC 0192          Sab  1     10.73
  39 NGC 0444          Scd  1      9.82
  42 NGC 0477          Sbc  1 (2) 10.38
  44 NGC 0499          E5   1     11.26
 119 NGC 1167          S0   4     11.58
 127 NGC 1349          E6   4     11.14
 155 UGC 03995         Sb   2     10.81
 156 NGC 2449          Sab  1     10.74
 165 UGC 04132         Sbc  1     10.65
 186 IC 2247           Sab  1     10.39
 213 NGC 2623          Scd  3     10.33
 274 IC 0540           Sab  1      9.78
 311 NGC 3106          Sab  4     11.21
 314 UGC 05498NED01    Sa   1     10.69
 340 NGC 3303          S0a  2     11.03
 360 NGC 3406NED01     S0   2     11.34
 475 NGC 3991          Sm   2      9.53
 479 NGC 4003          S0a  1     10.98
 486 UGC 07012         Scd  1      9.35
 520 NGC 4211NED02     S0a  2     10.42
 577 NGC 4676          Sdm  2     10.73
 589 NGC 4841A         E3   2 (1) 10.94
 593 UGC 08107         Sa   3     10.96
 633 NGC 5216          E0   2     10.48
 634 NGC 5218          Sab  2     10.57
 663 IC 0944           Sab  1     11.16
 676 NGC 5378          Sb   1     10.52
 680 NGC 5394          Sbc  2     10.38
 740 NGC 5614          Sa   2     11.28
 746 NGC 5623          E7   4 (0) 10.80
 758 NGC 5682          Scd  1      9.33
 766 NGC 5730          Scd  1      9.61
 767 NGC 5731          Sd   1      9.30
 769 UGC 09476         Sbc  1     10.10
 770 NGC 5739          S0a  4     11.40
 778 NGC 5784          S0   4     11.14
 780 NGC 5797          E7   1     10.59
 781 IC 1079           E4   1     11.06
 785 UGC 09711         Sab  1     10.76
 795 NGC 5930          Sab  2     10.55
 796 NGC 5934          Sb   2     10.93
 797 UGC 09873         Sb   1      9.96
 801 NGC 5953          Sa   2     10.33
 802 ARP 220           Sd   3     10.83
 803 NGC 5957          Sb   1     10.18
 806 NGC 5966          E4   1     11.10
 807 IC 4566           Sb   1     10.84
 816 NGC 6021          E5   1     10.87
 822 UGC 10205         S0a  3 (0) 10.86
 828 UGC 10331         Sc   1 (1)  9.73
 832 NGC 6146          E5   1     11.50
 833 NGC 6154          Sab  4     10.84
 843 UGC 10650         Scd  1      9.07
 844 NGC 6278          S0a  1     10.48
 846 UGC 10695         E5   2 (1) 11.28
 850 NGC 6314          Sab  1     11.15
 852 UGC 10796         Scd  1 (2)  9.24
 858 UGC10905          S0a  4     11.28
 860 NGC 6427          S0   1     10.60
 871 NGC 6978          Sb   1     10.97
 873 UGC 11680NED01    Sb   2     10.96
 874 NGC 7025          S0a  3 (0) 11.26
 877 UGC11717          Sab  1 (2) 10.80
 882 NGC 7236          S0   2     11.12
 883 UGC 11958         S0   2     11.19
 892 VV 488NED02       Sb   1     10.19
 900 NGC 7550          E4   2     11.49
 901 NGC 7549          Sbc  2     10.32
 903 NGC 7562          E4   1     11.23
 905 UGC 12494         Sd   1      9.34
 907 NGC 7608          Sbc  1      9.98
 913 NGC 7625          Sa   3 (0)  9.97
 915 NGC 7653          Sb   1     10.39
 916 NGC 7671          S0   1     10.85
 922 UGC 12688         Scd  2 (4)  9.91
 923 NGC 7711          E7   4     10.96
 925 NGC 7722          Sab  3 (0) 11.24
 927 NGC 7738          Sb   4 (0) 11.01
 932 NGC 7783NED01     Sa   2 (1) 11.31
 935 UGC 12864         Sc   3 (0)  9.94
 939 NGC 4676B         S0a  2     10.02
1014 UGC 00312NOTES01  S0a  1      9.71
1017 UGC 00335NED01    E4   2     10.19
1022 NGC 0169A         S0   2     10.21
1026 NGC 0197          S0a  1      9.12
1042 CGCG 536-030      Sc   1 (2)  9.69
1044 NGC 0495          S0a  1      9.75
1340 NGC 3303NED01     Sb   2     10.33
1360 NGC 3406NED02     S0   2     10.23
1520 NGC 4211NED01     S0a  2     10.85
1589 NGC 4841B         E0   2 (1) 10.82
1663 KUG 1349+143      Sb   1     10.16
1740 NGC 5615          Ir   2      9.28
1780 NGC 5794          S0   1     10.69
1781 IC 1078           Sa   1     10.45
1795 NGC 5929          Sa   2     10.47
1796 NGC 5935          S0a  2     10.80
1801 NGC 5954          Sc   2      9.96
1871 NGC 6977          Sa   1     10.85
1873 UGC 11680NED02    E0   2      9.45
