!! request processed by HyperLeda Mon Aug  6 20:05:43 2018
!! Number of lines in uploaded file: 177
!! Manually edited names for IC2247, NGC4211NED02, UGC05498NED01, NGC 6125
                  name                  |     objname     |     al2000      |     de2000      |      type       |       bar       |      ring       |    multiple     |        t        |       e_t       |     logd25      |    e_logd25     |     logr25      |    e_logr25     |       pa        |       bt        |      e_bt       |       it        |      e_it       |      vmaxg      |     e_vmaxg     |       m21       |      e_m21      |      mfir       |        v        |       e_v       |       ag        |      incl       |      bvtc       |      vrot       |     e_vrot      |     modbest     |    e_modbest    |      mabs       |     e_mabs      |
  ARP220                                |  IC1127         | 15.5825825      | 23.5028574      | Sm              |                 |                 |                 | 9.3             | 1.9             |  1.044          |    0.045        |  0.189          |    0.026        | 96.46           | 13.955          | 0.094           |                 |                 | 147.44          |   15.72         | 14.244          | 0.312           | 8.283           | 5427            | 6.8             | 0.22            | 56.98           | 0.656           | 175.83          |  18.88          |  34.585         |     0.192       | -21.208         |  0.213          |
  IC0480                                |  IC0480         | 7.923108        | 26.7426992      | Sbc             |                 |                 |                 | 4               | 0.4             |  1.243          |    0.033        |  0.726          |    0.025        | 167.29          | 15.035          | 0.297           | 13.199          | 0.16            | 152.52          |    3.15         | 15.52           | 0.162           | 12.117          | 4624.3          | 2.6             | 0.183           |   90            |                 | 152.52          |                 |   33.96         |     0.334       | -20.219         |  0.447          |
  IC0540                                |  IC0540         | 9.5028622       | 7.9027107       | Sab             |                 |                 |                 | 2.1             | 1.7             |   1.03          |    0.101        |  0.596          |    0.048        | 170.79          | 14.692          | 0.247           | 13.118          | 0.208           |   101           |    4.76         | 17.078          | 0.165           |                 | 2042.4          | 7.9             | 0.262           |   90            |                 |  101            |                 |  32.341         |      0.54       | -18.6           |  0.594          |
  IC0944                                |  IC0944         | 13.8585742      | 14.0921046      | Sa              |                 |                 |                 | 1.1             | 0.6             |  1.184          |    0.072        |  0.313          |     0.06        | 106.54          | 14.456          | 0.372           | 12.395          | 0.245           | 298.93          |    7.36         | 16.021          |  0.19           | 13.224          | 6995.9          | 1.2             | 0.106           | 67.58           |                 | 323.39          |   8.21          |  35.093         |     0.152       | -21.108         |  0.402          |
  IC1151                                |  IC1151         | 15.9756507      | 17.4414742      | SBc             | B               |                 |                 | 5.1             | 0.7             |  1.349          |    0.024        |  0.403          |    0.027        | 31.81           | 13.452          | 0.063           | 12.608          | 0.266           | 104.89          |    1.84         | 14.84           | 0.105           | 12.946          | 2173.2          | 3.3             | 0.164           | 69.61           | 0.412           | 111.9           |   1.99          |  33.439         |     0.073       | -20.844         |  0.096          |
  IC1199                                |  IC1199         | 16.1762056      | 10.0404167      | Sbc             |                 |                 |                 | 3.7             | 1.3             |  1.076          |    0.092        |  0.457          |     0.05        | 158             | 14.535          | 0.322           |                 |                 | 197.31          |   11.89         | 15.999          | 0.243           | 13.549          | 4724.7          | 5.5             | 0.228           | 74.75           |                 | 204.51          |  12.38          |  34.263         |     0.221       | -20.676         |   0.39          |
  IC1256                                |  IC1256         | 17.3964765      | 26.4864529      | Sb              |                 |                 |                 | 3.4             | 0.7             |  1.106          |    0.044        |  0.233          |    0.029        | 93.08           | 14.408          | 0.274           | 13.076          | 0.084           | 148.18          |    4.07         | 15.186          | 0.179           | 13.738          | 4733            | 3.2             | 0.212           | 56.8            |                 | 177.09          |   4.97          |  34.299         |     0.217       | -20.493         |   0.35          |
  IC1683                                |  IC1683         | 1.3774611       | 34.437          | Sb              |                 |                 |                 | 2.7             | 2.5             |  1.119          |    0.076        |   0.36          |    0.057        | 173.03          | 14.127          | 0.323           |                 |                 | 182.16          |   13.05         | 17.174          | 0.189           | 12.336          | 4881.8          | 9.7             | 0.217           | 69.03           |                 | 195.07          |  14.08          |  34.299         |     0.218       | -20.912         |  0.389          |
  IC2247                                |  UGC04299       | 8.2664118       | 23.199604       | Sbc             |                 |                 |                 | 4               | 0.4             |  1.261          |    0.031        |   0.83          |    0.037        | 149.14          | 14.038          | 0.225           | 12.735          | 0.26            | 182.96          |     4.2         | 16.074          | 0.121           | 12.671          | 4292.7          | 3.1             | 0.228           |   90            |                 | 182.96          |                 |  33.909         |     0.204       | -21.336         |  0.304          |
  IC2487                                |  IC2487         | 9.502554        | 20.0909112      | Sb              |                 | R               |                 | 3.1             | 0.5             |  1.264          |    0.031        |  0.599          |    0.022        | 164.34          | 14.131          | 0.28            | 12.855          | 0.207           | 170.84          |    4.58         | 14.89           |  0.21           | 13.488          | 4339.1          | 1.8             | 0.211           |   90            |                 | 170.84          |                 |  34.013         |     0.248       | -20.944         |  0.375          |
  IC4566                                |  IC4566         | 15.6117113      | 43.5393358      | Sb              | B               |                 |                 | 2.5             | 0.8             |  1.131          |    0.044        |  0.182          |    0.025        | 162.87          | 14.113          | 0.063           | 12.656          | 0.074           | 133.29          |    8.36         | 16.96           | 0.092           |                 | 5582            | 36.6            | 0.117           | 51.56           | 0.741           | 170.18          |  10.81          |  34.662         |     0.185       | -20.958         |  0.196          |
  IC5376                                |  IC5376         | 0.0221556       | 34.5257222      | Sab             |                 |                 |                 | 2               | 0.3             |  1.215          |    0.027        |   0.57          |    0.028        |  4              | 14.61           | 0.326           |                 |                 | 201.82          |    6.66         | 15.574          | 0.097           |                 | 5029.9          | 3.2             | 0.31            |   90            |                 | 201.82          |                 |   34.37         |      0.21       | -20.749         |  0.387          |
  NGC0444                               |  NGC0444        | 1.2637817       | 31.0801809      | Sc              |                 |                 |                 | 6.4             | 0.9             |  1.195          |     0.03        |  0.658          |    0.022        | 159.85          | 14.999          | 0.093           | 13.166          | 0.091           | 117.55          |    2.52         | 15.562          |  0.13           |                 | 4837            | 2.2             | 0.272           | 81.93           | 0.545           | 118.72          |   2.55          |  34.033         |       0.4       | -20.473         |  0.411          |
  NGC0447                               |  NGC0447        | 1.2604444       | 33.0676389      | S0-a            | B               |                 |                 | 0.2             | 0.7             |  1.345          |    0.055        |  0.012          |    0.048        |                 | 15.075          | 0.225           | 11.414          | 0.104           | 94.03           |    3.01         | 16.019          | 0.351           |                 | 5595            | 5.1             | 0.269           | 14.59           | 1.026           | 373.28          |  24.22          |  34.585         |     0.191       | -19.87          |  0.295          |
  NGC0477                               |  NGC0477        | 1.3556544       | 40.4882148      | Sc              | B               |                 |                 | 5               | 0.4             |  1.191          |    0.048        |   0.45          |    0.028        | 135.46          | 13.914          | 0.325           | 12.162          | 0.064           | 150.18          |    4.73         | 15.001          | 0.118           |                 | 5858.4          |   3             | 0.232           | 72.67           |                 | 157.33          |   4.98          |   34.82         |      0.03       | -21.921         |  0.326          |
