# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string}
# - {name: rdScaleMol, unit: kpc, datatype: float64, description: Exponential scale
#     length for CO disk derived by filling in undetected values in annulii with 1-sigma}
# - {name: rdeScaleMol, unit: kpc, datatype: float64, description: Statistical error
#     from fit to exponential scale length}
# - {name: rdScaleMolHi, unit: kpc, datatype: float64, description: Upper limit to exponential
#     scale length by filling in annuli with 2-sigma values}
# - {name: rdScaleMolLo, unit: kpc, datatype: float64, description: Lower limit to exponential
#     scale length by filling in annulii with zeros}
# - {name: rdNormMol, unit: solMass / pc2, datatype: float64, description: 'Normalization
#     of CO exponential disk profile, i.e. density at R=0'}
# - {name: rdeNormMol, unit: solMass / pc2, datatype: float64, description: Error in
#     normalization of CO exponential disk profile}
# - {name: rdScaleSt, unit: kpc, datatype: float64, description: Exponential scale length
#     for the mass of the stellar disk}
# - {name: rdeScaleSt, unit: kpc, datatype: float64, description: Formal error in stellar
#     scale length fit}
# - {name: rdNormSt, unit: solMass / pc2, datatype: float64, description: 'Normalization
#     of stellar exponential disk profile, i.e. density at R=0'}
# - {name: rdeNormSt, unit: solMass / pc2, datatype: float64, description: Formal error
#     in stellar disk normalization}
# - {name: rdR50Mol, unit: kpc, datatype: float64, description: Radius enclosing 50%
#     of the molecular mass}
# - {name: rdeR50Mol, unit: kpc, datatype: float64, description: 'Error in radius enclosing
#     50% of the molecular mass, including beam size'}
# - {name: rdR50St, unit: kpc, datatype: float64, description: Radius enclosing 50%
#     of the stellar mass}
# - {name: rdeR50St, unit: kpc, datatype: float64, description: 'Error in radius enclosing
#     50% of the stellar mass, including beam size'}
# - {name: rdScaleSFR, unit: kpc, datatype: float64, description: Exponential scale
#     length for SFR from extinction corrected Ha}
# - {name: rdeScaleSFR, unit: kpc, datatype: float64, description: Error in exponential
#     scale length for SFR from extinction corrected Ha}
# delimiter: ','
Name,rdScaleMol,rdeScaleMol,rdScaleMolHi,rdScaleMolLo,rdNormMol,rdeNormMol,rdScaleSt,rdeScaleSt,rdNormSt,rdeNormSt,rdR50Mol,rdeR50Mol,rdR50St,rdeR50St,rdScaleSFR,rdeScaleSFR
ARP220,1.59,0.69,1.81,1.25,991.09,3.48,2.55,0.2,2314.26,1.27,1.34,0.23,3.23,0.07,1.24,0.79
IC0480,2.23,0.19,2.62,1.77,132.35,1.19,3.08,0.32,285.9,1.22,3.3,0.09,4.6,0.07,2.58,0.41
IC0540,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
IC0944,5.16,0.19,6.01,4.2,65.87,1.08,5.06,0.15,1087.18,1.07,6.92,0.04,6.85,0.04,8.7,0.79
IC1151,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.35,0.13,nan,nan
IC1199,4.21,0.65,6.06,2.55,31.59,1.19,2.58,0.23,1225.34,1.26,4.23,0.09,4.36,0.07,2.55,0.62
IC1683,1.65,0.36,2.07,1.22,264.32,1.68,2.38,0.09,1196.75,1.11,1.99,0.12,3.31,0.07,1.33,0.21
IC2247,2.91,0.17,3.69,2.11,66.84,1.13,2.62,0.13,746.43,1.12,4.42,0.07,4.04,0.07,2.79,0.46
IC2487,3.82,0.26,4.81,2.74,30.46,1.12,3.83,0.09,360.23,1.06,4.92,0.07,5.96,0.05,5.36,0.54
IC4566,5.75,4212.51,11.04,5.61,34.38,inf,3.22,0.07,1207.18,1.06,6.27,0.08,4.8,0.05,-5.77,1.3534e+13
IC5376,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.72,0.06,nan,nan
NGC0444,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.69,0.05,nan,nan
NGC0447,nan,nan,nan,nan,nan,nan,3.46,5.44,1938.79,3.94,nan,nan,1.97,0.13,nan,nan
NGC0477,13.12,8.77,19.37,8.38,12.97,1.5,5.28,0.4,322.03,1.15,9.07,0.08,6.39,0.04,7.95,35.13
NGC0496,3.31,0.65,4.42,2.33,55.17,1.35,4.3,0.11,479.79,1.05,3.74,0.07,6.16,0.05,2.32,0.23
NGC0523,13.46,12.49,18.24,9.63,18.47,1.55,3.9,0.13,572.18,1.12,6.99,0.06,6.84,0.04,-8.87,1.54
NGC0528,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.29,0.07,nan,nan
NGC0551,10.22,67.78,20.92,4.63,13.17,38.64,3.75,0.07,711.31,1.04,6.74,0.07,5.23,0.05,-4.64,75.05
