# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coRactr_e20, unit: deg, datatype: float64, format: .4f, description: Reference R.A. of e20 CARMA cube}
# - {name: coDectr_e20, unit: deg, datatype: float64, format: .4f, description: Reference Dec. of e20 CARMA cube}
# - {name: coCtrint_e20, unit: K km / s, datatype: float64, format: .3f, description: Unmasked CO intensity at reference pixel}
# - {name: coBmaj_e20, unit: arcsec, datatype: float64, format: .3f, description: Beam major axis of e20 co cube}
# - {name: coBmin_e20, unit: arcsec, datatype: float64, format: .3f, description: Beam minor axis of e20 co cube}
# - {name: coBpa_e20, unit: deg, datatype: float64, format: .3f, description: Beam pos ang (deg E of N) of e20 co cube}
# - {name: coNomask_e20, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from unmasked e20 cube}
# - {name: coeNomask_e20, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from unmasked e20 cube}
# - {name: coNomaskDv_e20, unit: km / s, datatype: float64, format: .3f, description: co velocity width for unmasked e20 cube}
# - {name: coDilated_e20, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from dilated-masked e20 cube}
# - {name: coeDilated_e20, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from dilated-masked e20 cube}
# - {name: coSmooth_e20, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from smoothed-masked e20 cube}
# - {name: coeSmooth_e20, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from smoothed-masked e20 cube}
# - {name: coSmoothDv_e20, unit: km / s, datatype: float64, format: .3f, description: co velocity width for smooth-masked e20 cube}
# - {name: coMask2d_e20, unit: Jy km / s, datatype: float64, format: .3f, description: co flux from 2D masked e20 cube}
# - {name: coeMask2d_e20, unit: Jy km / s, datatype: float64, format: .3f, description: co flux uncertainty from 2D masked e20 cube}
# - {name: coSNRmax_e20, datatype: float64, format: .3f, description: Maximum SNR of co in e20 cube}
# - {name: coSNR4pix_e20, datatype: float64, format: .3f, description: Number of XY pixels with co peak Tb > 4 sigma}
# - {name: coSNR5pix_e20, datatype: float64, format: .3f, description: Number of XY pixels with co peak Tb > 5 sigma}
# - {name: cottBmaj_e20, unit: arcsec, datatype: float64, format: .3f, description: Beam major axis of e20 13co cube}
# - {name: cottBmin_e20, unit: arcsec, datatype: float64, format: .3f, description: Beam minor axis of e20 13co cube}
# - {name: cottBpa_e20, unit: deg, datatype: float64, format: .3f, description: Beam pos ang (deg E of N) of e20 13co cube}
# - {name: cottNomask_e20, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from unmasked e20 cube}
# - {name: cotteNomask_e20, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from unmasked e20 cube}
# - {name: cottNomaskDv_e20, unit: km / s, datatype: float64, format: .3f, description: 13co velocity width for unmasked e20 cube}
# - {name: cottDilated_e20, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from dilated-masked e20 cube}
# - {name: cotteDilated_e20, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from dilated-masked e20
#     cube}
# - {name: cottSmooth_e20, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from smoothed-masked e20 cube}
# - {name: cotteSmooth_e20, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from smoothed-masked e20
#     cube}
# - {name: cottSmoothDv_e20, unit: km / s, datatype: float64, format: .3f, description: 13co velocity width for smooth-masked e20 cube}
# - {name: cottMask2d_e20, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux from 2D masked e20 cube}
# - {name: cotteMask2d_e20, unit: Jy km / s, datatype: float64, format: .3f, description: 13co flux uncertainty from 2D masked e20 cube}
# - {name: cottSNRmax_e20, datatype: float64, format: .3f, description: Maximum SNR of 13co in e20 cube}
# - {name: cottSNR4pix_e20, datatype: float64, format: .3f, description: Number of XY pixels with 13co peak Tb > 4 sigma}
# - {name: cottSNR5pix_e20, datatype: float64, format: .3f, description: Number of XY pixels with 13co peak Tb > 5 sigma}
# delimiter: ','
# schema: astropy-2.0
Name,coRactr_e20,coDectr_e20,coCtrint_e20,coBmaj_e20,coBmin_e20,coBpa_e20,coNomask_e20,coeNomask_e20,coNomaskDv_e20,coDilated_e20,coeDilated_e20,coSmooth_e20,coeSmooth_e20,coSmoothDv_e20,coMask2d_e20,coeMask2d_e20,coSNRmax_e20,coSNR4pix_e20,coSNR5pix_e20,cottBmaj_e20,cottBmin_e20,cottBpa_e20,cottNomask_e20,cotteNomask_e20,cottNomaskDv_e20,cottDilated_e20,cotteDilated_e20,cottSmooth_e20,cotteSmooth_e20,cottSmoothDv_e20,cottMask2d_e20,cotteMask2d_e20,cottSNRmax_e20,cottSNR4pix_e20,cottSNR5pix_e20
ARP220,233.7383,23.5037,361.021,12.390,6.060,-66.500,299.655,31.342,1600.000,463.470,6.101,473.831,9.965,780.000,430.698,21.360,42.650,433.000,312.000,12.850,6.240,-65.800,26.249,19.296,1600.000,nan,nan,nan,nan,nan,nan,nan,4.277,15.000,0.000
IC0480,118.8467,26.7411,26.484,7.870,6.440,-87.300,47.856,37.970,860.000,81.413,4.801,99.406,11.423,420.000,86.530,26.627,8.354,179.000,114.000,8.060,6.630,87.700,5.062,19.374,860.000,nan,nan,nan,nan,nan,nan,nan,4.106,7.000,0.000
IC0540,142.5429,7.9028,29.735,7.400,6.590,-22.600,-0.894,49.510,860.000,7.683,1.892,nan,nan,nan,nan,nan,4.453,16.000,0.000,7.740,6.700,-26.300,-6.305,21.407,860.000,nan,nan,nan,nan,nan,nan,nan,4.346,14.000,0.000
IC0944,207.8787,14.0922,39.596,13.500,6.450,-73.200,17.127,22.712,860.000,87.059,4.724,88.380,7.262,640.000,62.692,14.434,6.982,350.000,104.000,14.040,6.650,-72.800,8.268,13.474,860.000,nan,nan,nan,nan,nan,nan,nan,4.658,18.000,0.000
IC1151,239.6346,17.4414,1.046,8.270,6.570,-41.600,-32.463,49.745,860.000,nan,nan,nan,nan,nan,nan,nan,4.390,9.000,0.000,8.660,6.780,-41.600,-16.070,21.695,860.000,nan,nan,nan,nan,nan,nan,nan,4.403,26.000,0.000
IC1199,242.6429,10.0404,22.380,8.630,6.220,-50.800,-8.374,34.913,860.000,nan,nan,31.576,8.276,260.000,8.210,21.732,4.370,13.000,0.000,9.010,6.410,-51.000,-7.800,17.235,860.000,nan,nan,nan,nan,nan,nan,nan,4.323,8.000,0.000
IC1256,260.9471,26.4865,-1.915,8.570,6.010,-59.200,-20.045,77.430,860.000,nan,nan,nan,nan,nan,nan,nan,4.746,18.000,0.000,9.020,6.250,-58.100,-14.229,43.862,860.000,nan,nan,nan,nan,nan,nan,nan,4.220,9.000,0.000
IC1683,20.6621,34.4371,62.578,11.350,6.740,64.100,31.126,28.459,860.000,90.421,4.543,89.599,7.549,420.000,65.392,13.802,10.100,256.000,157.000,11.870,6.850,64.400,-13.595,15.689,860.000,nan,nan,nan,nan,nan,nan,nan,4.014,1.000,0.000
IC2247,123.9963,23.1996,39.223,10.080,6.690,-52.700,-6.630,30.995,860.000,86.381,4.875,101.521,8.534,480.000,107.153,17.296,6.955,282.000,160.000,10.230,6.850,-54.300,8.451,16.754,860.000,nan,nan,nan,nan,nan,nan,nan,4.544,28.000,0.000
IC2487,142.5383,20.0908,13.774,11.360,7.840,-85.300,20.692,31.354,860.000,39.388,3.862,54.501,7.513,420.000,25.696,17.321,5.052,133.000,2.000,11.740,7.970,-86.700,-6.931,16.478,860.000,nan,nan,nan,nan,nan,nan,nan,3.876,0.000,0.000
IC4566,234.1758,43.5393,3.845,8.370,6.220,84.200,-16.641,28.577,860.000,20.194,2.519,51.413,7.145,460.000,30.993,17.846,5.854,56.000,11.000,8.540,6.370,84.500,-13.034,17.795,860.000,nan,nan,nan,nan,nan,nan,nan,4.446,10.000,0.000
IC5376,0.3325,34.5257,4.180,8.540,6.530,-65.000,-13.873,26.933,860.000,5.372,1.339,nan,nan,nan,nan,nan,4.505,30.000,0.000,8.800,6.700,-65.600,19.286,14.978,860.000,nan,nan,nan,nan,nan,nan,nan,5.370,49.000,5.000
NGC0444,18.9567,31.0806,0.653,7.370,6.370,-43.000,2.548,29.053,860.000,nan,nan,nan,nan,nan,nan,nan,4.341,19.000,0.000,7.420,6.540,-46.700,6.648,15.621,860.000,2.153,0.729,nan,nan,nan,nan,nan,5.154,67.000,1.000
NGC0447,18.9067,33.0678,40.958,7.080,6.330,-60.900,36.116,30.591,860.000,30.610,2.509,42.744,6.687,280.000,29.206,16.923,7.362,93.000,55.000,7.310,6.430,-60.300,21.733,19.594,860.000,nan,nan,nan,nan,nan,nan,nan,4.993,36.000,0.000
NGC0477,20.3354,40.4881,11.583,7.030,6.640,-60.100,-4.376,25.978,860.000,4.797,1.218,nan,nan,nan,nan,nan,4.606,23.000,0.000,7.300,6.740,-61.100,-18.587,16.909,860.000,nan,nan,nan,nan,nan,nan,nan,4.711,19.000,0.000
NGC0496,20.7983,33.5293,17.841,8.720,7.030,-80.300,-5.127,29.935,860.000,54.896,3.600,69.467,7.435,340.000,56.180,16.254,6.862,294.000,138.000,8.980,7.110,-80.200,-10.095,20.802,860.000,nan,nan,nan,nan,nan,nan,nan,4.123,2.000,0.000
NGC0523,21.3362,34.0249,21.439,7.590,6.450,-85.500,9.145,34.808,860.000,116.009,5.604,129.655,11.803,520.000,39.903,26.940,8.178,297.000,152.000,7.830,6.520,-86.300,-36.894,19.267,860.000,nan,nan,nan,nan,nan,nan,nan,4.569,13.000,0.000
