# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbVdisp_e1, unit: km / s, datatype: float64}
# - {name: bbVdisp_e2, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# - {name: bbNpix, datatype: int64, description: number of pixels in ring}
# - {name: bbIntens, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: bbIntensRMS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbVdisp_e1,bbVdisp_e2,bbXpos,bbYpos,bbVmean,bbPA,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag,bbNpix,bbIntens,bbIntensRMS
ARP220,1.5,0.363,-4.59,3.86,171.75,-9.181,7.721,88.318,87.104,5339.433,154.096,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,24,8.647,2.561
ARP220,4.5,0.324,-1.502,1.103,150.449,-3.004,2.206,88.318,87.104,5339.433,154.096,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,73,2.178,1.534
ARP220,7.5,5.918,-1.486,1.452,497.382,-2.971,2.905,88.318,87.104,5339.433,154.096,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,122,0.3227,0.2988
ARP220,10.5,418.93,-60.003,75.801,9.246,-4.472,4.472,88.318,87.104,5339.433,154.096,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,152,0.08047,0.09251
ARP220,13.5,0.055,-1.566,1.566,5.396,-3.131,3.131,88.318,87.104,5339.433,154.096,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,50,0.01817,0.01686
ARP220,16.5,272.716,-59.71,55.893,1.235,-29.855,27.947,88.318,87.104,5339.433,154.096,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,25,0.01154,0.004841
ARP220,19.5,13.64,-1.167,1.139,8.149,-2.335,2.279,88.318,87.104,5339.433,154.096,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,25,0.01464,0.005557
ARP220,22.5,0.382,-1.306,1.434,9.735,-2.613,2.868,88.318,87.104,5339.433,154.096,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,24,0.01712,0.008182
IC0480,1.5,161.237,-21.433,16.027,10.818,-7.235,4.626,88.455,94.29,4592.609,351.684,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,7,0.7602,0.03934
IC0480,4.5,90.484,-21.033,19.951,61.079,-10.517,9.976,88.455,94.29,4592.609,351.684,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,18,0.6094,0.08176
IC0480,7.5,95.691,-25.675,27.515,71.778,-12.837,13.758,88.455,94.29,4592.609,351.684,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,34,0.4339,0.105
IC0480,10.5,109.759,-12.513,9.747,55.706,-12.775,12.775,88.455,94.29,4592.609,351.684,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,44,0.2852,0.07825
IC0480,13.5,149.772,-27.943,22.719,44.951,-14.647,14.647,88.455,94.29,4592.609,351.684,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,60,0.1793,0.05639
IC0480,16.5,193.551,-9.1,8.641,10.462,-8.231,9.837,88.455,94.29,4592.609,351.684,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,71,0.1028,0.04605
IC0480,19.5,206.525,-8.642,6.832,7.593,-2.302,2.882,88.455,94.29,4592.609,351.684,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,77,0.05738,0.03899
