# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbVdisp_e1, unit: km / s, datatype: float64}
# - {name: bbVdisp_e2, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbVmean_e1, unit: km / s, datatype: float64}
# - {name: bbVmean_e2, unit: km / s, datatype: float64}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbPA_e1, unit: deg, datatype: float64}
# - {name: bbPA_e2, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# delimiter: ','
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbVdisp_e1,bbVdisp_e2,bbXpos,bbYpos,bbVmean,bbVmean_e1,bbVmean_e2,bbPA,bbPA_e1,bbPA_e2,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag
ARP220,1.5,0.363,-3.151,3.268,169.262,-8.718,8.732,88.318,87.104,5326.706,-2.521,2.614,158.942,-1.365,1.726,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,4.5,0.324,-13.803,14.199,146.475,-12.83,12.83,88.318,87.104,5307.213,-36.643,36.643,155.144,-5.737,7.323,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,7.5,330.391,-36.442,36.442,6.852,-3.619,2.383,88.318,87.104,5328.97,-45.951,81.827,143.367,-3.484,3.484,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,10.5,327.633,-48.458,52.291,7.129,-2.885,2.885,88.318,87.104,5299.742,-61.901,77.289,152.952,-6.429,6.429,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,13.5,216.675,-21.639,28.601,7.562,-3.105,2.542,88.318,87.104,5742.193,-266.563,211.81,146.018,-1.172,1.447,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,16.5,171.788,-13.467,10.411,7.571,-2.909,2.167,88.318,87.104,6139.578,-8.348,7.398,161.462,-17.015,17.015,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,19.5,179.446,-14.012,18.427,7.933,-2.385,2.87,88.318,87.104,5349.896,-483.917,487.441,158.62,-1.845,2.946,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,22.5,122.879,-14.981,24.97,8.908,-2.681,2.769,88.318,87.104,5952.634,-4.54,7.259,152.902,-1.659,2.091,29.7,0.265,1,1,0,0,1,1,0,1,1,0
IC0480,1.5,146.237,-14.502,12.871,9.068,-4.146,2.907,88.455,94.29,4616.258,-4.954,4.356,355.229,-1.169,1.647,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,4.5,212.209,-13.418,16.152,9.313,-5.489,3.444,88.455,94.29,4648.28,-26.385,23.676,340.889,-5.067,6.69,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,7.5,191.139,-14.072,11.503,8.332,-5.182,3.157,88.455,94.29,4495.972,-15.604,13.472,359.548,-4.769,4.769,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,10.5,200.323,-15.317,12.356,8.437,-6.37,3.401,88.455,94.29,4506.306,-34.007,46.442,359.863,-13.923,15.55,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,13.5,216.541,-5.565,5.593,7.559,-7.07,7.07,88.455,94.29,4628.118,-4.798,4.177,352.405,-6.558,4.045,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,16.5,212.755,-9.352,13.169,8.242,-5.871,5.871,88.455,94.29,4610.691,-9.005,7.434,345.762,-3.952,5.728,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,19.5,186.603,-12.245,9.591,8.831,-3.982,5.02,88.455,94.29,4574.528,-4.057,3.653,356.273,-5.071,4.566,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,22.5,168.917,-6.905,6.231,8.661,-2.582,2.174,88.455,94.29,4547.384,-2.177,2.005,337.129,-1.025,0.759,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0540,1.5,206.776,-25.375,19.05,8.381,-4.539,5.335,89.846,88.051,2163.768,-187.052,153.516,164.613,-4.939,7.06,68.3,0.69,1,1,0,0,1,1,0,1,1,0
IC0540,4.5,167.168,-39.735,32.257,7.194,-11.055,11.055,89.846,88.051,2441.31,-183.024,183.024,174.579,-10.281,7.48,68.3,0.69,1,1,0,0,1,1,0,1,1,0
IC0540,7.5,56.221,-12.654,12.654,8.458,-2.247,2.915,89.846,88.051,2231.626,-165.081,124.781,183.912,-44.996,35.088,68.3,0.69,1,1,0,0,1,1,0,1,1,0
IC0540,10.5,38.728,-8.269,6.724,3.42,-2.598,2.598,89.846,88.051,2011.03,-87.253,72.864,180.99,-2.362,2.026,68.3,0.69,1,1,0,0,1,1,0,1,1,0
IC0540,13.5,160.713,-12.428,16.237,7.369,-8.32,8.32,89.846,88.051,2485.048,-6.417,7.867,177.598,-4.921,6.912,68.3,0.69,1,1,0,0,1,1,0,1,1,0
IC0944,1.5,181.795,-18.539,12.971,8.311,-5.003,5.003,89.454,88.992,6816.978,-7.559,6.167,295.775,-6.693,6.693,75.0,0.205,1,1,0,0,1,1,0,1,1,0
IC0944,4.5,180.954,-12.974,9.074,8.719,-6.826,6.826,89.454,88.992,6856.698,-23.056,20.509,288.752,-6.894,6.894,75.0,0.205,1,1,0,0,1,1,0,1,1,0
IC0944,7.5,157.647,-13.227,15.812,9.763,-7.68,8.112,89.454,88.992,6846.516,-17.584,21.454,270.917,-4.377,4.377,75.0,0.205,1,1,0,0,1,1,0,1,1,0
IC0944,10.5,190.271,-17.138,17.299,8.653,-6.803,7.362,89.454,88.992,6804.626,-22.116,33.082,288.486,-9.82,8.016,75.0,0.205,1,1,0,0,1,1,0,1,1,0
IC0944,13.5,231.113,-21.711,16.049,7.865,-2.332,2.966,89.454,88.992,6797.252,-25.336,30.931,293.144,-6.171,4.575,75.0,0.205,1,1,0,0,1,1,0,1,1,0
IC0944,16.5,207.492,-10.369,7.942,8.099,-2.257,3.007,89.454,88.992,6777.458,-29.342,27.054,295.336,-10.492,9.501,75.0,0.205,1,1,0,0,1,1,0,1,1,0
