# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbVdisp_e1, unit: km / s, datatype: float64}
# - {name: bbVdisp_e2, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# - {name: bbNpix, datatype: int64, description: number of pixels in ring}
# - {name: bbIntens, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: bbIntensRMS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbVdisp_e1,bbVdisp_e2,bbXpos,bbYpos,bbVmean,bbPA,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag,bbNpix,bbIntens,bbIntensRMS
ARP220,1.5,0.008,-4.355,4.108,164.991,-8.709,8.216,88.318,87.104,5295.846,149.202,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,24,8.763,2.593
ARP220,4.5,1.271,-1.481,1.204,152.571,-2.961,2.408,88.318,87.104,5295.846,149.202,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,73,2.232,1.575
ARP220,7.5,116.492,-1.193,1.296,126.588,-2.385,2.593,88.318,87.104,5295.846,149.202,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,124,0.318,0.3036
ARP220,10.5,243.969,-4.99,4.99,39.711,-9.98,9.98,88.318,87.104,5295.846,149.202,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,148,0.08494,0.08781
ARP220,13.5,165.355,-30.833,30.139,8.026,-3.903,4.975,88.318,87.104,5295.846,149.202,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,103,0.02728,0.02624
ARP220,16.5,171.487,-25.22,22.928,6.814,-2.266,2.266,88.318,87.104,5295.846,149.202,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,73,0.01891,0.01339
ARP220,19.5,190.507,-16.006,21.131,2.363,-2.219,2.477,88.318,87.104,5295.846,149.202,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,46,0.021,0.0134
ARP220,22.5,163.063,-5.118,3.873,11.335,-10.235,7.745,88.318,87.104,5295.846,149.202,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,29,0.03949,0.03825
IC0480,1.5,58.417,-5.946,4.81,28.338,-5.338,3.988,88.455,94.29,4565.485,351.808,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,6,0.7622,0.04056
IC0480,4.5,83.416,-6.304,7.53,29.961,-6.233,6.014,88.455,94.29,4565.485,351.808,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,18,0.6064,0.08527
IC0480,7.5,109.613,-6.329,6.4,29.67,-3.837,4.724,88.455,94.29,4565.485,351.808,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,34,0.4327,0.1005
IC0480,10.5,127.113,-6.015,6.646,24.808,-4.733,5.865,88.455,94.29,4565.485,351.808,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,44,0.2893,0.07427
IC0480,13.5,138.918,-3.521,4.754,10.303,-3.578,4.983,88.455,94.29,4565.485,351.808,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,59,0.1886,0.05406
IC0480,16.5,148.687,-5.232,6.144,10.362,-5.651,7.179,88.455,94.29,4565.485,351.808,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,72,0.1134,0.049
IC0480,19.5,163.168,-7.486,8.891,11.215,-5.861,7.377,88.455,94.29,4565.485,351.808,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,76,0.07008,0.04416
IC0480,22.5,187.023,-6.316,6.554,5.794,-5.133,3.528,88.455,94.29,4565.485,351.808,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,77,0.04237,0.0332
IC0540,1.5,73.984,-3.01,3.929,12.632,-2.51,2.175,89.846,88.051,2017.35,178.375,68.3,0.69,1,1,0,0,-1,-1,0,1,1,0,10,0.2965,0.05019
IC0540,4.5,69.055,-7.798,7.642,13.309,-3.792,3.792,89.846,88.051,2017.35,178.375,68.3,0.69,1,1,0,0,-1,-1,0,1,1,0,32,0.1815,0.06738
IC0540,7.5,27.265,-8.045,5.404,11.526,-4.251,5.062,89.846,88.051,2017.35,178.375,68.3,0.69,1,1,0,0,-1,-1,0,1,1,0,50,0.08733,0.05884
IC0540,10.5,35.091,-8.382,8.382,7.057,-2.326,2.73,89.846,88.051,2017.35,178.375,68.3,0.69,1,1,0,0,-1,-1,0,1,1,0,43,0.04564,0.03667
IC0540,13.5,22.597,-5.172,6.038,0.643,-4.09,4.09,89.846,88.051,2017.35,178.375,68.3,0.69,1,1,0,0,-1,-1,0,1,1,0,26,0.02917,0.02213
IC0540,16.5,19.71,-1.506,1.208,6.657,-3.013,2.416,89.846,88.051,2017.35,178.375,68.3,0.69,1,1,0,0,-1,-1,0,1,1,0,16,0.02273,0.0103
IC0540,19.5,2.815,-0.338,0.338,11.691,-2.792,2.145,89.846,88.051,2017.35,178.375,68.3,0.69,1,1,0,0,-1,-1,0,1,1,0,10,0.02415,0.009287
IC0540,22.5,8.755,-1.983,1.983,9.183,-2.523,2.643,89.846,88.051,2017.35,178.375,68.3,0.69,1,1,0,0,-1,-1,0,1,1,0,8,0.02038,0.004464
IC0944,1.5,236.22,-12.014,8.904,10.239,-2.36,3.032,89.454,88.992,6824.865,282.709,75.0,0.205,1,1,0,0,-1,-1,0,1,1,0,7,0.5954,0.08666
IC0944,4.5,184.472,-16.151,17.941,49.486,-12.662,11.393,89.454,88.992,6824.865,282.709,75.0,0.205,1,1,0,0,-1,-1,0,1,1,0,22,0.4104,0.1341
IC0944,7.5,174.728,-18.546,21.38,37.852,-9.251,9.251,89.454,88.992,6824.865,282.709,75.0,0.205,1,1,0,0,-1,-1,0,1,1,0,36,0.266,0.1208
