# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbVdisp_e1, unit: km / s, datatype: float64}
# - {name: bbVdisp_e2, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbVmean_e1, unit: km / s, datatype: float64}
# - {name: bbVmean_e2, unit: km / s, datatype: float64}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbPA_e1, unit: deg, datatype: float64}
# - {name: bbPA_e2, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# delimiter: ','
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbVdisp_e1,bbVdisp_e2,bbXpos,bbYpos,bbVmean,bbVmean_e1,bbVmean_e2,bbPA,bbPA_e1,bbPA_e2,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag
ARP220,1.5,0.008,-4.007,2.745,173.077,-11.487,7.066,88.318,87.104,5328.999,-3.206,2.196,158.293,-1.337,1.718,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,4.5,377.857,-23.524,30.403,34.752,-4.317,3.336,88.318,87.104,5262.692,-46.619,66.342,142.769,-3.272,3.272,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,7.5,284.783,-43.993,43.993,10.219,-3.793,2.865,88.318,87.104,5375.539,-92.293,92.293,143.066,-3.024,3.024,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,10.5,225.528,-26.747,26.747,8.632,-3.472,2.558,88.318,87.104,5339.093,-70.755,86.496,157.232,-3.757,3.757,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,13.5,148.773,-37.579,20.948,10.028,-3.542,3.542,88.318,87.104,5216.096,-161.181,131.822,145.398,-5.057,5.057,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,16.5,200.706,-27.235,27.235,8.47,-3.504,3.504,88.318,87.104,5966.345,-8.716,9.01,147.238,-4.125,5.302,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,19.5,111.68,-23.047,23.168,9.275,-2.183,2.764,88.318,87.104,5204.077,-397.402,531.039,157.698,-9.397,9.397,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,22.5,164.784,-26.203,26.203,9.98,-2.395,2.51,88.318,87.104,5172.823,-14.948,14.59,144.58,-1.773,1.773,29.7,0.265,1,1,0,0,1,1,0,1,1,0
IC0480,1.5,143.173,-13.618,14.973,8.92,-3.815,2.761,88.455,94.29,4613.89,-4.628,4.805,355.518,-1.079,1.486,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,4.5,216.871,-14.292,12.014,8.429,-5.563,3.334,88.455,94.29,4644.646,-38.344,32.969,341.076,-5.752,7.207,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,10.5,200.023,-11.136,9.534,8.504,-5.851,3.412,88.455,94.29,4505.647,-29.835,37.047,359.981,-11.706,12.498,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,13.5,213.637,-19.853,14.495,7.903,-4.352,2.848,88.455,94.29,4491.693,-25.207,29.697,356.59,-12.353,11.76,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,16.5,215.63,-10.578,8.936,7.91,-3.333,2.405,88.455,94.29,4612.836,-3.773,3.075,349.908,-1.181,0.96,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,19.5,155.169,-4.957,7.567,8.829,-2.214,2.833,88.455,94.29,4551.222,-1.793,2.6,359.854,-2.241,3.25,76.6,0.311,1,1,0,0,1,1,0,1,1,0
