# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# - {name: bbNpix, datatype: int64, description: number of pixels in ring}
# - {name: bbIntens, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: bbIntensRMS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbPA,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag,bbNpix,bbIntens,bbIntensRMS
ARP220,1.5,377.512,-61.339,78.361,8.0,88.318,87.104,5333.342,146.658,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,24,8.762,2.594
ARP220,4.5,258.131,-53.431,53.431,8.0,88.318,87.104,5333.342,146.658,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,73,2.217,1.578
ARP220,7.5,440.232,-104.636,120.815,8.0,88.318,87.104,5333.342,146.658,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,122,0.3184,0.3065
ARP220,10.5,238.624,-40.09,36.202,8.0,88.318,87.104,5333.342,146.658,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,144,0.08627,0.08795
ARP220,13.5,173.659,-47.143,47.143,8.0,88.318,87.104,5333.342,146.658,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,107,0.02568,0.0244
ARP220,16.5,260.557,-25.737,19.755,8.0,88.318,87.104,5333.342,146.658,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,70,0.01976,0.01293
ARP220,19.5,282.072,-27.263,36.247,8.0,88.318,87.104,5333.342,146.658,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,46,0.02048,0.01333
ARP220,22.5,222.529,-60.135,60.135,8.0,88.318,87.104,5333.342,146.658,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,27,0.04316,0.03797
IC0480,1.5,199.638,-40.484,27.061,8.0,88.455,94.29,4558.491,350.168,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,7,0.7608,0.04049
IC0480,4.5,88.672,-6.867,7.272,8.0,88.455,94.29,4558.491,350.168,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,18,0.6077,0.08182
IC0480,7.5,261.875,-55.83,51.047,8.0,88.455,94.29,4558.491,350.168,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,33,0.4345,0.09706
IC0480,10.5,141.021,-5.454,4.22,8.0,88.455,94.29,4558.491,350.168,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,47,0.2892,0.06964
IC0480,13.5,142.801,-4.385,3.712,8.0,88.455,94.29,4558.491,350.168,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,57,0.1912,0.04842
IC0480,16.5,149.427,-3.959,4.389,8.0,88.455,94.29,4558.491,350.168,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,71,0.1172,0.04299
IC0480,19.5,159.883,-4.889,6.595,8.0,88.455,94.29,4558.491,350.168,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,82,0.06751,0.03758
IC0480,22.5,179.787,-9.562,8.224,8.0,88.455,94.29,4558.491,350.168,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,78,0.03693,0.02725
