# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbVmean_e1, unit: km / s, datatype: float64}
# - {name: bbVmean_e2, unit: km / s, datatype: float64}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbPA_e1, unit: deg, datatype: float64}
# - {name: bbPA_e2, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# delimiter: ','
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbVmean_e1,bbVmean_e2,bbPA,bbPA_e1,bbPA_e2,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag
ARP220,1.5,272.512,-25.892,20.462,8.0,88.318,87.104,5313.032,-39.124,39.124,146.801,-8.561,8.561,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,4.5,258.131,-50.673,52.421,8.0,88.318,87.104,5314.85,-62.189,62.436,142.736,-3.867,3.867,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,7.5,275.232,-41.239,41.239,8.0,88.318,87.104,5300.805,-39.004,54.035,148.724,-2.926,3.697,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,10.5,242.374,-25.444,33.422,8.0,88.318,87.104,5351.833,-9.6,12.26,143.908,-3.357,3.357,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,13.5,203.659,-39.832,23.934,8.0,88.318,87.104,5245.14,-23.22,30.745,155.771,-1.142,1.464,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,16.5,201.494,-26.848,26.848,8.0,88.318,87.104,5965.445,-11.164,11.164,145.411,-6.645,6.645,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,19.5,195.822,-53.272,46.491,8.0,88.318,87.104,5417.015,-430.19,405.722,148.879,-4.912,5.673,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,22.5,245.029,-68.834,68.834,8.0,88.318,87.104,5491.949,-576.516,401.778,146.225,-2.256,1.536,29.7,0.265,1,0,0,0,1,1,0,1,1,0
IC0480,1.5,177.138,-41.13,32.231,8.0,88.455,94.29,4641.165,-33.956,33.956,355.851,-0.705,0.705,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,10.5,141.021,-4.197,3.285,8.0,88.455,94.29,4559.066,-2.904,2.6,352.176,-4.514,4.514,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,13.5,142.801,-4.969,6.426,8.0,88.455,94.29,4557.916,-3.741,3.398,353.003,-6.255,3.767,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,16.5,197.709,-7.306,7.306,8.0,88.455,94.29,4595.809,-13.958,12.027,349.411,-1.465,1.162,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,19.5,157.774,-4.422,4.462,8.0,88.455,94.29,4547.1,-3.235,2.713,350.618,-5.284,3.677,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,22.5,207.912,-10.547,7.949,8.0,88.455,94.29,4585.271,-66.696,59.162,345.626,-3.128,4.051,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0540,1.5,163.137,-21.181,15.266,8.0,89.846,88.051,1945.4,-25.119,30.318,170.956,-6.126,9.382,68.3,0.69,1,0,0,0,1,1,0,1,1,0
