# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbVdisp_e1, unit: km / s, datatype: float64}
# - {name: bbVdisp_e2, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# - {name: bbNpix, datatype: int64, description: number of pixels in ring}
# - {name: bbIntens, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: bbIntensRMS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbVdisp_e1,bbVdisp_e2,bbXpos,bbYpos,bbVmean,bbPA,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag,bbNpix,bbIntens,bbIntensRMS
ARP220,1.5,0.864,-3.249,3.826,167.794,-6.499,7.653,79.318,78.104,5326.472,155.188,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,24,7.311,1.552
ARP220,4.5,0.016,-7.3,7.3,160.237,-14.6,14.6,79.318,78.104,5326.472,155.188,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,73,2.425,1.32
ARP220,7.5,221.578,-1.066,1.496,446.624,-2.133,2.992,79.318,78.104,5326.472,155.188,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,122,0.4051,0.312
ARP220,10.5,186.144,-54.938,59.476,66.12,-12.669,12.669,79.318,78.104,5326.472,155.188,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,173,0.09265,0.08433
ARP220,13.5,183.191,-39.911,52.446,4.872,-3.685,4.763,79.318,78.104,5326.472,155.188,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,120,0.02339,0.02266
ARP220,16.5,13.928,-1.499,1.219,8.757,-2.997,2.437,79.318,78.104,5326.472,155.188,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,44,0.01425,0.01087
ARP220,19.5,8.803,-1.546,1.44,11.955,-3.092,2.88,79.318,78.104,5326.472,155.188,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,31,0.01591,0.007762
ARP220,22.5,127.431,-26.92,26.92,4.84,-2.553,2.553,79.318,78.104,5326.472,155.188,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,31,0.02001,0.008985
IC0480,1.5,196.831,-30.866,22.778,11.274,-3.967,3.031,79.455,85.29,4567.808,353.721,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,6,0.6714,0.02935
IC0480,4.5,90.594,-6.765,4.971,33.32,-5.528,4.851,79.455,85.29,4567.808,353.721,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,19,0.5637,0.07062
IC0480,7.5,105.865,-6.535,7.435,30.258,-4.313,5.627,79.455,85.29,4567.808,353.721,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,32,0.4092,0.09849
IC0480,10.5,129.248,-6.97,5.895,24.441,-5.55,6.247,79.455,85.29,4567.808,353.721,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,46,0.2759,0.08642
IC0480,13.5,140.017,-4.933,4.929,13.395,-6.945,7.275,79.455,85.29,4567.808,353.721,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,59,0.1757,0.06758
IC0480,16.5,149.359,-5.309,6.076,11.005,-8.904,6.565,79.455,85.29,4567.808,353.721,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,70,0.1066,0.05698
IC0480,19.5,163.634,-5.833,5.573,6.416,-6.348,6.348,79.455,85.29,4567.808,353.721,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,82,0.06725,0.0449
