# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbVdisp_e1, unit: km / s, datatype: float64}
# - {name: bbVdisp_e2, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# - {name: bbNpix, datatype: int64, description: number of pixels in ring}
# - {name: bbIntens, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: bbIntensRMS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbVdisp_e1,bbVdisp_e2,bbXpos,bbYpos,bbVmean,bbPA,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag,bbNpix,bbIntens,bbIntensRMS
ARP220,1.5,0.568,-4.6,3.369,175.011,-9.2,6.739,79.318,78.104,5351.955,147.49,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,24,7.417,1.575
ARP220,4.5,0.434,-6.763,6.763,158.702,-13.527,13.527,79.318,78.104,5351.955,147.49,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,73,2.472,1.356
ARP220,7.5,2.691,-1.164,1.268,147.808,-2.327,2.536,79.318,78.104,5351.955,147.49,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,124,0.4147,0.3145
ARP220,10.5,225.529,-6.676,6.676,49.869,-13.353,13.353,79.318,78.104,5351.955,147.49,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,164,0.09625,0.08473
ARP220,13.5,211.02,-50.495,50.811,9.244,-9.705,9.705,79.318,78.104,5351.955,147.49,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,156,0.02628,0.02588
ARP220,16.5,402.439,-86.79,72.316,2.779,-2.303,2.918,79.318,78.104,5351.955,147.49,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,87,0.01787,0.01407
ARP220,19.5,526.199,-60.015,42.241,2.115,-2.783,2.348,79.318,78.104,5351.955,147.49,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,52,0.02929,0.02339
ARP220,22.5,580.294,-126.249,173.047,11.283,-4.934,6.795,79.318,78.104,5351.955,147.49,29.7,0.265,1,1,0,0,-1,-1,0,1,1,0,42,0.05677,0.03048
IC0480,1.5,57.921,-3.221,4.07,26.11,-3.193,3.514,79.455,85.29,4552.415,353.935,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,6,0.6814,0.03123
IC0480,4.5,85.401,-4.143,4.365,28.839,-2.592,3.329,79.455,85.29,4552.415,353.935,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,20,0.5669,0.0738
IC0480,7.5,483.013,-87.285,91.629,11.974,-7.384,7.384,79.455,85.29,4552.415,353.935,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,31,0.4119,0.09885
IC0480,10.5,121.165,-6.695,6.245,29.995,-5.232,4.025,79.455,85.29,4552.415,353.935,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,47,0.2833,0.08372
IC0480,13.5,135.853,-5.406,5.067,18.528,-4.558,4.756,79.455,85.29,4552.415,353.935,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,58,0.1842,0.06528
IC0480,16.5,146.822,-4.231,4.907,10.915,-4.086,5.12,79.455,85.29,4552.415,353.935,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,72,0.1204,0.0597
IC0480,19.5,158.044,-4.254,4.054,9.799,-6.003,3.59,79.455,85.29,4552.415,353.935,76.6,0.311,1,1,0,0,-1,-1,0,1,1,0,83,0.07743,0.04792
