# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# - {name: bbNpix, datatype: int64, description: number of pixels in ring}
# - {name: bbIntens, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: bbIntensRMS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbPA,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag,bbNpix,bbIntens,bbIntensRMS
ARP220,1.5,362.454,-47.556,69.298,8.0,79.318,78.104,5350.837,148.527,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,24,7.322,1.556
ARP220,4.5,375.818,-76.231,74.287,8.0,79.318,78.104,5350.837,148.527,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,73,2.45,1.333
ARP220,7.5,243.48,-31.196,31.196,8.0,79.318,78.104,5350.837,148.527,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,124,0.4055,0.3117
ARP220,10.5,252.869,-34.036,43.874,8.0,79.318,78.104,5350.837,148.527,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,169,0.09254,0.08282
ARP220,13.5,251.644,-50.478,53.412,8.0,79.318,78.104,5350.837,148.527,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,123,0.02317,0.02292
ARP220,16.5,22.829,-5.304,5.304,8.0,79.318,78.104,5350.837,148.527,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,44,0.01481,0.01091
ARP220,19.5,12.664,0.0,0.0,8.0,79.318,78.104,5350.837,148.527,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,31,0.01589,0.007983
ARP220,22.5,25.085,-6.924,6.924,8.0,79.318,78.104,5350.837,148.527,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,31,0.01993,0.008986
IC0480,1.5,165.693,-12.51,14.83,8.0,79.455,85.29,4593.317,350.847,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,7,0.6755,0.02481
IC0480,4.5,257.446,-36.671,42.944,8.0,79.455,85.29,4593.317,350.847,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,18,0.5592,0.06639
IC0480,7.5,111.875,-6.944,6.41,8.0,79.455,85.29,4593.317,350.847,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,33,0.4146,0.09031
IC0480,10.5,118.273,-7.555,7.626,8.0,79.455,85.29,4593.317,350.847,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,46,0.2775,0.07564
IC0480,13.5,174.9,-12.833,15.457,8.0,79.455,85.29,4593.317,350.847,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,56,0.1844,0.05524
IC0480,16.5,195.134,-7.235,7.952,8.0,79.455,85.29,4593.317,350.847,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,74,0.1115,0.04249
IC0480,19.5,205.935,-8.559,7.768,8.0,79.455,85.29,4593.317,350.847,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,85,0.06096,0.03484
IC0480,22.5,216.295,-10.873,9.026,8.0,79.455,85.29,4593.317,350.847,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,80,0.0344,0.02615
