# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbVmean_e1, unit: km / s, datatype: float64}
# - {name: bbVmean_e2, unit: km / s, datatype: float64}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbPA_e1, unit: deg, datatype: float64}
# - {name: bbPA_e2, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# delimiter: ','
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbVmean_e1,bbVmean_e2,bbPA,bbPA_e1,bbPA_e2,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag
ARP220,1.5,392.454,-64.628,61.655,8.0,79.318,78.104,5345.66,-41.574,42.355,144.519,-8.524,8.524,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,4.5,287.693,-45.951,75.216,8.0,79.318,78.104,5326.412,-58.65,46.413,142.75,-5.348,5.348,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,7.5,224.73,-26.467,45.369,8.0,79.318,78.104,5284.488,-37.636,48.268,143.262,-3.152,3.152,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,10.5,249.119,-27.504,41.619,8.0,79.318,78.104,5356.014,-11.341,9.824,149.139,-10.727,10.727,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,13.5,221.644,-18.192,23.529,8.0,79.318,78.104,5303.532,-100.124,87.792,146.591,-2.441,3.227,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,16.5,202.829,-32.762,32.762,8.0,79.318,78.104,5991.256,-13.159,13.159,150.78,-6.715,6.715,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,19.5,192.664,-16.989,21.549,8.0,79.318,78.104,5365.901,-410.769,463.935,157.092,-3.204,3.241,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,22.5,190.085,-17.006,22.028,8.0,79.318,78.104,5717.56,-334.149,256.17,156.869,-3.374,3.938,29.7,0.265,1,0,0,0,1,1,0,1,1,0
IC0480,1.5,161.943,-22.489,15.926,8.0,79.455,85.29,4599.416,-7.816,5.727,355.838,-0.96,1.255,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,4.5,272.446,-18.265,17.239,8.0,79.455,85.29,4705.386,-14.166,14.166,347.9,-5.258,3.694,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,10.5,190.461,-24.769,16.854,8.0,79.455,85.29,4514.525,-31.175,44.394,359.912,-23.452,23.452,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,13.5,197.4,-8.183,6.32,8.0,79.455,85.29,4607.048,-4.772,4.399,347.035,-6.134,6.877,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,16.5,207.321,-7.052,8.979,8.0,79.455,85.29,4610.159,-4.477,4.92,350.153,-6.379,5.78,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,19.5,189.763,-6.376,8.35,8.0,79.455,85.29,4587.219,-12.28,9.432,356.256,-1.159,1.188,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,22.5,203.17,-10.793,7.593,8.0,79.455,85.29,4580.127,-13.234,12.899,345.687,-7.372,7.243,76.6,0.311,1,0,0,0,1,1,0,1,1,0
