# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# - {name: bbNpix, datatype: int64, description: number of pixels in ring}
# - {name: bbIntens, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: bbIntensRMS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbPA,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag,bbNpix,bbIntens,bbIntensRMS
ARP220,1.5,394.871,-67.371,63.055,8.0,79.318,78.104,5345.003,146.885,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,24,7.417,1.575
ARP220,4.5,317.693,-69.25,75.434,8.0,79.318,78.104,5345.003,146.885,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,73,2.472,1.356
ARP220,7.5,244.638,-38.169,38.169,8.0,79.318,78.104,5345.003,146.885,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,124,0.4153,0.3145
ARP220,10.5,236.734,-30.974,40.629,8.0,79.318,78.104,5345.003,146.885,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,164,0.09636,0.08467
ARP220,13.5,204.817,-41.692,51.332,8.0,79.318,78.104,5345.003,146.885,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,157,0.02615,0.02586
ARP220,16.5,297.995,-26.693,39.142,8.0,79.318,78.104,5345.003,146.885,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,87,0.01799,0.01407
ARP220,19.5,425.588,-51.525,71.065,8.0,79.318,78.104,5345.003,146.885,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,52,0.02929,0.02339
ARP220,22.5,507.682,-93.515,93.515,8.0,79.318,78.104,5345.003,146.885,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0,42,0.05651,0.03057
IC0480,1.5,197.847,-12.011,17.381,8.0,79.455,85.29,4568.312,353.491,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,6,0.6844,0.02809
IC0480,4.5,326.056,-53.396,34.479,8.0,79.455,85.29,4568.312,353.491,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,20,0.5671,0.07377
IC0480,7.5,118.086,-11.608,10.129,8.0,79.455,85.29,4568.312,353.491,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,33,0.4106,0.09714
IC0480,10.5,137.258,-5.472,3.867,8.0,79.455,85.29,4568.312,353.491,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,45,0.2812,0.08224
IC0480,13.5,139.966,-4.569,3.955,8.0,79.455,85.29,4568.312,353.491,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,59,0.1879,0.06266
IC0480,16.5,146.143,-4.391,5.782,8.0,79.455,85.29,4568.312,353.491,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,70,0.1181,0.05519
IC0480,19.5,157.739,-6.265,4.685,8.0,79.455,85.29,4568.312,353.491,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,85,0.07805,0.04647
IC0480,22.5,190.787,-8.974,8.505,8.0,79.455,85.29,4568.312,353.491,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0,82,0.04905,0.03756
IC1199,1.5,113.083,-5.855,5.378,8.0,79.279,79.996,4667.581,158.592,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,13,0.2305,0.05216
IC1199,4.5,127.781,-15.442,16.522,8.0,79.279,79.996,4667.581,158.592,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,35,0.1284,0.06715
IC1199,7.5,194.635,-20.174,14.738,8.0,79.279,79.996,4667.581,158.592,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,60,0.07784,0.04776
IC1199,10.5,193.57,-7.164,6.666,8.0,79.279,79.996,4667.581,158.592,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,85,0.06593,0.03134
IC1199,13.5,189.327,-5.457,5.764,8.0,79.279,79.996,4667.581,158.592,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,109,0.06358,0.02548
IC1199,16.5,193.372,-5.26,4.878,8.0,79.279,79.996,4667.581,158.592,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,133,0.05472,0.02066
IC1199,19.5,203.573,-6.415,4.585,8.0,79.279,79.996,4667.581,158.592,64.5,0.302,1,0,0,0,-1,-1,0,1,1,0,155,0.04079,0.01552
