# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbVmean_e1, unit: km / s, datatype: float64}
# - {name: bbVmean_e2, unit: km / s, datatype: float64}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbPA_e1, unit: deg, datatype: float64}
# - {name: bbPA_e2, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# delimiter: ','
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbVmean_e1,bbVmean_e2,bbPA,bbPA_e1,bbPA_e2,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag
ARP220,1.5,398.621,-66.629,60.769,8.0,79.318,78.104,5343.211,-38.997,45.034,145.324,-7.959,7.959,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,4.5,287.693,-46.316,75.793,8.0,79.318,78.104,5326.412,-57.545,45.489,142.75,-5.187,5.187,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,7.5,244.638,-50.412,50.412,8.0,79.318,78.104,5290.037,-37.977,49.01,142.889,-2.859,2.859,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,10.5,229.234,-25.795,41.386,8.0,79.318,78.104,5346.795,-11.212,16.42,152.728,-7.842,7.874,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,13.5,246.067,-47.966,39.162,8.0,79.318,78.104,5265.454,-47.047,44.098,146.705,-3.841,4.952,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,16.5,219.245,-30.779,30.779,8.0,79.318,78.104,5613.214,-436.479,335.041,147.671,-4.827,4.827,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,19.5,217.463,-35.506,46.368,8.0,79.318,78.104,5626.918,-482.127,282.336,152.357,-3.73,4.659,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,22.5,211.432,-32.158,24.415,8.0,79.318,78.104,5755.015,-414.723,303.946,146.362,-2.604,2.604,29.7,0.265,1,0,0,0,1,1,0,1,1,0
IC0480,1.5,146.284,-23.927,19.089,8.0,79.455,85.29,4603.238,-8.383,6.912,355.052,-1.222,1.648,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,4.5,273.556,-18.411,15.022,8.0,79.455,85.29,4704.705,-18.604,21.995,347.9,-5.867,3.967,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,10.5,190.461,-21.882,15.691,8.0,79.455,85.29,4514.525,-25.585,34.777,359.912,-25.437,25.437,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,13.5,142.779,-4.586,4.162,8.0,79.455,85.29,4557.571,-1.529,1.387,358.573,-2.038,1.85,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,16.5,194.893,-8.94,9.176,8.0,79.455,85.29,4593.623,-5.061,4.605,352.77,-6.244,4.64,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,19.5,157.739,-5.275,4.174,8.0,79.455,85.29,4548.918,-1.758,1.391,357.925,-2.344,1.855,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,22.5,201.099,-7.944,7.49,8.0,79.455,85.29,4579.051,-3.287,3.303,348.727,-1.917,2.418,76.6,0.311,1,0,0,0,1,1,0,1,1,0
