# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbVdisp_e1, unit: km / s, datatype: float64}
# - {name: bbVdisp_e2, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbVmean_e1, unit: km / s, datatype: float64}
# - {name: bbVmean_e2, unit: km / s, datatype: float64}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbPA_e1, unit: deg, datatype: float64}
# - {name: bbPA_e2, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# delimiter: ','
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbVdisp_e1,bbVdisp_e2,bbXpos,bbYpos,bbVmean,bbVmean_e1,bbVmean_e2,bbPA,bbPA_e1,bbPA_e2,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag
ARP220,1.5,349.928,-35.559,60.323,12.281,-2.652,2.156,79.318,78.104,5332.332,-28.376,37.401,146.828,-9.952,9.952,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,4.5,411.529,-83.022,76.871,8.9,-2.849,2.231,79.318,78.104,5330.395,-41.303,38.195,142.752,-8.597,8.597,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,7.5,266.686,-30.912,39.411,8.572,-2.806,2.177,79.318,78.104,5328.606,-33.621,32.715,143.271,-2.88,2.88,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,10.5,349.149,-106.53,63.717,29.148,-3.769,2.915,79.318,78.104,5303.985,-28.876,17.959,145.688,-5.204,5.204,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,13.5,238.233,-19.576,18.187,8.458,-3.195,2.413,79.318,78.104,5337.271,-21.073,17.938,148.867,-8.408,8.408,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,16.5,229.015,-28.775,21.876,8.41,-3.769,4.849,79.318,78.104,5248.116,-65.737,93.462,155.828,-8.043,7.915,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,19.5,210.646,-23.65,32.546,8.021,-2.418,3.135,79.318,78.104,5218.832,-36.376,34.379,158.164,-4.779,5.728,29.7,0.265,1,1,0,0,1,1,0,1,1,0
ARP220,22.5,196.186,-19.972,26.74,7.91,-2.13,2.774,79.318,78.104,5734.384,-431.138,331.981,155.807,-3.645,3.618,29.7,0.265,1,1,0,0,1,1,0,1,1,0
IC0480,1.5,186.789,-14.041,18.889,8.65,-4.483,2.985,79.455,85.29,4663.401,-19.276,19.276,355.786,-1.343,2.306,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,4.5,186.55,-16.14,12.812,9.163,-4.696,3.221,79.455,85.29,4507.172,-39.588,49.64,346.055,-3.837,2.917,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,7.5,201.393,-15.247,11.539,7.751,-4.53,2.689,79.455,85.29,4498.269,-43.505,62.715,359.808,-15.82,19.236,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,10.5,193.59,-10.026,8.581,8.141,-4.673,3.008,79.455,85.29,4607.38,-5.719,4.295,349.424,-8.176,5.591,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,13.5,197.911,-9.987,7.539,7.948,-3.538,3.538,79.455,85.29,4602.691,-4.372,3.536,354.465,-3.963,3.068,76.6,0.311,1,1,0,0,1,1,0,1,1,0
IC0480,16.5,197.921,-10.506,9.204,8.049,-7.281,7.281,79.455,85.29,4595.283,-5.706,5.122,353.58,-5.036,4.002,76.6,0.311,1,1,0,0,1,1,0,1,1,0
