# %ECSV 0.9
# ---
# datatype:
# - {name: GAL_NAME, datatype: string}
# - {name: RACTR, unit: deg, datatype: float64}
# - {name: DCCTR, unit: deg, datatype: float64}
# - {name: offset, unit: arcsec, datatype: float64, description: offset from ned position. Only not equal to 0 when a 2D-Gaussian-fitted
#     position is used}
# - {name: XPOSFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: YPOSFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: INCFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: PAFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: VSYSFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: VDISPFIT(0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: VROTFIT(0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous fit}
# - {name: FTYPE, datatype: int64}
# - {name: WFUNC, datatype: int64}
# - {name: BADFLAG, datatype: int64, description: 'BADFLAG = 1 when some ringlog exits, but Bbarolo fails to produce at least one of the
#     plots'}
# - {name: RAD, unit: arcsec, datatype: float64}
# - {name: VROT, unit: km / s, datatype: float64}
# - {name: DISP, unit: km / s, datatype: float64}
# - {name: INC, unit: deg, datatype: float64}
# - {name: P.A., unit: deg, datatype: float64}
# - {name: Z0, unit: arcsec, datatype: float64}
# - {name: XPOS, unit: pix, datatype: float64}
# - {name: YPOS, unit: pix, datatype: float64}
# - {name: VSYS, unit: km / s, datatype: float64}
# - {name: E_VROT1, unit: km / s, datatype: float64}
# - {name: E_VROT2, unit: km / s, datatype: float64}
# - {name: E_DISP1, unit: km / s, datatype: float64}
# - {name: E_DISP2, unit: km / s, datatype: float64}
# - {name: E_PA1, unit: deg, datatype: float64}
# - {name: E_PA2, unit: deg, datatype: float64}
# - {name: E_VSYS1, unit: km / s, datatype: float64}
# - {name: E_VSYS2, unit: km / s, datatype: float64}
# delimiter: ','
# schema: astropy-2.0
GAL_NAME,RACTR,DCCTR,offset,XPOSFIT(-1/0/1),YPOSFIT(-1/0/1),INCFIT(-1/0/1),PAFIT(-1/0/1),VSYSFIT(-1/0/1),VDISPFIT(0/1),VROTFIT(0/1),FTYPE,WFUNC,BADFLAG,RAD,VROT,DISP,INC,P.A.,Z0,XPOS,YPOS,VSYS,E_VROT1,E_VROT2,E_DISP1,E_DISP2,E_PA1,E_PA2,E_VSYS1,E_VSYS2
ARP220,233.73854,23.50314,0.0,0,0,0,1,1,1,1,1,1,0,1.5,0.008,173.077,29.7,158.293,0.265,88.318,87.104,5328.999,-4.007,2.745,-11.487,7.066,-1.337,1.718,-3.206,2.196
ARP220,233.73854,23.50314,0.0,0,0,0,1,1,1,1,1,1,0,4.5,0.786,133.701,29.7,161.801,0.265,88.318,87.104,5295.969,-11.322,11.263,-8.417,6.009,-4.71,5.048,-32.161,33.994
ARP220,233.73854,23.50314,0.0,0,0,0,1,1,1,1,1,1,0,7.5,384.686,10.032,29.7,143.061,0.265,88.318,87.104,5307.321,-70.562,92.944,-4.213,3.062,-2.706,2.706,-97.746,95.35
ARP220,233.73854,23.50314,0.0,0,0,0,1,1,1,1,1,1,0,10.5,303.11,28.744,29.7,153.199,0.265,88.318,87.104,5286.266,-79.052,59.482,-7.406,5.861,-7.083,7.278,-94.218,94.218
ARP220,233.73854,23.50314,0.0,0,0,0,1,1,1,1,1,1,0,13.5,166.113,9.795,29.7,146.622,0.265,88.318,87.104,5221.725,-21.759,21.759,-2.984,3.939,-3.625,4.805,-193.436,147.801
ARP220,233.73854,23.50314,0.0,0,0,0,1,1,1,1,1,1,0,16.5,183.344,8.597,29.7,148.248,0.265,88.318,87.104,6139.557,-22.287,15.646,-8.281,8.281,-6.732,6.732,-9.325,7.665
ARP220,233.73854,23.50314,0.0,0,0,0,1,1,1,1,1,1,0,19.5,119.357,8.97,29.7,153.238,0.265,88.318,87.104,5349.765,-22.6,16.966,-0.845,1.058,-5.984,5.984,-452.101,445.268
ARP220,233.73854,23.50314,0.0,0,0,0,1,1,1,1,1,1,0,22.5,243.328,10.038,29.7,144.549,0.265,88.318,87.104,5173.919,-20.092,20.092,-0.802,0.989,-1.451,1.783,-33.853,31.958
ARP220,233.73854,23.50314,0.0,0,0,0,-1,-1,1,1,1,1,0,1.5,0.008,167.608,29.7,150.691,0.265,88.318,87.104,5301.645,-4.526,3.651,-9.052,7.301,,,,
ARP220,233.73854,23.50314,0.0,0,0,0,-1,-1,1,1,1,1,0,4.5,0.786,158.701,29.7,150.691,0.265,88.318,87.104,5301.645,-7.022,7.022,-14.044,14.044,,,,
ARP220,233.73854,23.50314,0.0,0,0,0,-1,-1,1,1,1,1,0,7.5,46.719,122.904,29.7,150.691,0.265,88.318,87.104,5301.645,0.0,0.0,0.0,0.0,,,,
ARP220,233.73854,23.50314,0.0,0,0,0,-1,-1,1,1,1,1,0,10.5,240.196,44.3,29.7,150.691,0.265,88.318,87.104,5301.645,-53.973,53.973,-13.744,13.645,,,,
ARP220,233.73854,23.50314,0.0,0,0,0,-1,-1,1,1,1,1,0,13.5,169.043,11.02,29.7,150.691,0.265,88.318,87.104,5301.645,-33.417,33.417,-6.649,6.649,,,,
