# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
ARP220,1.5,24,4.947,0.5913
ARP220,4.5,72,2.531,0.8354
ARP220,7.5,124,0.7134,0.3832
ARP220,10.5,172,0.1469,0.1092
ARP220,13.5,182,0.03461,0.03051
ARP220,16.5,127,0.02478,0.01808
ARP220,19.5,113,0.02458,0.01793
ARP220,22.5,84,0.02737,0.02578
IC0480,1.5,6,0.471,0.01626
IC0480,4.5,20,0.4088,0.04405
IC0480,7.5,33,0.3221,0.06555
IC0480,10.5,45,0.2429,0.06849
IC0480,13.5,60,0.1799,0.05939
IC0480,16.5,70,0.1272,0.05216
IC0480,19.5,87,0.08974,0.04446
IC0480,22.5,94,0.05603,0.03659
IC0540,1.5,10,0.1829,0.03187
IC0540,4.5,31,0.1348,0.05982
IC0540,7.5,52,0.08176,0.05713
IC0540,10.5,59,0.05206,0.04444
IC0540,13.5,46,0.04078,0.03374
IC0540,16.5,39,0.03029,0.02255
IC0540,19.5,35,0.01842,0.01298
IC0540,22.5,27,0.01404,0.008592
IC0944,1.5,7,0.4216,0.02948
IC0944,4.5,22,0.3395,0.06515
IC0944,7.5,37,0.2526,0.07517
IC0944,10.5,51,0.195,0.06565
IC0944,13.5,66,0.1515,0.05129
IC0944,16.5,78,0.1166,0.03868
IC0944,19.5,97,0.09015,0.0308
IC0944,22.5,108,0.06837,0.02535
IC1199,1.5,12,0.1728,0.01931
IC1199,4.5,36,0.1263,0.03457
IC1199,7.5,61,0.0861,0.03324
IC1199,10.5,85,0.06912,0.02155
IC1199,13.5,110,0.06007,0.0159
IC1199,16.5,131,0.04861,0.01331
IC1199,19.5,158,0.03553,0.01004
IC1199,22.5,176,0.02236,0.008666
IC1683,1.5,16,0.7875,0.07321
IC1683,4.5,48,0.5287,0.1315
IC1683,7.5,81,0.2651,0.1146
IC1683,10.5,114,0.1183,0.07203
IC1683,13.5,138,0.05514,0.0441
IC1683,16.5,110,0.03791,0.02976
IC1683,19.5,83,0.02547,0.01865
IC1683,22.5,61,0.01571,0.0105
IC2247,1.5,5,0.288,0.0112
IC2247,4.5,18,0.2548,0.023
IC2247,7.5,30,0.2208,0.02434
IC2247,10.5,41,0.1868,0.02486
IC2247,13.5,55,0.1531,0.02363
IC2247,16.5,66,0.1217,0.02356
IC2247,19.5,77,0.09221,0.02427
IC2247,22.5,89,0.0662,0.02272
IC2487,1.5,5,0.1647,0.006919
IC2487,4.5,18,0.1423,0.01658
IC2487,7.5,29,0.1256,0.01736
IC2487,10.5,41,0.1163,0.01446
IC2487,13.5,53,0.1038,0.01719
IC2487,16.5,65,0.08416,0.0227
IC2487,19.5,77,0.067,0.02645
IC2487,22.5,86,0.05478,0.02487
IC4566,1.5,16,0.02012,0.01132
IC4566,4.5,49,0.02504,0.0145
IC4566,7.5,81,0.02823,0.01596
IC4566,10.5,117,0.03967,0.01817
IC4566,13.5,151,0.04941,0.01684
IC4566,16.5,180,0.04967,0.01842
IC4566,19.5,218,0.04174,0.02055
IC4566,22.5,244,0.02862,0.01822
NGC0447,1.5,25,0.2721,0.02366
NGC0447,4.5,73,0.1631,0.04043
NGC0447,7.5,123,0.05662,0.02875
NGC0447,10.5,144,0.01414,0.01217
NGC0447,13.5,77,0.008376,0.00625
NGC0447,16.5,38,0.005715,0.00275
NGC0447,19.5,46,0.007705,0.003611
NGC0447,22.5,74,0.01134,0.006101
NGC0477,1.5,13,0.04823,0.01792
NGC0477,4.5,42,0.04641,0.01813
NGC0477,7.5,70,0.03425,0.01291
NGC0477,10.5,92,0.02663,0.01221
NGC0477,13.5,105,0.02454,0.01216
NGC0477,16.5,137,0.02026,0.01359
NGC0477,19.5,154,0.01919,0.01468
NGC0477,22.5,181,0.01887,0.01382
NGC0496,1.5,15,0.1714,0.007027
NGC0496,4.5,47,0.1426,0.01411
NGC0496,7.5,76,0.1028,0.01639
NGC0496,10.5,107,0.067,0.01709
NGC0496,13.5,140,0.04137,0.01401
NGC0496,16.5,167,0.02582,0.01045
NGC0496,19.5,177,0.01671,0.007857
NGC0496,22.5,160,0.01104,0.005601
NGC0523,1.5,9,0.2337,0.01702
NGC0523,4.5,26,0.1823,0.04129
NGC0523,7.5,45,0.1263,0.05216
NGC0523,10.5,62,0.0954,0.04669
NGC0523,13.5,79,0.07841,0.04579
NGC0523,16.5,99,0.06526,0.05245
NGC0523,19.5,100,0.06331,0.06061
NGC0523,22.5,102,0.06612,0.0674
NGC0551,1.5,12,0.02036,0.002655
NGC0551,4.5,36,0.02181,0.005467
NGC0551,7.5,59,0.02596,0.01405
NGC0551,10.5,78,0.0316,0.01721
NGC0551,13.5,99,0.03562,0.01605
NGC0551,16.5,126,0.03665,0.01392
NGC0551,19.5,151,0.03329,0.01181
NGC0551,22.5,172,0.02603,0.0103
NGC1167,1.5,0,0.0,0.0
NGC1167,4.5,0,0.0,0.0
NGC1167,7.5,0,0.0,0.0
NGC1167,10.5,0,0.0,0.0
NGC1167,13.5,0,0.0,0.0
