# %ECSV 0.9
# ---
# datatype:
# - {name: GAL_NAME, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: '# of pixels in ring'}
# - {name: SURFDENS, unit: Jy km / (arcsec2 s), datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: Jy km / (arcsec2 s), datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# schema: astropy-2.0
GAL_NAME,RADIUS,NPIX,SURFDENS,ERR_SD
ARP220,1.5,24,8.747,2.584
ARP220,4.5,73,2.208,1.551
ARP220,7.5,123,0.3192,0.3039
ARP220,10.5,148,0.08472,0.08775
ARP220,13.5,104,0.02724,0.02619
ARP220,16.5,73,0.01889,0.01337
ARP220,19.5,45,0.02107,0.0134
ARP220,22.5,29,0.03923,0.03819
IC0480,1.5,7,0.7608,0.04049
IC0480,4.5,18,0.6068,0.08374
IC0480,7.5,33,0.4369,0.09855
IC0480,10.5,46,0.2894,0.07111
IC0480,13.5,56,0.1921,0.04946
IC0480,16.5,73,0.117,0.04397
IC0480,19.5,82,0.06821,0.03932
IC0480,22.5,77,0.03807,0.02933
IC1151,1.5,6,0.04331,0.02544
IC1151,4.5,17,0.04368,0.02269
IC1151,7.5,17,0.03882,0.01791
IC1151,10.5,23,0.03595,0.01333
IC1151,13.5,22,0.03175,0.01608
IC1151,16.5,11,0.0343,0.02182
IC1151,19.5,8,0.03045,0.0162
IC1151,22.5,6,0.01478,0.01301
IC1199,1.5,13,0.247,0.06904
IC1199,4.5,36,0.1236,0.07624
IC1199,7.5,60,0.06644,0.04999
IC1199,10.5,86,0.05719,0.03467
IC1199,13.5,108,0.06364,0.02976
IC1199,16.5,132,0.05503,0.02343
IC1199,19.5,148,0.04161,0.01745
IC1199,22.5,136,0.0259,0.0129
IC1683,1.5,16,1.261,0.2541
IC1683,4.5,48,0.575,0.296
IC1683,7.5,80,0.2028,0.1352
IC1683,10.5,112,0.09554,0.05882
IC1683,13.5,109,0.05903,0.04385
IC1683,16.5,88,0.0454,0.03305
IC1683,19.5,64,0.02645,0.01925
IC1683,22.5,29,0.019,0.0125
IC2247,1.5,5,0.4757,0.05473
IC2247,4.5,18,0.3625,0.07538
IC2247,7.5,30,0.2848,0.06118
IC2247,10.5,42,0.2233,0.04923
IC2247,13.5,54,0.1679,0.04653
IC2247,16.5,65,0.1201,0.04641
IC2247,19.5,76,0.08374,0.05035
IC2247,22.5,80,0.05557,0.04413
IC2487,1.5,5,0.226,0.02492
IC2487,4.5,18,0.1623,0.04542
IC2487,7.5,28,0.1366,0.03722
IC2487,10.5,42,0.1258,0.03109
IC2487,13.5,53,0.1067,0.02923
IC2487,16.5,64,0.07713,0.0311
