# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
ARP220,1.5,24,4.884,0.5857
ARP220,4.5,73,2.508,0.8285
ARP220,7.5,124,0.7088,0.3807
ARP220,10.5,170,0.1431,0.1065
ARP220,13.5,216,0.0302,0.03096
ARP220,16.5,155,0.01602,0.01774
ARP220,19.5,52,0.02372,0.01756
ARP220,22.5,35,0.01836,0.009993
IC0480,1.5,6,0.458,0.01223
IC0480,4.5,19,0.4031,0.03831
IC0480,7.5,33,0.3198,0.06121
IC0480,10.5,44,0.2359,0.06585
IC0480,13.5,61,0.1722,0.0595
IC0480,16.5,69,0.1158,0.05327
IC0480,19.5,87,0.07692,0.04711
IC0480,22.5,84,0.05122,0.03393
IC0540,1.5,10,0.04841,0.01404
IC0540,4.5,31,0.0295,0.01689
IC0540,7.5,32,0.02183,0.01282
IC0540,10.5,23,0.01617,0.006731
IC0540,13.5,17,0.01367,0.005836
IC0540,16.5,10,0.009282,0.002172
IC0540,19.5,4,0.01133,0.001711
IC0540,22.5,0,0.0,0.0
IC0944,1.5,7,0.2291,0.01543
IC0944,4.5,22,0.1966,0.03037
IC0944,7.5,37,0.1537,0.0365
IC0944,10.5,49,0.1141,0.03917
IC0944,13.5,66,0.08482,0.03181
IC0944,16.5,81,0.0607,0.02659
IC0944,19.5,93,0.04376,0.02181
IC0944,22.5,108,0.02878,0.01635
IC1151,1.5,8,0.01133,0.002379
IC1151,4.5,16,0.01224,0.002293
IC1151,7.5,12,0.01109,0.002388
IC1151,10.5,3,0.009383,0.001024
IC1151,13.5,0,0.0,0.0
IC1151,16.5,0,0.0,0.0
IC1151,19.5,0,0.0,0.0
IC1151,22.5,0,0.0,0.0
IC1199,1.5,11,0.06074,0.02222
IC1199,4.5,36,0.04122,0.0199
IC1199,7.5,60,0.02756,0.01219
IC1199,10.5,80,0.02719,0.01531
IC1199,13.5,99,0.03028,0.02264
IC1199,16.5,111,0.02623,0.0207
IC1199,19.5,115,0.01979,0.01333
IC1199,22.5,93,0.01311,0.008795
IC1683,1.5,17,0.7355,0.07596
IC1683,4.5,48,0.4879,0.1298
IC1683,7.5,81,0.2386,0.1153
IC1683,10.5,114,0.109,0.07311
IC1683,13.5,130,0.05252,0.04764
IC1683,16.5,86,0.03566,0.02933
IC1683,19.5,48,0.0184,0.01259
IC1683,22.5,18,0.008816,0.004915
IC2247,1.5,5,0.2412,0.008085
IC2247,4.5,18,0.2296,0.01172
IC2247,7.5,30,0.2029,0.0166
IC2247,10.5,42,0.1698,0.02084
IC2247,13.5,54,0.1375,0.0224
IC2247,16.5,65,0.1029,0.0243
IC2247,19.5,79,0.07314,0.02585
IC2247,22.5,89,0.04908,0.02479
IC2487,1.5,6,0.08987,0.01111
IC2487,4.5,17,0.09189,0.01525
IC2487,7.5,30,0.08833,0.01255
IC2487,10.5,41,0.08077,0.0125
IC2487,13.5,53,0.06835,0.01916
IC2487,16.5,64,0.05284,0.02077
IC2487,19.5,77,0.03929,0.02081
IC2487,22.5,79,0.03143,0.01898
IC4566,1.5,0,0.005264,0.0
IC4566,4.5,26,0.00801,0.002676
IC4566,7.5,67,0.01205,0.005029
IC4566,10.5,110,0.01939,0.01189
IC4566,13.5,145,0.02501,0.0143
IC4566,16.5,174,0.02334,0.01278
IC4566,19.5,196,0.01729,0.01206
IC4566,22.5,159,0.01297,0.00925
NGC0447,1.5,25,0.2458,0.02292
NGC0447,4.5,73,0.1409,0.03993
NGC0447,7.5,123,0.03933,0.02303
NGC0447,10.5,123,0.007035,0.005994
NGC0447,13.5,18,0.003354,0.001858
NGC0447,16.5,0,0.0,0.0
NGC0447,19.5,1,0.004849,0.0003579
NGC0447,22.5,33,0.006646,0.0009781
NGC0477,1.5,13,0.01282,0.002115
NGC0477,4.5,43,0.01262,0.005291
NGC0477,7.5,52,0.008519,0.002964
NGC0477,10.5,47,0.009727,0.004539
NGC0477,13.5,61,0.01253,0.005556
NGC0477,16.5,59,0.01219,0.006227
NGC0477,19.5,75,0.01009,0.005956
NGC0477,22.5,93,0.009512,0.004244
NGC0496,1.5,14,0.1655,0.006181
NGC0496,4.5,47,0.1366,0.01469
NGC0496,7.5,76,0.09805,0.01574
NGC0496,10.5,108,0.06231,0.01525
NGC0496,13.5,136,0.0345,0.01218
NGC0496,16.5,167,0.01788,0.008338
NGC0496,19.5,150,0.01072,0.005956
NGC0496,22.5,89,0.007821,0.003851
NGC0523,1.5,9,0.1533,0.01155
NGC0523,4.5,26,0.1131,0.02754
NGC0523,7.5,45,0.0833,0.03339
NGC0523,10.5,62,0.06666,0.03452
NGC0523,13.5,79,0.05758,0.03972
NGC0523,16.5,87,0.05377,0.04864
NGC0523,19.5,75,0.0628,0.05812
NGC0523,22.5,74,0.07019,0.06561
NGC0551,1.5,0,0.0,0.0
NGC0551,4.5,16,0.009305,0.003673
NGC0551,7.5,40,0.01411,0.008092
NGC0551,10.5,62,0.02047,0.01362
NGC0551,13.5,80,0.02362,0.0157
NGC0551,16.5,99,0.02511,0.01505
NGC0551,19.5,108,0.02178,0.012
NGC0551,22.5,122,0.01372,0.008879
NGC1167,1.5,0,0.0,0.0
NGC1167,4.5,0,0.0,0.0
NGC1167,7.5,0,0.0,0.0
NGC1167,10.5,0,0.0,0.0
NGC1167,13.5,0,0.0,0.0
NGC1167,16.5,0,0.0,0.0
NGC1167,19.5,0,0.0,0.0
NGC1167,22.5,26,0.006077,0.001448
NGC2253,1.5,19,0.4807,0.05457
NGC2253,4.5,57,0.2901,0.09105
NGC2253,7.5,96,0.1572,0.05176
NGC2253,10.5,134,0.1308,0.01816
NGC2253,13.5,172,0.1194,0.02251
NGC2253,16.5,210,0.09087,0.02799
NGC2253,19.5,248,0.06596,0.02446
NGC2253,22.5,289,0.0483,0.02127
NGC2347,1.5,18,0.1683,0.01463
NGC2347,4.5,54,0.1466,0.02214
NGC2347,7.5,90,0.1178,0.02775
NGC2347,10.5,126,0.08375,0.02804
NGC2347,13.5,161,0.05141,0.02227
NGC2347,16.5,200,0.02857,0.01575
NGC2347,19.5,211,0.01582,0.009518
NGC2347,22.5,131,0.008754,0.005863
NGC2410,1.5,8,0.1583,0.00857
NGC2410,4.5,26,0.1429,0.02003
NGC2410,7.5,45,0.1259,0.02753
NGC2410,10.5,61,0.109,0.0319
NGC2410,13.5,80,0.08951,0.03823
NGC2410,16.5,99,0.06574,0.04221
NGC2410,19.5,113,0.04673,0.03798
NGC2410,22.5,119,0.03614,0.02906
NGC2480,1.5,16,0.04256,0.01182
NGC2480,4.5,47,0.02698,0.009416
NGC2480,7.5,69,0.01773,0.00763
NGC2480,10.5,48,0.01912,0.01326
NGC2480,13.5,39,0.02451,0.01694
NGC2480,16.5,38,0.0231,0.01648
NGC2480,19.5,31,0.0143,0.0105
NGC2480,22.5,24,0.006529,0.002223
NGC2487,1.5,24,0.0928,0.0225
NGC2487,4.5,61,0.03565,0.02009
NGC2487,7.5,76,0.01458,0.009071
NGC2487,10.5,40,0.01011,0.004601
NGC2487,13.5,21,0.007422,0.001347
NGC2487,16.5,0,0.006397,0.0
NGC2487,19.5,21,0.007914,0.001856
NGC2487,22.5,52,0.008893,0.002816
NGC2623,1.5,19,1.438,0.145
NGC2623,4.5,59,0.8073,0.259
NGC2623,7.5,98,0.2751,0.1673
NGC2623,10.5,138,0.07141,0.06684
NGC2623,13.5,170,0.01861,0.02181
NGC2623,16.5,118,0.009111,0.009697
NGC2623,19.5,53,0.006958,0.006272
NGC2623,22.5,20,0.006099,0.00387
NGC2639,1.5,14,0.007759,0.002803
NGC2639,4.5,49,0.01547,0.01618
NGC2639,7.5,72,0.0436,0.03402
NGC2639,10.5,110,0.07128,0.05162
NGC2639,13.5,143,0.07497,0.05482
NGC2639,16.5,158,0.06572,0.04966
NGC2639,19.5,160,0.04332,0.03525
NGC2639,22.5,139,0.02744,0.02295
NGC2730,1.5,25,0.01683,0.005626
NGC2730,4.5,67,0.008999,0.003062
NGC2730,7.5,89,0.01018,0.004496
NGC2730,10.5,107,0.01348,0.006258
NGC2730,13.5,136,0.01424,0.00647
NGC2730,16.5,170,0.01164,0.005043
NGC2730,19.5,158,0.009352,0.004063
NGC2730,22.5,102,0.007171,0.003239
NGC2906,1.5,15,0.0974,0.01582
NGC2906,4.5,48,0.0821,0.02958
NGC2906,7.5,78,0.06007,0.02974
NGC2906,10.5,112,0.0599,0.02602
NGC2906,13.5,138,0.06167,0.02865
NGC2906,16.5,165,0.057,0.03127
NGC2906,19.5,180,0.04858,0.02796
NGC2906,22.5,184,0.03466,0.02078
NGC2916,1.5,0,0.0,0.0
NGC2916,4.5,0,0.0,0.0
NGC2916,7.5,0,0.0,0.0
NGC2916,10.5,8,0.007917,0.001051
NGC2916,13.5,36,0.01106,0.004203
NGC2916,16.5,82,0.01305,0.006138
NGC2916,19.5,107,0.01684,0.008572
NGC2916,22.5,118,0.01938,0.01071
NGC3303,1.5,14,0.07783,0.01223
NGC3303,4.5,41,0.05091,0.02284
NGC3303,7.5,56,0.0289,0.02394
NGC3303,10.5,44,0.01888,0.01416
NGC3303,13.5,37,0.009679,0.004623
NGC3303,16.5,14,0.004504,0.002462
NGC3303,19.5,6,0.004386,0.00131
NGC3303,22.5,0,0.0,0.0
NGC3381,1.5,24,0.04344,0.01534
NGC3381,4.5,53,0.02337,0.01586
NGC3381,7.5,50,0.01475,0.01138
NGC3381,10.5,50,0.01294,0.009664
NGC3381,13.5,46,0.01754,0.009299
NGC3381,16.5,53,0.02053,0.01045
NGC3381,19.5,66,0.02245,0.01027
NGC3381,22.5,56,0.01782,0.006752
NGC3811,1.5,21,0.4778,0.04792
NGC3811,4.5,65,0.2774,0.08008
NGC3811,7.5,107,0.1133,0.04749
NGC3811,10.5,154,0.03841,0.01954
NGC3811,13.5,184,0.01948,0.01198
NGC3811,16.5,177,0.02278,0.01194
NGC3811,19.5,191,0.0274,0.01229
NGC3811,22.5,210,0.02108,0.01114
NGC3815,1.5,13,0.0277,0.01631
NGC3815,4.5,43,0.04655,0.02899
NGC3815,7.5,67,0.06388,0.03307
NGC3815,10.5,91,0.06858,0.0334
NGC3815,13.5,107,0.04956,0.02424
NGC3815,16.5,117,0.02274,0.01192
NGC3815,19.5,114,0.01004,0.004695
NGC3815,22.5,56,0.006424,0.002622
NGC3994,1.5,14,0.29,0.01422
NGC3994,4.5,43,0.2679,0.03144
NGC3994,7.5,71,0.2039,0.04267
NGC3994,10.5,99,0.1206,0.04497
NGC3994,13.5,129,0.05286,0.03133
NGC3994,16.5,133,0.0217,0.01504
NGC3994,19.5,96,0.0113,0.006727
NGC3994,22.5,50,0.007625,0.005081
NGC4047,1.5,21,0.4236,0.01768
NGC4047,4.5,63,0.3793,0.03236
NGC4047,7.5,105,0.3176,0.03622
NGC4047,10.5,146,0.2362,0.03424
NGC4047,13.5,188,0.1613,0.03245
NGC4047,16.5,230,0.106,0.03242
NGC4047,19.5,275,0.05904,0.02752
NGC4047,22.5,305,0.02666,0.01778
NGC4149,1.5,11,0.4535,0.02082
NGC4149,4.5,32,0.3705,0.03664
NGC4149,7.5,58,0.2647,0.04542
NGC4149,10.5,79,0.1655,0.04532
NGC4149,13.5,102,0.08372,0.03361
NGC4149,16.5,125,0.0394,0.02138
NGC4149,19.5,145,0.01605,0.01189
NGC4149,22.5,109,0.004871,0.004191
NGC4185,1.5,0,0.0,0.0
NGC4185,4.5,0,0.0,0.0
NGC4185,7.5,6,0.01178,0.00149
NGC4185,10.5,38,0.01318,0.005952
NGC4185,13.5,68,0.01586,0.01184
NGC4185,16.5,94,0.01502,0.01255
NGC4185,19.5,118,0.01261,0.008466
NGC4185,22.5,126,0.009726,0.004043
NGC4210,1.5,6,0.00562,0.0006218
NGC4210,4.5,47,0.00552,0.002239
NGC4210,7.5,89,0.009283,0.005132
NGC4210,10.5,124,0.01925,0.01135
NGC4210,13.5,146,0.02728,0.01353
NGC4210,16.5,172,0.02741,0.01204
NGC4210,19.5,200,0.02256,0.01081
NGC4210,22.5,214,0.0153,0.007987
NGC4211NED02,1.5,24,0.03399,0.01109
NGC4211NED02,4.5,68,0.01599,0.007893
NGC4211NED02,7.5,54,0.007611,0.001859
NGC4211NED02,10.5,2,0.006321,0.0001166
NGC4211NED02,13.5,2,0.008265,0.0008905
