# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbVmean_e1, unit: km / s, datatype: float64}
# - {name: bbVmean_e2, unit: km / s, datatype: float64}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbPA_e1, unit: deg, datatype: float64}
# - {name: bbPA_e2, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# delimiter: ','
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbVmean_e1,bbVmean_e2,bbPA,bbPA_e1,bbPA_e2,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag
ARP220,1.5,396.706,-61.262,55.963,8.0,79.318,78.104,5352.292,-40.297,43.409,164.619,-33.853,33.124,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,4.5,410.605,-82.618,84.454,8.0,79.318,78.104,5329.314,-49.124,61.817,143.285,-9.118,9.118,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,7.5,280.688,-34.327,32.155,8.0,79.318,78.104,5327.479,-28.252,32.416,142.926,-3.025,3.025,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,10.5,296.612,-24.299,33.064,8.0,79.318,78.104,5374.914,-16.958,13.446,146.478,-5.181,5.181,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,13.5,240.628,-23.207,20.764,8.0,79.318,78.104,5337.128,-28.555,23.01,152.979,-3.492,4.456,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,16.5,218.336,-28.026,33.358,8.0,79.318,78.104,5321.216,-65.655,72.759,162.359,-8.48,8.48,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,19.5,226.874,-25.351,33.405,8.0,79.318,78.104,5324.985,-129.794,107.899,158.694,-6.522,8.568,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,22.5,245.964,-59.927,55.674,8.0,79.318,78.104,5249.793,-22.374,35.112,150.313,-4.495,5.75,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,1.5,406.081,-64.989,63.509,8.0,79.318,78.104,5328.396,,,152.351,,,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0
ARP220,4.5,425.605,-96.252,80.539,8.0,79.318,78.104,5328.396,,,152.351,,,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0
ARP220,7.5,282.563,-29.055,22.686,8.0,79.318,78.104,5328.396,,,152.351,,,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0
ARP220,10.5,401.612,-62.091,64.7,8.0,79.318,78.104,5328.396,,,152.351,,,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0
ARP220,13.5,221.878,-23.167,24.073,8.0,79.318,78.104,5328.396,,,152.351,,,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0
ARP220,16.5,229.586,-29.265,28.127,8.0,79.318,78.104,5328.396,,,152.351,,,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0
ARP220,19.5,249.374,-39.19,32.161,8.0,79.318,78.104,5328.396,,,152.351,,,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0
ARP220,22.5,260.964,-60.512,57.941,8.0,79.318,78.104,5328.396,,,152.351,,,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0
