# %ECSV 0.9
# ---
# datatype:
# - {name: GAL_NAME, datatype: string}
# - {name: RACTR, unit: deg, datatype: float64}
# - {name: DCCTR, unit: deg, datatype: float64}
# - {name: offset, unit: arcsec, datatype: float64, description: offset from ned position. Only not equal to 0 when a 2D-Gaussian-fitted
#     position is used}
# - {name: XPOSFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: YPOSFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: INCFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: PAFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: VSYSFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: VDISPFIT(0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: VROTFIT(0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous fit}
# - {name: FTYPE, datatype: int64}
# - {name: WFUNC, datatype: int64}
# - {name: BADFLAG, datatype: int64, description: 'BADFLAG = 1 when some ringlog exits, but Bbarolo fails to produce at least one of the
#     plots'}
# - {name: RAD, unit: arcsec, datatype: float64}
# - {name: VROT, unit: km / s, datatype: float64}
# - {name: DISP, unit: km / s, datatype: float64}
# - {name: INC, unit: deg, datatype: float64}
# - {name: P.A., unit: deg, datatype: float64}
# - {name: Z0, unit: arcsec, datatype: float64}
# - {name: XPOS, unit: pix, datatype: float64}
# - {name: YPOS, unit: pix, datatype: float64}
# - {name: VSYS, unit: km / s, datatype: float64}
# - {name: E_VROT1, unit: km / s, datatype: float64}
# - {name: E_VROT2, unit: km / s, datatype: float64}
# - {name: E_PA1, unit: deg, datatype: float64}
# - {name: E_PA2, unit: deg, datatype: float64}
# - {name: E_VSYS1, unit: km / s, datatype: float64}
# - {name: E_VSYS2, unit: km / s, datatype: float64}
# delimiter: ','
# schema: astropy-2.0
GAL_NAME,RACTR,DCCTR,offset,XPOSFIT(-1/0/1),YPOSFIT(-1/0/1),INCFIT(-1/0/1),PAFIT(-1/0/1),VSYSFIT(-1/0/1),VDISPFIT(0/1),VROTFIT(0/1),FTYPE,WFUNC,BADFLAG,RAD,VROT,DISP,INC,P.A.,Z0,XPOS,YPOS,VSYS,E_VROT1,E_VROT2,E_PA1,E_PA2,E_VSYS1,E_VSYS2
ARP220,233.73854,23.50314,0.0,0,0,0,1,1,0,1,1,1,0,1.5,264.866,8.0,29.7,146.195,0.265,88.318,87.104,5318.111,-21.187,16.324,-8.778,8.778,-33.871,49.017
ARP220,233.73854,23.50314,0.0,0,0,0,1,1,0,1,1,1,0,4.5,266.379,8.0,29.7,142.76,0.265,88.318,87.104,5320.052,-51.332,51.488,-3.929,3.929,-75.217,64.444
ARP220,233.73854,23.50314,0.0,0,0,0,1,1,0,1,1,1,0,7.5,236.49,8.0,29.7,148.051,0.265,88.318,87.104,5435.772,-30.35,41.051,-8.943,8.943,-135.021,135.021
ARP220,233.73854,23.50314,0.0,0,0,0,1,1,0,1,1,1,0,10.5,225.949,8.0,29.7,157.704,0.265,88.318,87.104,5340.417,-23.558,23.558,-2.048,2.682,-82.13,101.481
ARP220,233.73854,23.50314,0.0,0,0,0,1,1,0,1,1,1,0,13.5,204.611,8.0,29.7,158.897,0.265,88.318,87.104,5231.268,-29.504,21.411,-4.798,5.911,-26.273,33.128
ARP220,233.73854,23.50314,0.0,0,0,0,1,1,0,1,1,1,0,16.5,199.785,8.0,29.7,146.962,0.265,88.318,87.104,5993.678,-2.918,2.918,-6.565,6.565,-2.188,2.188
ARP220,233.73854,23.50314,0.0,0,0,0,1,1,0,1,1,1,0,19.5,183.029,8.0,29.7,149.68,0.265,88.318,87.104,6054.128,-30.568,34.506,-4.956,5.764,-11.841,13.423
ARP220,233.73854,23.50314,0.0,0,0,0,1,1,0,1,1,1,0,22.5,245.306,8.0,29.7,144.514,0.265,88.318,87.104,5169.442,-20.591,20.591,-1.435,1.788,-37.719,35.495
ARP220,233.73854,23.50314,0.0,0,0,0,-1,-1,0,1,1,1,0,1.5,399.866,8.0,29.7,148.851,0.265,88.318,87.104,5330.234,-74.685,75.004,,,,
ARP220,233.73854,23.50314,0.0,0,0,0,-1,-1,0,1,1,1,0,4.5,281.379,8.0,29.7,148.851,0.265,88.318,87.104,5330.234,-57.682,68.414,,,,
ARP220,233.73854,23.50314,0.0,0,0,0,-1,-1,0,1,1,1,0,7.5,603.99,8.0,29.7,148.851,0.265,88.318,87.104,5330.234,-123.564,151.568,,,,
ARP220,233.73854,23.50314,0.0,0,0,0,-1,-1,0,1,1,1,0,10.5,244.699,8.0,29.7,148.851,0.265,88.318,87.104,5330.234,-44.974,44.019,,,,
ARP220,233.73854,23.50314,0.0,0,0,0,-1,-1,0,1,1,1,0,13.5,234.611,8.0,29.7,148.851,0.265,88.318,87.104,5330.234,-52.71,29.689,,,,
