# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
ARP220,1.5,24,4.947,0.5913
ARP220,4.5,73,2.522,0.84
ARP220,7.5,123,0.7104,0.3833
ARP220,10.5,172,0.1473,0.1111
ARP220,13.5,181,0.03488,0.03044
ARP220,16.5,127,0.02459,0.01803
ARP220,19.5,110,0.02507,0.01779
ARP220,22.5,89,0.02657,0.02555
IC0480,1.5,6,0.4701,0.01745
IC0480,4.5,20,0.4092,0.04424
IC0480,7.5,31,0.32,0.06751
IC0480,10.5,47,0.2431,0.07061
IC0480,13.5,57,0.1737,0.06188
IC0480,16.5,74,0.1296,0.05814
IC0480,19.5,82,0.08691,0.04827
IC0480,22.5,97,0.05835,0.03894
IC0540,1.5,10,0.1787,0.03672
IC0540,4.5,31,0.1321,0.06296
IC0540,7.5,51,0.08359,0.05794
IC0540,10.5,59,0.0524,0.04356
IC0540,13.5,45,0.0412,0.03341
IC0540,16.5,38,0.02952,0.02294
IC0540,19.5,35,0.02061,0.01387
IC0540,22.5,30,0.01372,0.008209
IC0944,1.5,7,0.4214,0.0297
IC0944,4.5,22,0.3383,0.06536
IC0944,7.5,35,0.2552,0.07436
IC0944,10.5,52,0.1955,0.06593
IC0944,13.5,65,0.1515,0.05089
IC0944,16.5,81,0.1165,0.03822
IC0944,19.5,95,0.08922,0.0298
IC0944,22.5,109,0.0677,0.02552
IC1199,1.5,12,0.1733,0.01926
IC1199,4.5,36,0.1266,0.03438
IC1199,7.5,61,0.08623,0.0332
IC1199,10.5,85,0.06913,0.02154
IC1199,13.5,110,0.06006,0.01594
IC1199,16.5,132,0.04856,0.01328
IC1199,19.5,157,0.03551,0.01005
IC1199,22.5,176,0.02232,0.008689
IC1683,1.5,17,0.7854,0.07479
IC1683,4.5,48,0.5275,0.1311
IC1683,7.5,81,0.2625,0.1164
IC1683,10.5,114,0.1168,0.07399
IC1683,13.5,134,0.05659,0.04596
IC1683,16.5,109,0.03904,0.03086
IC1683,19.5,83,0.02675,0.01963
IC1683,22.5,61,0.01709,0.01142
IC2247,1.5,5,0.2881,0.01146
IC2247,4.5,18,0.2552,0.0234
IC2247,7.5,30,0.2205,0.02487
IC2247,10.5,42,0.1852,0.02651
IC2247,13.5,54,0.1507,0.02673
IC2247,16.5,65,0.1201,0.02739
IC2247,19.5,78,0.09045,0.02923
IC2247,22.5,90,0.06473,0.02835
IC2487,1.5,6,0.1638,0.00807
IC2487,4.5,16,0.1427,0.01738
IC2487,7.5,31,0.1256,0.01772
IC2487,10.5,40,0.1153,0.01501
IC2487,13.5,53,0.1008,0.01918
IC2487,16.5,65,0.08303,0.02534
IC2487,19.5,77,0.06475,0.02853
