# %ECSV 0.9
# ---
# datatype:
# - {name: GAL_NAME, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: '# of pixels in ring'}
# - {name: SURFDENS, unit: Jy km / (arcsec2 s), datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: Jy km / (arcsec2 s), datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# schema: astropy-2.0
GAL_NAME,RADIUS,NPIX,SURFDENS,ERR_SD
ARP220,1.5,24,8.763,2.593
ARP220,4.5,73,2.22,1.577
ARP220,7.5,123,0.3177,0.3039
ARP220,10.5,148,0.08474,0.08763
ARP220,13.5,104,0.02728,0.02625
ARP220,16.5,73,0.01894,0.01338
ARP220,19.5,45,0.02102,0.01344
ARP220,22.5,29,0.03949,0.03825
IC0480,1.5,6,0.7555,0.04641
IC0480,4.5,20,0.6109,0.08944
IC0480,7.5,31,0.4301,0.1067
IC0480,10.5,47,0.2836,0.08537
IC0480,13.5,58,0.1782,0.06845
IC0480,16.5,70,0.1145,0.06413
IC0480,19.5,72,0.07666,0.05133
IC0480,22.5,65,0.05269,0.04033
IC1151,1.5,6,0.04331,0.02544
IC1151,4.5,17,0.04463,0.02287
IC1151,7.5,18,0.03805,0.01701
IC1151,10.5,24,0.03711,0.01283
IC1151,13.5,22,0.03013,0.01744
IC1151,16.5,9,0.03569,0.02075
IC1151,19.5,9,0.02721,0.01577
IC1151,22.5,5,0.01277,0.01067
IC1199,1.5,13,0.2455,0.07037
IC1199,4.5,36,0.1227,0.07702
IC1199,7.5,60,0.06699,0.05058
IC1199,10.5,85,0.05765,0.03414
IC1199,13.5,106,0.06393,0.02982
IC1199,16.5,133,0.0549,0.02304
IC1199,19.5,153,0.04131,0.01723
IC1199,22.5,136,0.02556,0.0125
IC1683,1.5,16,1.259,0.2525
IC1683,4.5,48,0.5736,0.2932
IC1683,7.5,82,0.2006,0.1365
IC1683,10.5,110,0.09504,0.05966
IC1683,13.5,108,0.05895,0.04508
IC1683,16.5,87,0.04698,0.03405
IC1683,19.5,61,0.02889,0.02137
IC1683,22.5,31,0.02017,0.01281
IC2247,1.5,5,0.4761,0.05423
IC2247,4.5,17,0.3659,0.07431
IC2247,7.5,30,0.2896,0.05766
IC2247,10.5,41,0.2322,0.03999
IC2247,13.5,54,0.1763,0.03198
IC2247,16.5,66,0.1283,0.03026
IC2247,19.5,78,0.08854,0.03627
IC2247,22.5,90,0.05097,0.03155
IC2487,1.5,6,0.2228,0.02659
IC2487,4.5,17,0.1636,0.04574
IC2487,7.5,29,0.1344,0.03839
IC2487,10.5,41,0.1262,0.02856
IC2487,13.5,52,0.1031,0.03164
IC2487,16.5,63,0.07641,0.03166
IC2487,19.5,67,0.06283,0.03208
IC2487,22.5,75,0.05128,0.02783
IC4566,1.5,16,0.03021,0.01735
IC4566,4.5,43,0.04047,0.01785
IC4566,7.5,70,0.03105,0.01908
IC4566,10.5,110,0.04288,0.0247
IC4566,13.5,143,0.05159,0.02371
IC4566,16.5,177,0.04855,0.02419
IC4566,19.5,194,0.04564,0.02847
IC4566,22.5,178,0.03504,0.02761
NGC0447,1.5,25,0.4044,0.06028
NGC0447,4.5,74,0.1847,0.07376
NGC0447,7.5,107,0.04121,0.02597
NGC0447,10.5,53,0.01509,0.01471
NGC0447,13.5,5,0.01236,0.008012
NGC0447,16.5,0,0.0,0.0
NGC0447,19.5,0,0.0,0.0
NGC0447,22.5,29,0.01567,0.01151
NGC0477,1.5,13,0.08215,0.0285
NGC0477,4.5,41,0.06558,0.03479
NGC0477,7.5,65,0.03593,0.02609
NGC0477,10.5,69,0.03005,0.01697
NGC0477,13.5,59,0.02787,0.01826
NGC0477,16.5,44,0.03814,0.02622
NGC0477,19.5,52,0.04146,0.02806
NGC0477,22.5,52,0.04217,0.02449
NGC0496,1.5,15,0.2337,0.02826
