# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string, description: Galaxy Name}
# - {name: bbRad, unit: arcsec, datatype: float64, description: Galactocentric radius of ring}
# - {name: bbVrot, unit: km / s, datatype: float64}
# - {name: bbVrot_e1, unit: km / s, datatype: float64}
# - {name: bbVrot_e2, unit: km / s, datatype: float64}
# - {name: bbVdisp, unit: km / s, datatype: float64}
# - {name: bbXpos, unit: pix, datatype: float64}
# - {name: bbYpos, unit: pix, datatype: float64}
# - {name: bbVmean, unit: km / s, datatype: float64, description: 'Systemic velocity in radio defn, LSR frame'}
# - {name: bbVmean_e1, unit: km / s, datatype: float64}
# - {name: bbVmean_e2, unit: km / s, datatype: float64}
# - {name: bbPA, unit: deg, datatype: float64}
# - {name: bbPA_e1, unit: deg, datatype: float64}
# - {name: bbPA_e2, unit: deg, datatype: float64}
# - {name: bbInc, unit: deg, datatype: float64}
# - {name: bbZ0, unit: arcsec, datatype: float64, description: Scale height of disk in arcsec}
# - {name: bbVrotfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbVdispfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbXposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbYposfit, unit: pix, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbVsysfit, unit: km / s, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of
#     previous fit}
# - {name: bbPAfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbIncfit, unit: deg, datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: bbFtype, datatype: int64, description: 'Function to minimize: 1=chi-squared, 2=|mod-obs|'}
# - {name: bbWfunc, datatype: int64, description: 'Weighting function: 0=uniform, 1=|cos|, 2=cos^2'}
# - {name: bbFlag, datatype: int64, description: '=1 when some ringlog exits, but Bbarolo fails to produce at least one of the plots'}
# delimiter: ','
# schema: astropy-2.0
bbName,bbRad,bbVrot,bbVrot_e1,bbVrot_e2,bbVdisp,bbXpos,bbYpos,bbVmean,bbVmean_e1,bbVmean_e2,bbPA,bbPA_e1,bbPA_e2,bbInc,bbZ0,bbVrotfit,bbVdispfit,bbXposfit,bbYposfit,bbVsysfit,bbPAfit,bbIncfit,bbFtype,bbWfunc,bbFlag
ARP220,1.5,391.0,-57.082,57.442,8.0,79.318,78.104,5349.401,-38.583,41.048,165.77,-31.888,32.83,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,4.5,371.188,-56.164,71.583,8.0,79.318,78.104,5356.488,-46.123,37.615,142.842,-9.275,9.275,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,7.5,280.688,-34.535,40.311,8.0,79.318,78.104,5327.479,-38.444,39.108,142.926,-3.152,3.152,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,10.5,301.392,-25.28,35.338,8.0,79.318,78.104,5371.329,-9.794,13.522,147.54,-4.103,5.229,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,13.5,253.002,-23.211,18.89,8.0,79.318,78.104,5343.47,-24.061,19.349,153.442,-5.986,7.837,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,16.5,219.938,-32.326,35.074,8.0,79.318,78.104,5322.85,-92.73,110.818,159.088,-5.895,5.465,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,19.5,210.667,-57.408,57.408,8.0,79.318,78.104,5561.808,-611.876,421.217,157.488,-3.637,3.096,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,22.5,200.95,-21.106,28.65,8.0,79.318,78.104,5738.471,-383.393,283.569,155.438,-3.112,2.58,29.7,0.265,1,0,0,0,1,1,0,1,1,0
ARP220,1.5,383.5,-51.56,58.015,8.0,79.318,78.104,5352.945,,,152.654,,,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0
ARP220,4.5,376.813,-61.504,76.917,8.0,79.318,78.104,5352.945,,,152.654,,,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0
ARP220,7.5,239.438,-26.128,23.564,8.0,79.318,78.104,5352.945,,,152.654,,,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0
ARP220,10.5,458.892,-93.438,67.293,8.0,79.318,78.104,5352.945,,,152.654,,,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0
ARP220,13.5,283.002,-25.15,19.107,8.0,79.318,78.104,5352.945,,,152.654,,,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0
ARP220,16.5,279.938,-34.246,29.933,8.0,79.318,78.104,5352.945,,,152.654,,,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0
ARP220,19.5,165.667,0.0,0.0,8.0,79.318,78.104,5352.945,,,152.654,,,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0
ARP220,22.5,65.95,0.0,0.0,8.0,79.318,78.104,5352.945,,,152.654,,,29.7,0.265,1,0,0,0,-1,-1,0,1,1,0
IC0480,1.5,180.122,-17.323,23.696,8.0,79.455,85.29,4662.26,-21.322,16.099,355.228,-1.79,1.79,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,4.5,210.466,-27.564,21.16,8.0,79.455,85.29,4463.55,-29.063,34.622,342.855,-5.368,4.487,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,7.5,199.633,-12.184,9.218,8.0,79.455,85.29,4502.858,-31.409,39.042,359.861,-14.531,16.087,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,10.5,140.355,-3.891,4.682,8.0,79.455,85.29,4556.425,-1.297,1.561,359.812,-1.729,2.081,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,13.5,198.93,-11.176,8.472,8.0,79.455,85.29,4597.484,-3.725,2.824,356.748,-4.967,3.765,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,16.5,154.13,-5.279,4.1,8.0,79.455,85.29,4550.853,-3.497,3.702,346.927,-5.212,7.007,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,19.5,203.533,-11.123,7.566,8.0,79.455,85.29,4579.81,-5.056,3.559,354.6,-4.044,3.11,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,22.5,169.581,-8.102,8.246,8.0,79.455,85.29,4547.929,-4.293,5.228,345.611,-4.776,7.437,76.6,0.311,1,0,0,0,1,1,0,1,1,0
IC0480,1.5,62.232,-5.47,5.391,8.0,79.455,85.29,4553.639,,,353.154,,,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0
IC0480,4.5,297.653,-21.511,29.84,8.0,79.455,85.29,4553.639,,,353.154,,,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0
IC0480,7.5,300.883,-34.342,49.158,8.0,79.455,85.29,4553.639,,,353.154,,,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0
IC0480,10.5,139.535,-4.59,4.282,8.0,79.455,85.29,4553.639,,,353.154,,,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0
IC0480,13.5,243.93,-29.882,37.575,8.0,79.455,85.29,4553.639,,,353.154,,,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0
IC0480,16.5,153.192,-4.399,4.387,8.0,79.455,85.29,4553.639,,,353.154,,,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0
IC0480,19.5,166.033,-7.256,6.168,8.0,79.455,85.29,4553.639,,,353.154,,,76.6,0.311,1,0,0,0,-1,-1,0,1,1,0
