# %ECSV 0.9
# ---
# datatype:
# - {name: GAL_NAME, datatype: string}
# - {name: RACTR, unit: deg, datatype: float64}
# - {name: DCCTR, unit: deg, datatype: float64}
# - {name: offset, unit: arcsec, datatype: float64, description: offset from ned position. Only not equal to 0 when a 2D-Gaussian-fitted
#     position is used}
# - {name: XPOSFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: YPOSFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: INCFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: PAFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: VSYSFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: VDISPFIT(0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: VROTFIT(0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous fit}
# - {name: FTYPE, datatype: int64}
# - {name: WFUNC, datatype: int64}
# - {name: BADFLAG, datatype: int64, description: 'BADFLAG = 1 when some ringlog exits, but Bbarolo fails to produce at least one of the
#     plots'}
# - {name: RAD, unit: arcsec, datatype: float64}
# - {name: VROT, unit: km / s, datatype: float64}
# - {name: DISP, unit: km / s, datatype: float64}
# - {name: INC, unit: deg, datatype: float64}
# - {name: P.A., unit: deg, datatype: float64}
# - {name: Z0, unit: arcsec, datatype: float64}
# - {name: XPOS, unit: pix, datatype: float64}
# - {name: YPOS, unit: pix, datatype: float64}
# - {name: VSYS, unit: km / s, datatype: float64}
# - {name: E_VROT1, unit: km / s, datatype: float64}
# - {name: E_VROT2, unit: km / s, datatype: float64}
# - {name: E_PA1, unit: deg, datatype: float64}
# - {name: E_PA2, unit: deg, datatype: float64}
# - {name: E_VSYS1, unit: km / s, datatype: float64}
# - {name: E_VSYS2, unit: km / s, datatype: float64}
# delimiter: ','
# schema: astropy-2.0
GAL_NAME,RACTR,DCCTR,offset,XPOSFIT(-1/0/1),YPOSFIT(-1/0/1),INCFIT(-1/0/1),PAFIT(-1/0/1),VSYSFIT(-1/0/1),VDISPFIT(0/1),VROTFIT(0/1),FTYPE,WFUNC,BADFLAG,RAD,VROT,DISP,INC,P.A.,Z0,XPOS,YPOS,VSYS,E_VROT1,E_VROT2,E_PA1,E_PA2,E_VSYS1,E_VSYS2
NGC2639,130.90867,50.20556,0.0,0,0,0,1,1,0,1,1,1,0,4.5,182.906,8.0,49.5,128.196,0.451,89.184,89.116,3247.161,-9.094,12.097,-4.406,5.525,-196.945,140.924
NGC2639,130.90867,50.20556,0.0,0,0,0,1,1,0,1,1,1,0,7.5,204.092,8.0,49.5,138.412,0.451,89.184,89.116,3243.994,-31.108,20.452,-24.064,18.189,-41.086,34.114
NGC2639,130.90867,50.20556,0.0,0,0,0,1,1,0,1,1,1,0,10.5,199.648,8.0,49.5,149.086,0.451,89.184,89.116,3255.438,-14.27,10.865,-6.342,4.829,-4.757,3.622
NGC2639,130.90867,50.20556,0.0,0,0,0,1,1,0,1,1,1,0,13.5,182.232,8.0,49.5,143.828,0.451,89.184,89.116,3031.675,-10.103,7.844,-22.854,27.825,-58.46,75.631
NGC2639,130.90867,50.20556,0.0,0,0,0,1,1,0,1,1,1,0,16.5,165.775,8.0,49.5,141.296,0.451,89.184,89.116,3298.966,-9.649,8.957,-4.288,3.981,-3.216,2.986
NGC2639,130.90867,50.20556,0.0,0,0,0,1,1,0,1,1,1,0,19.5,196.467,8.0,49.5,131.533,0.451,89.184,89.116,3283.584,-6.433,9.156,-8.379,8.379,-131.303,159.506
NGC2639,130.90867,50.20556,0.0,0,0,0,1,1,0,1,1,1,0,22.5,124.643,8.0,49.5,142.411,0.451,89.184,89.116,3347.663,-6.137,6.704,-6.429,6.429,-9.332,9.746
NGC2639,130.90867,50.20556,0.0,0,0,0,-1,-1,0,1,1,1,0,4.5,17.906,8.0,49.5,138.63,0.451,89.184,89.116,3251.299,-5.672,5.672,,,,
NGC2639,130.90867,50.20556,0.0,0,0,0,-1,-1,0,1,1,1,0,7.5,207.842,8.0,49.5,138.63,0.451,89.184,89.116,3251.299,-13.657,13.657,,,,
NGC2639,130.90867,50.20556,0.0,0,0,0,-1,-1,0,1,1,1,0,10.5,199.648,8.0,49.5,138.63,0.451,89.184,89.116,3251.299,-14.871,12.558,,,,
NGC2639,130.90867,50.20556,0.0,0,0,0,-1,-1,0,1,1,1,0,13.5,212.232,8.0,49.5,138.63,0.451,89.184,89.116,3251.299,-12.017,11.786,,,,
NGC2639,130.90867,50.20556,0.0,0,0,0,-1,-1,0,1,1,1,0,16.5,223.9,8.0,49.5,138.63,0.451,89.184,89.116,3251.299,-12.709,12.19,,,,
NGC2639,130.90867,50.20556,0.0,0,0,0,-1,-1,0,1,1,1,0,19.5,238.889,8.0,49.5,138.63,0.451,89.184,89.116,3251.299,-6.838,6.494,,,,
NGC2639,130.90867,50.20556,0.0,0,0,0,-1,-1,0,1,1,1,0,22.5,143.393,8.0,49.5,138.63,0.451,89.184,89.116,3251.299,-41.124,41.544,,,,
NGC5657,217.681989832,29.1808625466,1.01,0,0,0,1,1,0,1,1,1,0,1.5,156.466,8.0,68.3,156.332,0.366,87.984,89.105,3906.066,-14.105,10.807,-17.874,17.874,-37.983,31.375
NGC5657,217.681989832,29.1808625466,1.01,0,0,0,1,1,0,1,1,1,0,4.5,90.209,8.0,68.3,175.041,0.366,87.984,89.105,3851.834,-15.394,15.705,-8.129,6.094,-22.875,17.655
