# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
ARP220,1.5,24,4.88,0.584
ARP220,4.5,73,2.493,0.8261
ARP220,7.5,123,0.7057,0.3809
ARP220,10.5,172,0.1426,0.1088
ARP220,13.5,215,0.03039,0.03098
ARP220,16.5,154,0.01588,0.01764
ARP220,19.5,52,0.02398,0.01754
ARP220,22.5,35,0.01849,0.01016
IC0480,1.5,6,0.4575,0.01217
IC0480,4.5,20,0.4033,0.03909
IC0480,7.5,33,0.3186,0.06241
IC0480,10.5,45,0.2362,0.0668
IC0480,13.5,60,0.1719,0.06027
IC0480,16.5,69,0.1147,0.05435
IC0480,19.5,87,0.07852,0.04809
IC0480,22.5,84,0.05137,0.03449
IC0540,1.5,10,0.04931,0.01269
IC0540,4.5,31,0.02926,0.01713
IC0540,7.5,32,0.02203,0.0128
IC0540,10.5,24,0.01634,0.006604
IC0540,13.5,16,0.01308,0.005973
IC0540,16.5,12,0.01068,0.003707
IC0540,19.5,4,0.01108,0.001983
IC0540,22.5,0,0.0,0.0
IC0944,1.5,7,0.2278,0.0166
IC0944,4.5,22,0.1969,0.03019
IC0944,7.5,36,0.154,0.0366
IC0944,10.5,52,0.1145,0.03753
IC0944,13.5,65,0.08429,0.03135
IC0944,16.5,80,0.06022,0.02671
IC0944,19.5,95,0.04354,0.02283
IC0944,22.5,104,0.03029,0.01726
IC1151,1.5,8,0.01126,0.002379
IC1151,4.5,17,0.01232,0.002278
IC1151,7.5,11,0.01095,0.002336
IC1151,10.5,3,0.009383,0.001024
IC1151,13.5,0,0.0,0.0
IC1151,16.5,0,0.0,0.0
IC1151,19.5,0,0.0,0.0
IC1151,22.5,0,0.0,0.0
IC1199,1.5,12,0.06138,0.02198
IC1199,4.5,35,0.04112,0.01967
IC1199,7.5,60,0.02714,0.01171
IC1199,10.5,81,0.02709,0.01583
IC1199,13.5,99,0.03004,0.02248
IC1199,16.5,113,0.02625,0.02077
IC1199,19.5,114,0.01981,0.01303
IC1199,22.5,93,0.01288,0.008641
IC1683,1.5,17,0.7355,0.07596
IC1683,4.5,48,0.4871,0.1298
IC1683,7.5,80,0.2391,0.1142
IC1683,10.5,115,0.1094,0.07224
IC1683,13.5,130,0.05231,0.04744
IC1683,16.5,85,0.03517,0.02885
IC1683,19.5,49,0.01784,0.01221
IC1683,22.5,17,0.008772,0.005
IC2247,1.5,5,0.2409,0.008021
IC2247,4.5,18,0.2299,0.01186
IC2247,7.5,30,0.2028,0.0153
