# %ECSV 0.9
# ---
# datatype:
# - {name: galname, datatype: string}
# - {name: ractr_ned, unit: deg, datatype: float64}
# - {name: dcctr_ned, unit: deg, datatype: float64}
# - {name: ractr_fit, unit: deg, datatype: float64}
# - {name: dcctr_fit, unit: deg, datatype: float64}
# - {name: offset, unit: arcsec, datatype: float64}
# - {name: Unc_SemiMajor, unit: arcsec, datatype: float64}
# - {name: Unc_SemiMinor, unit: arcsec, datatype: float64}
# delimiter: ','
# schema: astropy-2.0
galname,ractr_ned,dcctr_ned,ractr_fit,dcctr_fit,offset,Unc_SemiMajor,Unc_SemiMinor
IC0480,118.84662,26.74333,118.84683632,26.7425804577,2.79,2.5,2.5
IC1683,20.6625,34.43694,20.6621180314,34.4371200283,1.31,1.25,1.25
NGC0523,21.33637,34.02494,21.3361926898,34.0252003792,1.08,0.5,0.5
NGC4149,182.63683,58.30414,182.637057239,58.3037723987,1.39,0.5,0.5
NGC6361,259.67121,60.60817,259.671201397,60.6078809459,1.04,0.5,0.5
UGC09665,225.38525,48.31975,225.3855804,48.3198377585,0.85,0.5,0.5
UGC10123,239.76233,51.30467,239.762845232,51.3046210884,1.17,0.5,0.5
IC2247,123.99625,23.19961,123.995993851,23.1994673509,0.99,0.5,0.5
IC2487,142.53821,20.09086,142.538445372,20.0906183569,1.18,0.5,0.5
NGC0447,18.90679,33.06772,18.9069415065,33.0678306987,0.61,1.25,1.25
NGC2347,109.01537,64.70892,109.017375457,64.7109797287,8.03,1.25,1.25
NGC5657,217.68167,29.18083,217.681989832,29.1808625466,1.01,0.5,0.5
NGC6394,262.58925,59.63989,262.589157063,59.6402002099,1.13,0.5,0.5
UGC05598,155.55837,20.58942,155.558487118,20.5892098112,0.85,0.5,0.5
