# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=233.73899999999998
#     deg DEC=23.5027 deg PA=337.7 INC=29.7}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting
#     distance of 77.9723 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting
#     R25=33.1986 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced
#     blanks with 1 times ../ARP220.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.378,0.030,11,11,777.765,351.8921,8555.410,8555.41,18.009,1222563100.0,2905.040,5257021400.0
3.0,1.134,0.090,34,34,507.170,411.74957,17243.770,25799.182,10.218,3686687700.0,1894.337,15852758000.0
5.0,1.890,0.151,56,52,221.085,215.6795,12380.784,38179.965,7.856,5455894500.0,825.779,23460348000.0
7.0,2.646,0.211,75,63,55.348,52.784977,4151.131,42331.098,6.688,6049088500.0,206.733,26011083000.0
9.0,3.402,0.271,100,77,18.823,13.132196,1882.277,44213.375,5.630,6318065000.0,70.305,27167680000.0
11.0,4.158,0.331,120,62,8.118,6.6972446,974.168,45187.54,4.812,6457272300.0,30.322,27766272000.0
13.0,4.914,0.392,140,41,5.334,4.779347,746.738,45934.277,3.880,6563981000.0,19.923,28225118000.0
15.0,5.670,0.452,159,31,4.057,3.616062,644.985,46579.26,3.175,6656149000.0,15.152,28621441000.0
17.0,6.426,0.512,190,40,3.625,2.7935987,688.792,47268.055,2.574,6754577000.0,13.541,29044683000.0
19.0,7.182,0.572,205,44,4.116,4.5873895,843.740,48111.797,2.304,6875147300.0,15.373,29563134000.0
21.0,7.938,0.633,230,61,4.403,4.9112644,1012.624,49124.418,2.145,7019850000.0,16.446,30185357000.0
23.0,8.694,0.693,250,71,4.190,3.945494,1047.546,50171.965,2.086,7169544000.0,15.651,30829042000.0
25.0,9.451,0.753,274,67,3.694,3.0862117,1012.095,51184.06,1.982,7314171400.0,13.796,31450940000.0
27.0,10.207,0.813,292,51,3.241,2.3112736,946.488,52130.547,1.929,7449424400.0,12.107,32032526000.0
29.0,10.963,0.874,314,25,nan,nan,0.000,52130.547,1.904,7449424400.0,nan,32032526000.0
31.0,11.719,0.934,342,22,nan,nan,0.000,52130.547,1.870,7449424400.0,nan,32032526000.0
33.0,12.475,0.994,355,15,nan,nan,0.000,52130.547,1.888,7449424400.0,nan,32032526000.0
35.0,13.231,1.054,386,8,nan,nan,0.000,52130.547,1.874,7449424400.0,nan,32032526000.0
37.0,13.987,1.115,404,0,nan,nan,0.000,52130.547,1.896,7449424400.0,nan,32032526000.0
39.0,14.743,1.175,429,0,nan,nan,0.000,52130.547,1.913,7449424400.0,nan,32032526000.0
41.0,15.499,1.235,445,0,nan,nan,0.000,52130.547,1.953,7449424400.0,nan,32032526000.0
43.0,16.255,1.295,468,0,nan,nan,0.000,52130.547,1.991,7449424400.0,nan,32032526000.0
45.0,17.011,1.355,498,0,nan,nan,0.000,52130.547,2.019,7449424400.0,nan,32032526000.0
47.0,17.767,1.416,512,0,nan,nan,0.000,52130.547,2.163,7449424400.0,nan,32032526000.0
49.0,18.523,1.476,499,0,nan,nan,0.000,52130.547,2.278,7449424400.0,nan,32032526000.0
51.0,19.279,1.536,494,0,nan,nan,0.000,52130.547,2.419,7449424400.0,nan,32032526000.0
53.0,20.035,1.596,500,0,nan,nan,0.000,52130.547,2.575,7449424400.0,nan,32032526000.0
