# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=142.5384
#     deg DEC=20.0909 deg PA=162.9 INC=77.9}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting
#     distance of 62.3477 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting
#     R25=55.0962 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.2 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced
#     blanks with 0 times ../IC2487.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.302,0.018,2,2,22.979,1.1230167,45.959,45.958824,32.421,4199131.5,20.713,18056266.0
3.0,0.907,0.054,10,10,18.749,6.044541,187.485,233.44429,14.815,21329164.0,16.899,91715410.0
5.0,1.511,0.091,11,11,17.484,5.589047,192.322,425.76593,13.896,38901064.0,15.759,167274580.0
7.0,2.116,0.127,19,19,14.572,5.9770594,276.872,702.6381,10.679,64198120.0,13.135,276051940.0
9.0,2.720,0.163,25,25,15.485,4.116543,387.124,1089.7617,9.259,99568536.0,13.958,428144740.0
11.0,3.325,0.200,27,27,14.748,3.5191238,398.209,1487.9705,8.405,135951780.0,13.294,584592640.0
13.0,3.930,0.236,37,37,13.384,2.930724,495.191,1983.1613,7.116,181196000.0,12.063,779142850.0
15.0,4.534,0.272,37,37,11.910,3.3516512,440.652,2423.8135,6.999,221457180.0,10.735,952265900.0
17.0,5.139,0.309,45,45,10.065,2.700918,452.926,2876.7397,6.172,262839820.0,9.072,1130211300.0
19.0,5.743,0.345,50,50,9.044,3.481932,452.179,3328.9185,5.873,304154140.0,8.152,1307862900.0
21.0,6.348,0.381,56,56,7.197,3.0206137,403.024,3731.9429,5.453,340977380.0,6.487,1466202800.0
