# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=45.42659999999999
#     deg DEC=35.2057 deg PA=87.5 INC=39.5}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting
#     distance of 70.8992 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting
#     R25=54.591 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced
#     blanks with 1 times ../NGC1167.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.344,0.018,9,0,nan,nan,0.000,0.0,11.567,0.0,nan,0.0
3.0,1.031,0.055,28,0,nan,nan,0.000,0.0,6.567,0.0,nan,0.0
5.0,1.719,0.092,49,0,nan,nan,0.000,0.0,4.979,0.0,nan,0.0
7.0,2.406,0.128,67,2,nan,nan,0.000,0.0,4.277,0.0,nan,0.0
9.0,3.094,0.165,88,12,2.762,0.3726622,243.035,243.03537,3.754,28714542.0,9.163,123472536.0
11.0,3.781,0.201,105,6,nan,nan,0.000,243.03537,3.463,28714542.0,nan,123472536.0
13.0,4.468,0.238,130,3,nan,nan,0.000,243.03537,3.140,28714542.0,nan,123472536.0
15.0,5.156,0.275,143,0,nan,nan,0.000,243.03537,3.026,28714542.0,nan,123472536.0
17.0,5.843,0.311,166,2,nan,nan,0.000,243.03537,2.843,28714542.0,nan,123472536.0
19.0,6.531,0.348,182,12,nan,nan,0.000,243.03537,2.753,28714542.0,nan,123472536.0
21.0,7.218,0.385,205,17,nan,nan,0.000,243.03537,2.635,28714542.0,nan,123472536.0
23.0,7.906,0.421,223,52,3.355,1.3069168,748.108,991.14355,2.571,117103256.0,11.131,503544030.0
