# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=129.6 deg
#     DEC=25.7541 deg PA=255.0 INC=45.6}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting
#     distance of 80.2107 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting
#     R25=22.49682 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.2 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced
#     blanks with 0 times ../NGC2623.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.389,0.044,10,10,226.564,66.41356,2265.637,2265.6372,11.867,342613700.0,681.629,1473238900.0
3.0,1.167,0.133,27,27,148.315,102.07804,4004.505,6270.142,7.201,948182100.0,446.213,4077183200.0
5.0,1.944,0.222,44,44,74.336,82.99516,3270.793,9540.935,5.591,1442797200.0,223.644,6204028400.0
7.0,2.722,0.311,59,59,31.539,46.17655,1860.803,11401.738,4.772,1724191200.0,94.887,7414022700.0
9.0,3.500,0.400,78,78,9.084,16.486631,708.581,12110.319,4.072,1831344000.0,27.331,7874779600.0
11.0,4.278,0.489,100,100,4.080,8.090142,407.999,12518.318,3.398,1893042400.0,12.275,8140082700.0
13.0,5.055,0.578,113,107,1.568,3.5721648,177.160,12695.479,2.997,1919832800.0,4.717,8255281700.0
15.0,5.833,0.667,132,109,0.476,2.5597064,62.841,12758.319,2.592,1929335800.0,1.432,8296144400.0
17.0,6.611,0.756,149,113,0.170,1.8575214,25.339,12783.658,2.091,1933167600.0,0.512,8312621000.0
19.0,7.389,0.845,165,104,0.201,1.173931,33.204,12816.862,1.886,1938188800.0,0.605,8334212000.0
