# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=183.90599999999998
#     deg DEC=28.1696 deg PA=25.0 INC=30.0}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting
#     distance of 96.9009 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting
#     R25=30.769499999999997 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced
#     blanks with 1 times ../NGC4211NED02.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.470,0.032,9,9,45.849,14.870294,412.638,412.63757,17.855,91069740.0,170.736,391599900.0
3.0,1.409,0.097,33,30,27.892,20.886324,920.432,1333.0695,9.291,294210460.0,103.867,1265105000.0
5.0,2.349,0.162,57,31,10.505,9.782642,598.775,1931.8444,6.973,426361020.0,39.119,1833352400.0
7.0,3.289,0.227,74,20,3.967,1.4156549,293.531,2225.3752,5.811,491143700.0,14.771,2111918100.0
9.0,4.228,0.292,98,32,3.404,0.7731994,333.543,2558.9185,4.502,564757250.0,12.674,2428456200.0
11.0,5.168,0.357,118,38,3.161,0.6918098,372.950,2931.869,3.856,647067970.0,11.770,2782392300.0
13.0,6.107,0.422,145,10,nan,nan,0.000,2931.869,3.432,647067970.0,nan,2782392300.0
15.0,7.047,0.487,162,6,nan,nan,0.000,2931.869,3.282,647067970.0,nan,2782392300.0
17.0,7.986,0.552,185,1,nan,nan,0.000,2931.869,3.113,647067970.0,nan,2782392300.0
19.0,8.926,0.617,205,0,nan,nan,0.000,2931.869,3.004,647067970.0,nan,2782392300.0
21.0,9.866,0.682,235,0,nan,nan,0.000,2931.869,2.852,647067970.0,nan,2782392300.0
23.0,10.805,0.747,251,0,nan,nan,0.000,2931.869,2.815,647067970.0,nan,2782392300.0
25.0,11.745,0.812,271,0,nan,nan,0.000,2931.869,2.765,647067970.0,nan,2782392300.0
27.0,12.684,0.877,291,0,nan,nan,0.000,2931.869,2.732,647067970.0,nan,2782392300.0
29.0,13.624,0.942,314,0,nan,nan,0.000,2931.869,2.697,647067970.0,nan,2782392300.0
31.0,14.563,1.007,340,0,nan,nan,0.000,2931.869,2.663,647067970.0,nan,2782392300.0
33.0,15.503,1.072,362,0,nan,nan,0.000,2931.869,2.659,647067970.0,nan,2782392300.0
35.0,16.443,1.137,373,0,nan,nan,0.000,2931.869,2.704,647067970.0,nan,2782392300.0
37.0,17.382,1.202,410,0,nan,nan,0.000,2931.869,2.670,647067970.0,nan,2782392300.0
39.0,18.322,1.267,420,0,nan,nan,0.000,2931.869,2.738,647067970.0,nan,2782392300.0
41.0,19.261,1.332,450,0,nan,nan,0.000,2931.869,2.747,647067970.0,nan,2782392300.0
43.0,20.201,1.397,464,0,nan,nan,0.000,2931.869,2.821,647067970.0,nan,2782392300.0
45.0,21.140,1.462,481,0,nan,nan,0.000,2931.869,2.891,647067970.0,nan,2782392300.0
47.0,22.080,1.527,509,0,nan,nan,0.000,2931.869,2.949,647067970.0,nan,2782392300.0
49.0,23.020,1.592,543,0,nan,nan,0.000,2931.869,2.997,647067970.0,nan,2782392300.0
51.0,23.959,1.657,556,0,nan,nan,0.000,2931.869,3.295,647067970.0,nan,2782392300.0
53.0,24.899,1.722,517,0,nan,nan,0.000,2931.869,3.895,647067970.0,nan,2782392300.0
55.0,25.838,1.787,476,0,nan,nan,0.000,2931.869,4.592,647067970.0,nan,2782392300.0
57.0,26.778,1.852,416,0,nan,nan,0.000,2931.869,6.122,647067970.0,nan,2782392300.0
59.0,27.718,1.917,355,0,nan,nan,0.000,2931.869,8.879,647067970.0,nan,2782392300.0
61.0,28.657,1.982,294,0,nan,nan,0.000,2931.869,39.769,647067970.0,nan,2782392300.0
63.0,29.597,2.047,234,0,nan,nan,0.000,2931.869,nan,647067970.0,nan,2782392300.0
65.0,30.536,2.112,205,0,nan,nan,0.000,2931.869,nan,647067970.0,nan,2782392300.0
67.0,31.476,2.177,149,0,nan,nan,0.000,2931.869,nan,647067970.0,nan,2782392300.0
69.0,32.415,2.242,136,0,nan,nan,0.000,2931.869,nan,647067970.0,nan,2782392300.0
71.0,33.355,2.307,90,0,nan,nan,0.000,2931.869,nan,647067970.0,nan,2782392300.0
73.0,34.295,2.372,72,0,nan,nan,0.000,2931.869,nan,647067970.0,nan,2782392300.0
75.0,35.234,2.437,43,0,nan,nan,0.000,2931.869,nan,647067970.0,nan,2782392300.0
77.0,36.174,2.502,34,0,nan,nan,0.000,2931.869,nan,647067970.0,nan,2782392300.0
79.0,37.113,2.567,20,0,nan,nan,0.000,2931.869,nan,647067970.0,nan,2782392300.0
81.0,38.053,2.632,6,0,nan,nan,0.000,2931.869,nan,647067970.0,nan,2782392300.0
83.0,38.992,2.697,1,0,nan,nan,0.000,2931.869,nan,647067970.0,nan,2782392300.0
