# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=191.5425
#     deg DEC=30.7321 deg PA=185.3 INC=50.0}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting
#     distance of 96.6062 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting
#     R25=64.8816 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.2 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced
#     blanks with 0 times ../NGC4676A.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.468,0.015,7,7,99.410,18.296146,695.873,695.8733,23.581,152647570.0,274.769,656384600.0
3.0,1.405,0.046,25,25,91.342,40.391186,2283.544,2979.4175,12.473,653568450.0,252.467,2810344400.0
5.0,2.342,0.077,43,43,57.499,38.64457,2472.448,5451.865,9.471,1195927400.0,158.926,5142488000.0
7.0,3.279,0.108,54,54,31.274,26.405928,1688.801,7140.6665,8.375,1566384900.0,86.441,6735455000.0
9.0,4.215,0.139,76,76,12.248,12.537288,930.853,8071.5195,6.640,1770577900.0,33.853,7613485600.0
11.0,5.152,0.170,87,87,2.237,4.538964,194.578,8266.097,5.755,1813260500.0,6.182,7797020700.0
13.0,6.089,0.200,106,106,-0.404,3.203558,-42.815,8223.282,4.762,1803868700.0,-1.116,7756635600.0
15.0,7.025,0.231,118,110,-0.398,2.627057,-46.908,8176.3735,4.146,1793578800.0,-1.099,7712389000.0
17.0,7.962,0.262,138,100,-0.170,1.8570626,-23.434,8152.94,3.442,1788438300.0,-0.469,7690285000.0
19.0,8.899,0.293,157,86,0.044,1.3560525,6.874,8159.814,3.111,1789946200.0,0.121,7696769000.0
21.0,9.836,0.324,167,58,0.121,1.0537888,20.228,8180.042,3.049,1794383500.0,0.335,7715849000.0
23.0,10.772,0.354,186,54,0.108,0.7567327,20.030,8200.071,2.930,1798777100.0,0.298,7734742000.0
25.0,11.709,0.385,204,55,0.047,0.87294424,9.632,8209.704,2.848,1800890200.0,0.130,7743828500.0
27.0,12.646,0.416,215,34,nan,nan,0.000,8209.704,2.826,1800890200.0,nan,7743828500.0
29.0,13.582,0.447,232,28,nan,nan,0.000,8209.704,2.771,1800890200.0,nan,7743828500.0
31.0,14.519,0.478,254,22,nan,nan,0.000,8209.704,2.713,1800890200.0,nan,7743828500.0
33.0,15.456,0.509,267,24,nan,nan,0.000,8209.704,2.705,1800890200.0,nan,7743828500.0
35.0,16.393,0.539,284,14,nan,nan,0.000,8209.704,2.700,1800890200.0,nan,7743828500.0
37.0,17.329,0.570,294,12,nan,nan,0.000,8209.704,2.719,1800890200.0,nan,7743828500.0
39.0,18.266,0.601,320,21,nan,nan,0.000,8209.704,2.688,1800890200.0,nan,7743828500.0
41.0,19.203,0.632,326,12,nan,nan,0.000,8209.704,2.751,1800890200.0,nan,7743828500.0
43.0,20.139,0.663,346,8,nan,nan,0.000,8209.704,2.765,1800890200.0,nan,7743828500.0
45.0,21.076,0.694,369,0,nan,nan,0.000,8209.704,2.772,1800890200.0,nan,7743828500.0
47.0,22.013,0.724,385,0,nan,nan,0.000,8209.704,2.827,1800890200.0,nan,7743828500.0
49.0,22.950,0.755,393,0,nan,nan,0.000,8209.704,2.909,1800890200.0,nan,7743828500.0
51.0,23.886,0.786,397,0,nan,nan,0.000,8209.704,3.039,1800890200.0,nan,7743828500.0
53.0,24.823,0.817,376,0,nan,nan,0.000,8209.704,3.163,1800890200.0,nan,7743828500.0
55.0,25.760,0.848,340,0,nan,nan,0.000,8209.704,3.405,1800890200.0,nan,7743828500.0
