# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=153.015
#     deg DEC=23.0854 deg PA=61.8 INC=81.0}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting
#     distance of 91.7522 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting
#     R25=47.002500000000005 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced
#     blanks with 1 times ../UGC05498NED01.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.445,0.021,1,0,nan,nan,0.000,0.0,43.623,0.0,nan,0.0
3.0,1.334,0.064,6,0,nan,nan,0.000,0.0,17.825,0.0,nan,0.0
5.0,2.224,0.106,10,0,nan,nan,0.000,0.0,13.830,0.0,nan,0.0
7.0,3.114,0.149,15,0,nan,nan,0.000,0.0,11.329,0.0,nan,0.0
9.0,4.003,0.191,17,0,nan,nan,0.000,0.0,10.682,0.0,nan,0.0
11.0,4.893,0.234,22,0,nan,nan,0.000,0.0,9.442,0.0,nan,0.0
13.0,5.783,0.277,28,0,nan,nan,0.000,0.0,8.414,0.0,nan,0.0
15.0,6.672,0.319,27,0,nan,nan,0.000,0.0,8.635,0.0,nan,0.0
17.0,7.562,0.362,33,0,nan,nan,0.000,0.0,7.869,0.0,nan,0.0
19.0,8.452,0.404,35,0,nan,nan,0.000,0.0,7.695,0.0,nan,0.0
21.0,9.341,0.447,42,0,nan,nan,0.000,0.0,7.112,0.0,nan,0.0
23.0,10.231,0.489,46,0,nan,nan,0.000,0.0,6.865,0.0,nan,0.0
25.0,11.121,0.532,47,0,nan,nan,0.000,0.0,6.902,0.0,nan,0.0
27.0,12.010,0.574,53,0,nan,nan,0.000,0.0,6.564,0.0,nan,0.0
29.0,12.900,0.617,58,0,nan,nan,0.000,0.0,6.395,0.0,nan,0.0
31.0,13.790,0.660,63,0,nan,nan,0.000,0.0,6.254,0.0,nan,0.0
33.0,14.679,0.702,63,0,nan,nan,0.000,0.0,6.341,0.0,nan,0.0
35.0,15.569,0.745,74,0,nan,nan,0.000,0.0,5.987,0.0,nan,0.0
37.0,16.459,0.787,69,0,nan,nan,0.000,0.0,6.421,0.0,nan,0.0
39.0,17.348,0.830,78,0,nan,nan,0.000,0.0,6.169,0.0,nan,0.0
41.0,18.238,0.872,81,0,nan,nan,0.000,0.0,6.131,0.0,nan,0.0
43.0,19.128,0.915,84,0,nan,nan,0.000,0.0,6.248,0.0,nan,0.0
45.0,20.017,0.957,86,0,nan,nan,0.000,0.0,6.402,0.0,nan,0.0
47.0,20.907,1.000,96,0,nan,nan,0.000,0.0,6.228,0.0,nan,0.0
49.0,21.797,1.042,97,0,nan,nan,0.000,0.0,6.363,0.0,nan,0.0
