# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=169.5 deg
#     DEC=7.84466 deg PA=224.6 INC=68.7}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting
#     distance of 90.044 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting
#     R25=35.4096 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced
#     blanks with 1 times ../UGC06312.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.437,0.028,5,0,nan,nan,0.000,0.0,16.395,0.0,nan,0.0
3.0,1.310,0.085,12,0,nan,nan,0.000,0.0,10.588,0.0,nan,0.0
5.0,2.183,0.141,24,0,nan,nan,0.000,0.0,7.506,0.0,nan,0.0
7.0,3.056,0.198,31,0,nan,nan,0.000,0.0,6.620,0.0,nan,0.0
9.0,3.929,0.254,43,0,nan,nan,0.000,0.0,5.653,0.0,nan,0.0
11.0,4.802,0.311,48,0,nan,nan,0.000,0.0,5.370,0.0,nan,0.0
13.0,5.675,0.367,63,0,nan,nan,0.000,0.0,4.728,0.0,nan,0.0
15.0,6.548,0.424,66,0,nan,nan,0.000,0.0,4.640,0.0,nan,0.0
17.0,7.421,0.480,82,0,nan,nan,0.000,0.0,4.220,0.0,nan,0.0
19.0,8.294,0.537,81,0,nan,nan,0.000,0.0,4.267,0.0,nan,0.0
21.0,9.167,0.593,99,0,nan,nan,0.000,0.0,3.923,0.0,nan,0.0
23.0,10.041,0.650,100,0,nan,nan,0.000,0.0,3.932,0.0,nan,0.0
25.0,10.914,0.706,119,0,nan,nan,0.000,0.0,3.686,0.0,nan,0.0
27.0,11.787,0.763,118,0,nan,nan,0.000,0.0,3.734,0.0,nan,0.0
29.0,12.660,0.819,136,0,nan,nan,0.000,0.0,3.555,0.0,nan,0.0
31.0,13.533,0.875,140,0,nan,nan,0.000,0.0,3.552,0.0,nan,0.0
33.0,14.406,0.932,156,0,nan,nan,0.000,0.0,3.462,0.0,nan,0.0
35.0,15.279,0.988,157,0,nan,nan,0.000,0.0,3.503,0.0,nan,0.0
37.0,16.152,1.045,171,0,nan,nan,0.000,0.0,3.462,0.0,nan,0.0
39.0,17.025,1.101,174,0,nan,nan,0.000,0.0,3.521,0.0,nan,0.0
41.0,17.898,1.158,190,0,nan,nan,0.000,0.0,3.477,0.0,nan,0.0
43.0,18.771,1.214,195,0,nan,nan,0.000,0.0,3.516,0.0,nan,0.0
45.0,19.645,1.271,205,0,nan,nan,0.000,0.0,3.570,0.0,nan,0.0
47.0,20.518,1.327,212,0,nan,nan,0.000,0.0,3.614,0.0,nan,0.0
49.0,21.391,1.384,223,0,nan,nan,0.000,0.0,3.677,0.0,nan,0.0
51.0,22.264,1.440,234,0,nan,nan,0.000,0.0,3.708,0.0,nan,0.0
53.0,23.137,1.497,242,0,nan,nan,0.000,0.0,3.831,0.0,nan,0.0
55.0,24.010,1.553,251,0,nan,nan,0.000,0.0,3.889,0.0,nan,0.0
57.0,24.883,1.610,259,0,nan,nan,0.000,0.0,4.017,0.0,nan,0.0
59.0,25.756,1.666,264,0,nan,nan,0.000,0.0,4.074,0.0,nan,0.0
61.0,26.629,1.723,286,0,nan,nan,0.000,0.0,4.066,0.0,nan,0.0
63.0,27.502,1.779,286,0,nan,nan,0.000,0.0,4.131,0.0,nan,0.0
65.0,28.375,1.836,275,0,nan,nan,0.000,0.0,4.224,0.0,nan,0.0
67.0,29.249,1.892,254,0,nan,nan,0.000,0.0,4.230,0.0,nan,0.0
69.0,30.122,1.949,231,0,nan,nan,0.000,0.0,4.311,0.0,nan,0.0
71.0,30.995,2.005,210,0,nan,nan,0.000,0.0,4.378,0.0,nan,0.0
73.0,31.868,2.062,181,0,nan,nan,0.000,0.0,4.459,0.0,nan,0.0
75.0,32.741,2.118,170,0,nan,nan,0.000,0.0,4.455,0.0,nan,0.0
77.0,33.614,2.175,161,0,nan,nan,0.000,0.0,4.537,0.0,nan,0.0
79.0,34.487,2.231,149,0,nan,nan,0.000,0.0,4.716,0.0,nan,0.0
81.0,35.360,2.288,149,0,nan,nan,0.000,0.0,4.678,0.0,nan,0.0
83.0,36.233,2.344,146,0,nan,nan,0.000,0.0,4.729,0.0,nan,0.0
85.0,37.106,2.400,144,0,nan,nan,0.000,0.0,4.752,0.0,nan,0.0
87.0,37.979,2.457,137,0,nan,nan,0.000,0.0,4.876,0.0,nan,0.0
89.0,38.853,2.513,134,0,nan,nan,0.000,0.0,4.912,0.0,nan,0.0
91.0,39.726,2.570,126,0,nan,nan,0.000,0.0,5.108,0.0,nan,0.0
93.0,40.599,2.626,124,0,nan,nan,0.000,0.0,5.173,0.0,nan,0.0
95.0,41.472,2.683,120,0,nan,nan,0.000,0.0,5.270,0.0,nan,0.0
97.0,42.345,2.739,118,0,nan,nan,0.000,0.0,5.356,0.0,nan,0.0
99.0,43.218,2.796,115,0,nan,nan,0.000,0.0,5.456,0.0,nan,0.0
101.0,44.091,2.852,110,0,nan,nan,0.000,0.0,5.595,0.0,nan,0.0
103.0,44.964,2.909,108,0,nan,nan,0.000,0.0,5.722,0.0,nan,0.0
105.0,45.837,2.965,105,0,nan,nan,0.000,0.0,5.856,0.0,nan,0.0
107.0,46.710,3.022,104,0,nan,nan,0.000,0.0,5.934,0.0,nan,0.0
109.0,47.583,3.078,98,0,nan,nan,0.000,0.0,6.143,0.0,nan,0.0
111.0,48.457,3.135,96,0,nan,nan,0.000,0.0,6.301,0.0,nan,0.0
113.0,49.330,3.191,95,0,nan,nan,0.000,0.0,6.420,0.0,nan,0.0
115.0,50.203,3.248,92,0,nan,nan,0.000,0.0,6.669,0.0,nan,0.0
117.0,51.076,3.304,88,0,nan,nan,0.000,0.0,6.891,0.0,nan,0.0
119.0,51.949,3.361,87,0,nan,nan,0.000,0.0,7.125,0.0,nan,0.0
121.0,52.822,3.417,83,0,nan,nan,0.000,0.0,7.447,0.0,nan,0.0
