# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=237.1725
#     deg DEC=21.8695 deg PA=341.8 INC=75.2}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting
#     distance of 31.0226 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting
#     R25=65.9358 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.2 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced
#     blanks with 0 times ../UGC10043.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32}
# delimiter: ','
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.150,0.015,3,3,24.087,6.48558,72.262,72.2619,37.375,1.63462e+06,26.458,7.02885e+06
3.0,0.451,0.045,10,10,26.200,10.0233,261.998,334.26,20.524,7.56119e+06,28.778,3.25131e+07
5.0,0.752,0.076,16,16,24.675,15.1628,394.799,729.059,15.938,1.64918e+07,27.103,7.09148e+07
7.0,1.053,0.106,25,25,22.435,20.7673,560.866,1289.92,12.352,2.9179e+07,24.643,1.2547e+08
9.0,1.354,0.136,23,23,23.633,21.6651,543.558,1833.48,12.488,4.14747e+07,25.959,1.78341e+08
11.0,1.654,0.167,37,37,18.868,18.8275,698.102,2531.58,9.565,5.72662e+07,20.724,2.46245e+08
13.0,1.955,0.197,45,45,14.794,17.5941,665.715,3197.3,8.289,7.23251e+07,16.250,3.10998e+08
15.0,2.256,0.227,50,50,12.387,13.8388,619.329,3816.63,7.706,8.63348e+07,13.606,3.7124e+08
17.0,2.557,0.258,50,50,10.717,12.9441,535.832,4352.46,7.605,9.84557e+07,11.771,4.2336e+08
19.0,2.858,0.288,58,58,7.971,11.7805,462.311,4814.77,6.900,1.08913e+08,8.755,4.68328e+08
21.0,3.158,0.318,69,69,6.631,10.2906,457.529,5272.3,6.325,1.19263e+08,7.283,5.12831e+08
23.0,3.459,0.349,78,78,5.343,8.66064,416.721,5689.02,5.971,1.2869e+08,5.868,5.53366e+08
25.0,3.760,0.379,80,79,4.821,8.22224,385.656,6074.68,5.904,1.37413e+08,5.295,5.90878e+08
27.0,4.061,0.409,84,80,3.050,6.45198,256.187,6330.86,5.847,1.43209e+08,3.350,6.15797e+08
29.0,4.362,0.440,91,76,2.718,6.29011,247.329,6578.19,5.656,1.48803e+08,2.985,6.39854e+08
31.0,4.662,0.470,98,82,2.043,5.58785,200.202,6778.39,5.514,1.53332e+08,2.244,6.59328e+08
