# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=233.7388 deg DEC=23.5027 deg PA=337.7 INC=29.7}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 77.97 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=33.20 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 1 times ARP220.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.378,0.030,12,12,729.123,289.22577,10072.717,10072.717,14.972,1.4394e+09,3135.230,6.1894e+09
3.0,1.134,0.090,31,31,477.498,342.24588,17041.102,27113.818,9.292,3.8745e+09,2053.241,1.6661e+10
5.0,1.890,0.151,56,56,174.219,152.79839,11231.752,38345.57,6.823,5.4796e+09,749.141,2.3562e+10
7.0,2.646,0.211,75,75,45.046,38.50489,3889.414,42234.984,5.803,6.0354e+09,193.698,2.5952e+10
9.0,3.402,0.271,102,102,15.904,12.5145645,1867.562,44102.547,4.846,6.3022e+09,68.388,2.7100e+10
11.0,4.158,0.331,122,122,8.131,6.9982786,1142.043,45244.59,4.147,6.4654e+09,34.964,2.7801e+10
13.0,4.914,0.392,136,136,4.851,4.168911,759.449,46004.04,3.482,6.5739e+09,20.858,2.8268e+10
15.0,5.670,0.452,166,136,3.253,2.532443,621.688,46625.727,2.712,6.6628e+09,13.988,2.8650e+10
17.0,6.426,0.512,186,120,3.105,2.500426,664.953,47290.68,2.228,6.7578e+09,13.353,2.9059e+10
19.0,7.182,0.572,208,111,3.693,4.258245,884.348,48175.027,1.971,6.8842e+09,15.881,2.9602e+10
