# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=233.7388 deg DEC=23.5027 deg PA=337.7 INC=29.7}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 77.97 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=33.20 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 1 times ARP220.co.smo7_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.5,0.567,0.045,25,25,398.733,97.927216,11475.898,11475.898,8.037,1.6399e+09,1714.552,7.0516e+09
4.5,1.701,0.136,74,74,223.592,118.65766,19048.131,30524.03,4.672,4.3619e+09,961.445,1.8756e+10
7.5,2.835,0.226,125,125,72.398,53.31096,10418.318,40942.348,3.579,5.8506e+09,311.309,2.5158e+10
10.5,3.969,0.316,174,174,14.847,12.332753,2974.172,43916.52,2.987,6.2756e+09,63.844,2.6985e+10
13.5,5.103,0.407,213,213,3.509,2.8860807,860.383,44776.902,2.647,6.3986e+09,15.087,2.7514e+10
16.5,6.237,0.497,275,275,2.808,2.7523334,889.082,45665.984,2.164,6.5256e+09,12.076,2.8060e+10
19.5,7.371,0.587,322,304,3.131,3.963674,1160.496,46826.48,1.673,6.6915e+09,13.461,2.8773e+10
22.5,8.505,0.678,362,300,2.769,3.3012393,1154.020,47980.5,1.339,6.8564e+09,11.908,2.9482e+10
25.5,9.640,0.768,418,261,1.751,2.016564,842.828,48823.33,1.136,6.9768e+09,7.531,3.0000e+10
28.5,10.774,0.858,467,146,1.325,1.0593044,712.547,49535.875,1.080,7.0786e+09,5.699,3.0438e+10
31.5,11.908,0.949,511,83,1.156,0.44928217,680.305,50216.18,1.070,7.1759e+09,4.973,3.0856e+10
34.5,13.042,1.039,568,29,nan,nan,0.000,50216.18,1.063,7.1759e+09,nan,3.0856e+10
37.5,14.176,1.130,615,0,nan,nan,0.000,50216.18,1.079,7.1759e+09,nan,3.0856e+10
40.5,15.310,1.220,661,0,nan,nan,0.000,50216.18,1.104,7.1759e+09,nan,3.0856e+10
43.5,16.444,1.310,717,0,nan,nan,0.000,50216.18,1.130,7.1759e+09,nan,3.0856e+10
46.5,17.578,1.401,763,0,nan,nan,0.000,50216.18,1.176,7.1759e+09,nan,3.0856e+10
49.5,18.712,1.491,805,0,nan,nan,0.000,50216.18,1.235,7.1759e+09,nan,3.0856e+10
52.5,19.846,1.581,865,0,nan,nan,0.000,50216.18,1.297,7.1759e+09,nan,3.0856e+10
55.5,20.980,1.672,910,0,nan,nan,0.000,50216.18,1.430,7.1759e+09,nan,3.0856e+10
58.5,22.114,1.762,955,0,nan,nan,0.000,50216.18,1.571,7.1759e+09,nan,3.0856e+10
