# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=207.8786 deg DEC=14.0920 deg PA=105.7 INC=75.0}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 100.81 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=45.83 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 1 times IC0944.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.489,0.022,3,3,18.654,0.64945513,216.216,216.21559,8.037,5.1644e+07,80.210,2.2207e+08
3.0,1.466,0.065,11,11,14.954,2.7614608,635.556,851.7711,4.227,2.0345e+08,64.302,8.7483e+08
5.0,2.444,0.109,16,16,10.664,3.2499804,659.255,1511.0264,3.538,3.6091e+08,45.856,1.5519e+09
7.0,3.421,0.153,21,21,8.563,3.3841555,694.785,2205.8118,3.081,5.2687e+08,36.821,2.2655e+09
9.0,4.399,0.196,29,29,6.563,2.8307567,735.401,2941.2124,2.531,7.0252e+08,28.222,3.0208e+09
11.0,5.376,0.240,39,39,5.254,1.9457899,791.655,3732.8674,2.104,8.9161e+08,22.591,3.8339e+09
13.0,6.353,0.284,41,41,4.567,1.6916647,723.452,4456.32,1.989,1.0644e+09,19.638,4.5769e+09
15.0,7.331,0.327,47,47,3.762,1.0395447,683.218,5139.538,1.827,1.2276e+09,16.178,5.2787e+09
17.0,8.308,0.371,53,53,3.117,0.8627595,638.300,5777.838,1.625,1.3801e+09,13.403,5.9342e+09
19.0,9.286,0.415,66,66,2.515,0.87945426,641.339,6419.1772,1.456,1.5332e+09,10.815,6.5929e+09
21.0,10.263,0.458,66,66,2.056,0.75521255,524.367,6943.5444,1.398,1.6585e+09,8.842,7.1315e+09
23.0,11.241,0.502,71,71,1.919,0.76921576,526.343,7469.8877,1.303,1.7842e+09,8.250,7.6721e+09
25.0,12.218,0.546,88,88,1.661,0.69169796,564.915,8034.8027,1.164,1.9191e+09,7.144,8.2523e+09
27.0,13.196,0.589,89,89,1.497,0.79424715,514.655,8549.458,1.129,2.0421e+09,6.436,8.7809e+09
29.0,14.173,0.633,91,91,1.293,0.6635868,454.531,9003.989,1.108,2.1506e+09,5.559,9.2477e+09
31.0,15.151,0.676,103,103,1.020,0.52944666,405.988,9409.978,1.022,2.2476e+09,4.387,9.6647e+09
33.0,16.128,0.720,109,109,0.921,0.4303212,388.082,9798.06,0.995,2.3403e+09,3.962,1.0063e+10
35.0,17.105,0.764,113,113,0.826,0.31665826,360.483,10158.543,0.979,2.4264e+09,3.550,1.0434e+10
37.0,18.083,0.807,115,115,0.700,0.22839656,310.861,10469.404,0.971,2.5007e+09,3.008,1.0753e+10
39.0,19.060,0.851,132,124,0.679,0.22603074,346.087,10815.491,0.907,2.5833e+09,2.918,1.1108e+10
41.0,20.038,0.895,130,111,0.661,0.18593271,331.822,11147.313,0.932,2.6626e+09,2.841,1.1449e+10
43.0,21.015,0.938,141,109,0.651,0.18584025,354.696,11502.01,0.908,2.7473e+09,2.800,1.1813e+10
45.0,21.993,0.982,144,99,0.677,0.19416118,376.683,11878.692,0.912,2.8373e+09,2.911,1.2200e+10
47.0,22.970,1.026,152,88,0.672,0.17904757,394.541,12273.233,0.924,2.9315e+09,2.889,1.2605e+10
49.0,23.948,1.069,167,61,0.723,0.19602056,466.472,12739.705,0.901,3.0429e+09,3.109,1.3085e+10
51.0,24.925,1.113,161,50,0.693,0.2699208,431.182,13170.887,0.972,3.1459e+09,2.981,1.3527e+10
53.0,25.902,1.157,153,26,0.634,0.3095142,375.070,13545.957,1.003,3.2355e+09,2.728,1.3913e+10
55.0,26.880,1.200,161,28,0.665,0.27388504,413.882,13959.839,0.937,3.3344e+09,2.861,1.4338e+10
57.0,27.857,1.244,145,19,0.677,0.2697978,379.013,14338.852,0.985,3.4249e+09,2.909,1.4727e+10
59.0,28.835,1.287,123,21,0.637,0.26778227,302.717,14641.568,1.049,3.4972e+09,2.739,1.5038e+10
61.0,29.812,1.331,132,7,nan,nan,0.000,14641.568,1.010,3.4972e+09,nan,1.5038e+10
63.0,30.790,1.375,138,12,nan,nan,0.000,14641.568,1.008,3.4972e+09,nan,1.5038e+10
65.0,31.767,1.418,125,9,nan,nan,0.000,14641.568,1.062,3.4972e+09,nan,1.5038e+10
67.0,32.745,1.462,123,4,nan,nan,0.000,14641.568,1.022,3.4972e+09,nan,1.5038e+10
69.0,33.722,1.506,126,6,nan,nan,0.000,14641.568,1.032,3.4972e+09,nan,1.5038e+10
71.0,34.700,1.549,126,6,nan,nan,0.000,14641.568,1.073,3.4972e+09,nan,1.5038e+10
73.0,35.677,1.593,129,3,nan,nan,0.000,14641.568,1.039,3.4972e+09,nan,1.5038e+10
75.0,36.654,1.637,111,5,nan,nan,0.000,14641.568,1.080,3.4972e+09,nan,1.5038e+10
77.0,37.632,1.680,119,0,nan,nan,0.000,14641.568,1.109,3.4972e+09,nan,1.5038e+10
79.0,38.609,1.724,124,0,nan,nan,0.000,14641.568,1.074,3.4972e+09,nan,1.5038e+10
81.0,39.587,1.768,117,0,nan,nan,0.000,14641.568,1.085,3.4972e+09,nan,1.5038e+10
83.0,40.564,1.811,120,0,nan,nan,0.000,14641.568,1.093,3.4972e+09,nan,1.5038e+10
85.0,41.542,1.855,120,0,nan,nan,0.000,14641.568,1.106,3.4972e+09,nan,1.5038e+10
87.0,42.519,1.898,118,0,nan,nan,0.000,14641.568,1.103,3.4972e+09,nan,1.5038e+10
89.0,43.497,1.942,114,0,nan,nan,0.000,14641.568,1.147,3.4972e+09,nan,1.5038e+10
91.0,44.474,1.986,120,0,nan,nan,0.000,14641.568,1.116,3.4972e+09,nan,1.5038e+10
93.0,45.452,2.029,111,0,nan,nan,0.000,14641.568,1.156,3.4972e+09,nan,1.5038e+10
95.0,46.429,2.073,115,0,nan,nan,0.000,14641.568,1.172,3.4972e+09,nan,1.5038e+10
97.0,47.406,2.117,125,0,nan,nan,0.000,14641.568,1.105,3.4972e+09,nan,1.5038e+10
99.0,48.384,2.160,113,0,nan,nan,0.000,14641.568,1.166,3.4972e+09,nan,1.5038e+10
101.0,49.361,2.204,115,0,nan,nan,0.000,14641.568,1.194,3.4972e+09,nan,1.5038e+10
103.0,50.339,2.248,113,0,nan,nan,0.000,14641.568,1.196,3.4972e+09,nan,1.5038e+10
105.0,51.316,2.291,114,0,nan,nan,0.000,14641.568,1.192,3.4972e+09,nan,1.5038e+10
107.0,52.294,2.335,112,0,nan,nan,0.000,14641.568,1.234,3.4972e+09,nan,1.5038e+10
109.0,53.271,2.379,117,0,nan,nan,0.000,14641.568,1.190,3.4972e+09,nan,1.5038e+10
111.0,54.249,2.422,114,0,nan,nan,0.000,14641.568,1.220,3.4972e+09,nan,1.5038e+10
113.0,55.226,2.466,114,0,nan,nan,0.000,14641.568,1.258,3.4972e+09,nan,1.5038e+10
115.0,56.204,2.509,116,0,nan,nan,0.000,14641.568,1.222,3.4972e+09,nan,1.5038e+10
117.0,57.181,2.553,114,0,nan,nan,0.000,14641.568,1.277,3.4972e+09,nan,1.5038e+10
119.0,58.158,2.597,107,0,nan,nan,0.000,14641.568,1.317,3.4972e+09,nan,1.5038e+10
121.0,59.136,2.640,117,0,nan,nan,0.000,14641.568,1.269,3.4972e+09,nan,1.5038e+10
123.0,60.113,2.684,113,0,nan,nan,0.000,14641.568,1.299,3.4972e+09,nan,1.5038e+10
125.0,61.091,2.728,111,0,nan,nan,0.000,14641.568,1.317,3.4972e+09,nan,1.5038e+10
127.0,62.068,2.771,118,0,nan,nan,0.000,14641.568,1.313,3.4972e+09,nan,1.5038e+10
129.0,63.046,2.815,109,0,nan,nan,0.000,14641.568,1.379,3.4972e+09,nan,1.5038e+10
131.0,64.023,2.859,110,0,nan,nan,0.000,14641.568,1.371,3.4972e+09,nan,1.5038e+10
133.0,65.001,2.902,115,0,nan,nan,0.000,14641.568,1.366,3.4972e+09,nan,1.5038e+10
135.0,65.978,2.946,110,0,nan,nan,0.000,14641.568,1.418,3.4972e+09,nan,1.5038e+10
137.0,66.955,2.990,116,0,nan,nan,0.000,14641.568,1.380,3.4972e+09,nan,1.5038e+10
139.0,67.933,3.033,113,0,nan,nan,0.000,14641.568,1.412,3.4972e+09,nan,1.5038e+10
141.0,68.910,3.077,110,0,nan,nan,0.000,14641.568,1.483,3.4972e+09,nan,1.5038e+10
143.0,69.888,3.120,114,0,nan,nan,0.000,14641.568,1.458,3.4972e+09,nan,1.5038e+10
145.0,70.865,3.164,113,0,nan,nan,0.000,14641.568,1.499,3.4972e+09,nan,1.5038e+10
147.0,71.843,3.208,104,0,nan,nan,0.000,14641.568,1.593,3.4972e+09,nan,1.5038e+10
149.0,72.820,3.251,116,0,nan,nan,0.000,14641.568,1.502,3.4972e+09,nan,1.5038e+10
151.0,73.798,3.295,115,0,nan,nan,0.000,14641.568,1.509,3.4972e+09,nan,1.5038e+10
153.0,74.775,3.339,100,0,nan,nan,0.000,14641.568,1.634,3.4972e+09,nan,1.5038e+10
155.0,75.753,3.382,103,0,nan,nan,0.000,14641.568,1.635,3.4972e+09,nan,1.5038e+10
157.0,76.730,3.426,102,0,nan,nan,0.000,14641.568,1.631,3.4972e+09,nan,1.5038e+10
159.0,77.707,3.470,91,0,nan,nan,0.000,14641.568,1.708,3.4972e+09,nan,1.5038e+10
161.0,78.685,3.513,93,0,nan,nan,0.000,14641.568,1.721,3.4972e+09,nan,1.5038e+10
163.0,79.662,3.557,90,0,nan,nan,0.000,14641.568,1.778,3.4972e+09,nan,1.5038e+10
165.0,80.640,3.600,86,0,nan,nan,0.000,14641.568,1.747,3.4972e+09,nan,1.5038e+10
167.0,81.617,3.644,85,0,nan,nan,0.000,14641.568,1.801,3.4972e+09,nan,1.5038e+10
169.0,82.595,3.688,85,0,nan,nan,0.000,14641.568,1.853,3.4972e+09,nan,1.5038e+10
171.0,83.572,3.731,72,0,nan,nan,0.000,14641.568,1.981,3.4972e+09,nan,1.5038e+10
173.0,84.550,3.775,76,0,nan,nan,0.000,14641.568,1.993,3.4972e+09,nan,1.5038e+10
175.0,85.527,3.819,76,0,nan,nan,0.000,14641.568,2.024,3.4972e+09,nan,1.5038e+10
177.0,86.505,3.862,69,0,nan,nan,0.000,14641.568,2.045,3.4972e+09,nan,1.5038e+10
179.0,87.482,3.906,73,0,nan,nan,0.000,14641.568,2.123,3.4972e+09,nan,1.5038e+10
181.0,88.459,3.950,65,0,nan,nan,0.000,14641.568,2.347,3.4972e+09,nan,1.5038e+10
183.0,89.437,3.993,61,0,nan,nan,0.000,14641.568,2.240,3.4972e+09,nan,1.5038e+10
185.0,90.414,4.037,63,0,nan,nan,0.000,14641.568,2.422,3.4972e+09,nan,1.5038e+10
187.0,91.392,4.081,61,0,nan,nan,0.000,14641.568,2.581,3.4972e+09,nan,1.5038e+10
189.0,92.369,4.124,51,0,nan,nan,0.000,14641.568,2.766,3.4972e+09,nan,1.5038e+10
191.0,93.347,4.168,56,0,nan,nan,0.000,14641.568,2.991,3.4972e+09,nan,1.5038e+10
193.0,94.324,4.211,56,0,nan,nan,0.000,14641.568,3.201,3.4972e+09,nan,1.5038e+10
195.0,95.302,4.255,45,0,nan,nan,0.000,14641.568,3.730,3.4972e+09,nan,1.5038e+10
197.0,96.279,4.299,52,0,nan,nan,0.000,14641.568,5.300,3.4972e+09,nan,1.5038e+10
199.0,97.257,4.342,45,0,nan,nan,0.000,14641.568,9.265,3.4972e+09,nan,1.5038e+10
201.0,98.234,4.386,41,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
203.0,99.211,4.430,45,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
205.0,100.189,4.473,41,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
207.0,101.166,4.517,33,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
209.0,102.144,4.561,39,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
211.0,103.121,4.604,34,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
213.0,104.099,4.648,29,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
215.0,105.076,4.692,31,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
217.0,106.054,4.735,28,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
219.0,107.031,4.779,23,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
221.0,108.008,4.822,25,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
223.0,108.986,4.866,22,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
225.0,109.963,4.910,18,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
227.0,110.941,4.953,20,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
229.0,111.918,4.997,14,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
231.0,112.896,5.041,14,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
233.0,113.873,5.084,13,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
235.0,114.851,5.128,9,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
237.0,115.828,5.172,8,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
239.0,116.806,5.215,7,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
241.0,117.783,5.259,4,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
243.0,118.760,5.303,2,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
245.0,119.738,5.346,2,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
247.0,120.715,5.390,0,0,nan,nan,0.000,14641.568,nan,3.4972e+09,nan,1.5038e+10
