# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=123.9962 deg DEC=23.1996 deg PA=328.5 INC=77.7}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 62.03 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=54.72 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 1 times IC2247.co.smo7_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.5,0.451,0.027,5,5,6.900,0.38567662,161.939,161.93886,3.354,1.4645e+07,29.668,6.2973e+07
4.5,1.353,0.082,18,18,5.995,0.63648605,506.580,668.519,1.735,6.0457e+07,25.780,2.5997e+08
7.5,2.255,0.137,30,30,5.140,0.7903596,723.879,1392.3982,1.311,1.2592e+08,22.103,5.4146e+08
10.5,3.158,0.192,43,43,4.412,0.83801574,890.493,2282.8916,1.075,2.0645e+08,18.970,8.8775e+08
13.5,4.060,0.247,52,52,3.715,0.790939,906.919,3189.8103,0.963,2.8847e+08,15.976,1.2404e+09
16.5,4.962,0.302,70,70,3.004,0.71953434,987.155,4176.965,0.807,3.7774e+08,12.918,1.6243e+09
19.5,5.864,0.356,77,77,2.400,0.76715493,867.465,5044.4297,0.755,4.5619e+08,10.320,1.9616e+09
22.5,6.766,0.411,89,89,1.799,0.62878007,751.444,5795.874,0.685,5.2415e+08,7.734,2.2538e+09
25.5,7.668,0.466,109,109,1.236,0.5176912,632.371,6428.2446,0.602,5.8134e+08,5.314,2.4997e+09
28.5,8.571,0.521,105,105,0.872,0.3929907,429.646,6857.8906,0.613,6.2019e+08,3.748,2.6668e+09
31.5,9.473,0.576,128,128,0.603,0.269578,362.308,7220.1987,0.558,6.5296e+08,2.593,2.8077e+09
34.5,10.375,0.631,141,141,0.430,0.18378271,284.494,7504.6924,0.534,6.7868e+08,1.848,2.9183e+09
37.5,11.277,0.685,151,146,0.309,0.0895621,219.073,7723.765,0.527,6.9850e+08,1.329,3.0035e+09
40.5,12.179,0.740,158,135,0.290,0.06902234,215.220,7938.9854,0.529,7.1796e+08,1.248,3.0872e+09
43.5,13.081,0.795,181,145,0.287,0.07378784,244.244,8183.2295,0.509,7.4005e+08,1.236,3.1822e+09
46.5,13.984,0.850,185,124,0.303,0.085326694,263.200,8446.43,0.527,7.6385e+08,1.303,3.2846e+09
49.5,14.886,0.905,197,95,0.312,0.08364135,288.326,8734.756,0.529,7.8992e+08,1.341,3.3967e+09
52.5,15.788,0.959,216,87,0.333,0.09690622,337.645,9072.4,0.539,8.2046e+08,1.432,3.5280e+09
55.5,16.690,1.014,221,59,0.352,0.10863402,364.732,9437.133,0.560,8.5344e+08,1.512,3.6698e+09
58.5,17.592,1.069,234,46,0.318,0.15449218,348.910,9786.043,0.584,8.8500e+08,1.366,3.8055e+09
61.5,18.495,1.124,248,44,0.257,0.1741423,299.479,10085.522,0.587,9.1208e+08,1.106,3.9219e+09
64.5,19.397,1.179,259,36,0.227,0.17475736,275.913,10361.436,0.579,9.3703e+08,0.976,4.0292e+09
67.5,20.299,1.234,263,22,nan,nan,0.000,10361.436,0.609,9.3703e+08,nan,4.0292e+09
70.5,21.201,1.288,294,19,nan,nan,0.000,10361.436,0.584,9.3703e+08,nan,4.0292e+09
73.5,22.103,1.343,294,13,nan,nan,0.000,10361.436,0.608,9.3703e+08,nan,4.0292e+09
76.5,23.005,1.398,304,5,nan,nan,0.000,10361.436,0.612,9.3703e+08,nan,4.0292e+09
79.5,23.908,1.453,323,1,nan,nan,0.000,10361.436,0.612,9.3703e+08,nan,4.0292e+09
82.5,24.810,1.508,334,0,nan,nan,0.000,10361.436,0.613,9.3703e+08,nan,4.0292e+09
85.5,25.712,1.563,334,0,nan,nan,0.000,10361.436,0.630,9.3703e+08,nan,4.0292e+09
88.5,26.614,1.617,367,0,nan,nan,0.000,10361.436,0.615,9.3703e+08,nan,4.0292e+09
91.5,27.516,1.672,357,0,nan,nan,0.000,10361.436,0.638,9.3703e+08,nan,4.0292e+09
94.5,28.418,1.727,338,0,nan,nan,0.000,10361.436,0.642,9.3703e+08,nan,4.0292e+09
97.5,29.321,1.782,322,0,nan,nan,0.000,10361.436,0.622,9.3703e+08,nan,4.0292e+09
100.5,30.223,1.837,301,0,nan,nan,0.000,10361.436,0.650,9.3703e+08,nan,4.0292e+09
103.5,31.125,1.892,291,0,nan,nan,0.000,10361.436,0.649,9.3703e+08,nan,4.0292e+09
106.5,32.027,1.946,292,0,nan,nan,0.000,10361.436,0.649,9.3703e+08,nan,4.0292e+09
109.5,32.929,2.001,291,0,nan,nan,0.000,10361.436,0.654,9.3703e+08,nan,4.0292e+09
