# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=100.9242 deg DEC=65.2062 deg PA=300.0 INC=47.4}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 51.16 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=42.77 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 0 times NGC2253.co.smo7_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.5,0.372,0.035,18,18,35.916,3.6764078,955.101,955.1012,6.201,5.8746e+07,154.438,2.5261e+08
4.5,1.116,0.105,58,58,22.033,6.6792603,1887.996,2843.0977,3.501,1.7487e+08,94.744,7.5195e+08
7.5,1.860,0.175,98,98,11.131,4.4239573,1611.618,4454.716,2.680,2.7400e+08,47.865,1.1782e+09
10.5,2.604,0.246,135,135,8.825,2.0217843,1760.024,6214.74,2.257,3.8226e+08,37.946,1.6437e+09
13.5,3.348,0.316,167,167,7.904,1.6694913,1950.073,8164.8135,1.897,5.0220e+08,33.987,2.1595e+09
16.5,4.092,0.386,215,215,5.634,2.0564227,1789.570,9954.384,1.577,6.1227e+08,24.226,2.6328e+09
19.5,4.836,0.456,251,251,3.885,1.6898015,1440.522,11394.906,1.431,7.0088e+08,16.704,3.0138e+09
22.5,5.580,0.526,285,285,2.974,1.4607372,1252.036,12646.942,1.340,7.7789e+08,12.786,3.3449e+09
25.5,6.324,0.596,327,327,2.065,1.4234921,997.837,13644.779,1.261,8.3926e+08,8.882,3.6088e+09
28.5,7.068,0.666,359,359,1.177,1.2861991,624.311,14269.09,1.229,8.7766e+08,5.062,3.7739e+09
31.5,7.812,0.737,403,403,0.521,1.0559585,310.186,14579.275,1.198,8.9674e+08,2.240,3.8560e+09
34.5,8.556,0.807,447,435,0.211,0.83570504,139.146,14718.421,1.182,9.0530e+08,0.906,3.8928e+09
