# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=175.3194 deg DEC=47.6908 deg PA=351.5 INC=39.9}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 44.25 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=60.83 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 1 times NGC3811.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.215,0.016,8,8,71.862,4.1007,749.380,749.37964,14.283,3.4491e+07,309.008,1.4831e+08
3.0,0.644,0.049,31,31,48.516,10.452155,1960.467,2709.8464,7.229,1.2473e+08,208.620,5.3632e+08
5.0,1.073,0.082,48,48,24.244,8.512514,1516.925,4226.7715,5.773,1.9454e+08,104.251,8.3654e+08
7.0,1.502,0.115,67,67,9.201,4.9579315,803.555,5030.326,4.714,2.3153e+08,39.564,9.9558e+08
9.0,1.931,0.148,88,88,4.973,2.9323745,570.424,5600.7505,3.865,2.5778e+08,21.383,1.1085e+09
11.0,2.360,0.181,101,101,2.859,1.2550874,376.342,5977.093,3.315,2.7511e+08,12.292,1.1830e+09
13.0,2.789,0.214,130,130,2.553,1.0526793,432.646,6409.739,2.788,2.9502e+08,10.979,1.2686e+09
15.0,3.218,0.247,139,139,2.499,1.0227439,452.776,6862.515,2.612,3.1586e+08,10.745,1.3582e+09
17.0,3.647,0.279,170,170,2.936,1.5537628,650.710,7513.225,2.373,3.4581e+08,12.627,1.4870e+09
19.0,4.076,0.312,178,177,3.838,2.2430792,890.390,8403.615,2.354,3.8679e+08,16.501,1.6632e+09
21.0,4.505,0.345,205,202,3.593,2.1485522,960.062,9363.677,2.227,4.3098e+08,15.449,1.8532e+09
23.0,4.934,0.378,221,215,2.950,1.7459992,849.876,10213.553,2.184,4.7010e+08,12.686,2.0214e+09
25.0,5.363,0.411,242,235,2.281,0.8792933,719.411,10932.964,2.128,5.0321e+08,9.807,2.1638e+09
27.0,5.793,0.444,261,243,2.133,0.59745276,725.538,11658.502,2.093,5.3660e+08,9.170,2.3074e+09
29.0,6.222,0.477,275,233,2.216,0.6579917,794.307,12452.809,2.089,5.7316e+08,9.528,2.4646e+09
31.0,6.651,0.510,307,224,2.290,0.8545128,916.438,13369.247,2.028,6.1534e+08,9.847,2.6460e+09
33.0,7.080,0.542,308,172,2.421,0.7736995,971.954,14341.201,2.082,6.6008e+08,10.410,2.8383e+09
35.0,7.509,0.575,346,145,2.645,0.7927779,1193.124,15534.325,2.022,7.1499e+08,11.375,3.0745e+09
37.0,7.938,0.608,353,101,2.597,0.4316773,1194.937,16729.262,2.071,7.6999e+08,11.167,3.3110e+09
39.0,8.367,0.641,373,66,2.719,0.37805694,1321.898,18051.16,2.078,8.3084e+08,11.691,3.5726e+09
41.0,8.796,0.674,396,27,nan,nan,0.000,18051.16,2.099,8.3084e+08,nan,3.5726e+09
43.0,9.225,0.707,415,27,nan,nan,0.000,18051.16,2.129,8.3084e+08,nan,3.5726e+09
45.0,9.654,0.740,434,21,nan,nan,0.000,18051.16,2.168,8.3084e+08,nan,3.5726e+09
47.0,10.083,0.773,456,22,nan,nan,0.000,18051.16,2.209,8.3084e+08,nan,3.5726e+09
49.0,10.512,0.806,474,16,nan,nan,0.000,18051.16,2.271,8.3084e+08,nan,3.5726e+09
51.0,10.941,0.838,465,15,nan,nan,0.000,18051.16,2.467,8.3084e+08,nan,3.5726e+09
53.0,11.371,0.871,412,2,nan,nan,0.000,18051.16,2.732,8.3084e+08,nan,3.5726e+09
55.0,11.800,0.904,394,0,nan,nan,0.000,18051.16,2.983,8.3084e+08,nan,3.5726e+09
57.0,12.229,0.937,389,0,nan,nan,0.000,18051.16,3.220,8.3084e+08,nan,3.5726e+09
59.0,12.658,0.970,371,0,nan,nan,0.000,18051.16,3.679,8.3084e+08,nan,3.5726e+09
61.0,13.087,1.003,373,0,nan,nan,0.000,18051.16,4.013,8.3084e+08,nan,3.5726e+09
63.0,13.516,1.036,351,0,nan,nan,0.000,18051.16,5.111,8.3084e+08,nan,3.5726e+09
65.0,13.945,1.069,350,0,nan,nan,0.000,18051.16,7.398,8.3084e+08,nan,3.5726e+09
67.0,14.374,1.101,264,0,nan,nan,0.000,18051.16,nan,8.3084e+08,nan,3.5726e+09
69.0,14.803,1.134,207,0,nan,nan,0.000,18051.16,nan,8.3084e+08,nan,3.5726e+09
71.0,15.232,1.167,175,0,nan,nan,0.000,18051.16,nan,8.3084e+08,nan,3.5726e+09
73.0,15.661,1.200,139,0,nan,nan,0.000,18051.16,nan,8.3084e+08,nan,3.5726e+09
75.0,16.090,1.233,104,0,nan,nan,0.000,18051.16,nan,8.3084e+08,nan,3.5726e+09
77.0,16.519,1.266,78,0,nan,nan,0.000,18051.16,nan,8.3084e+08,nan,3.5726e+09
79.0,16.949,1.299,49,0,nan,nan,0.000,18051.16,nan,8.3084e+08,nan,3.5726e+09
