# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=191.5420 deg DEC=30.7321 deg PA=185.3 INC=50.0}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 96.61 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=64.88 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 1 times NGC4676A.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.468,0.015,9,9,88.056,4.7448926,1232.917,1232.917,13.368,2.7045e+08,378.641,1.1630e+09
3.0,1.405,0.046,24,24,66.078,9.59138,2467.169,3700.0864,8.196,8.1166e+08,284.134,3.4901e+09
5.0,2.342,0.077,42,42,38.299,10.856842,2502.458,6202.5444,6.163,1.3606e+09,164.685,5.8506e+09
7.0,3.279,0.108,55,55,16.880,7.618073,1444.303,7646.847,5.368,1.6774e+09,72.582,7.2129e+09
9.0,4.215,0.139,73,73,5.534,3.525549,628.500,8275.348,4.431,1.8153e+09,23.797,7.8057e+09
11.0,5.152,0.170,88,88,2.512,0.62358713,343.969,8619.316,3.747,1.8907e+09,10.804,8.1302e+09
13.0,6.089,0.200,105,105,2.100,0.37686047,343.084,8962.4,3.179,1.9660e+09,9.031,8.4538e+09
15.0,7.025,0.231,123,119,1.652,0.37697485,316.215,9278.615,2.470,2.0354e+09,7.106,8.7521e+09
17.0,7.962,0.262,136,110,1.478,0.34927785,312.727,9591.342,2.172,2.1040e+09,6.356,9.0471e+09
19.0,8.899,0.293,154,101,1.396,0.2783994,334.545,9925.887,2.014,2.1774e+09,6.004,9.3626e+09
21.0,9.836,0.324,166,58,1.492,0.24969885,385.266,10311.152,1.966,2.2619e+09,6.415,9.7260e+09
23.0,10.772,0.354,190,56,1.540,0.22506338,455.305,10766.457,1.863,2.3617e+09,6.623,1.0155e+10
25.0,11.709,0.385,204,28,1.627,0.1809182,516.400,11282.857,1.830,2.4750e+09,6.997,1.0643e+10
27.0,12.646,0.416,213,23,1.690,0.1821835,560.127,11842.984,1.824,2.5979e+09,7.268,1.1171e+10
29.0,13.582,0.447,235,27,1.731,0.21366031,632.737,12475.722,1.772,2.7367e+09,7.442,1.1768e+10
31.0,14.519,0.478,251,17,nan,nan,0.000,12475.722,1.753,2.7367e+09,nan,1.1768e+10
33.0,15.456,0.509,270,12,nan,nan,0.000,12475.722,1.731,2.7367e+09,nan,1.1768e+10
35.0,16.393,0.539,281,14,nan,nan,0.000,12475.722,1.741,2.7367e+09,nan,1.1768e+10
37.0,17.329,0.570,300,22,nan,nan,0.000,12475.722,1.732,2.7367e+09,nan,1.1768e+10
39.0,18.266,0.601,314,12,nan,nan,0.000,12475.722,1.745,2.7367e+09,nan,1.1768e+10
41.0,19.203,0.632,333,12,nan,nan,0.000,12475.722,1.751,2.7367e+09,nan,1.1768e+10
43.0,20.139,0.663,344,20,nan,nan,0.000,12475.722,1.781,2.7367e+09,nan,1.1768e+10
45.0,21.076,0.694,366,9,nan,nan,0.000,12475.722,1.791,2.7367e+09,nan,1.1768e+10
47.0,22.013,0.724,383,0,nan,nan,0.000,12475.722,1.817,2.7367e+09,nan,1.1768e+10
49.0,22.950,0.755,387,0,nan,nan,0.000,12475.722,1.885,2.7367e+09,nan,1.1768e+10
51.0,23.886,0.786,411,0,nan,nan,0.000,12475.722,1.914,2.7367e+09,nan,1.1768e+10
53.0,24.823,0.817,368,0,nan,nan,0.000,12475.722,2.062,2.7367e+09,nan,1.1768e+10
55.0,25.760,0.848,338,0,nan,nan,0.000,12475.722,2.193,2.7367e+09,nan,1.1768e+10
57.0,26.697,0.879,339,0,nan,nan,0.000,12475.722,2.257,2.7367e+09,nan,1.1768e+10
59.0,27.633,0.909,318,0,nan,nan,0.000,12475.722,2.403,2.7367e+09,nan,1.1768e+10
61.0,28.570,0.940,323,0,nan,nan,0.000,12475.722,2.489,2.7367e+09,nan,1.1768e+10
63.0,29.507,0.971,310,0,nan,nan,0.000,12475.722,2.632,2.7367e+09,nan,1.1768e+10
65.0,30.443,1.002,307,0,nan,nan,0.000,12475.722,2.786,2.7367e+09,nan,1.1768e+10
67.0,31.380,1.033,304,0,nan,nan,0.000,12475.722,2.952,2.7367e+09,nan,1.1768e+10
69.0,32.317,1.063,293,0,nan,nan,0.000,12475.722,3.217,2.7367e+09,nan,1.1768e+10
71.0,33.254,1.094,302,0,nan,nan,0.000,12475.722,3.372,2.7367e+09,nan,1.1768e+10
73.0,34.190,1.125,298,0,nan,nan,0.000,12475.722,3.744,2.7367e+09,nan,1.1768e+10
75.0,35.127,1.156,288,0,nan,nan,0.000,12475.722,4.368,2.7367e+09,nan,1.1768e+10
77.0,36.064,1.187,294,0,nan,nan,0.000,12475.722,5.078,2.7367e+09,nan,1.1768e+10
79.0,37.000,1.218,253,0,nan,nan,0.000,12475.722,9.104,2.7367e+09,nan,1.1768e+10
81.0,37.937,1.248,199,0,nan,nan,0.000,12475.722,nan,2.7367e+09,nan,1.1768e+10
83.0,38.874,1.279,153,0,nan,nan,0.000,12475.722,nan,2.7367e+09,nan,1.1768e+10
85.0,39.811,1.310,117,0,nan,nan,0.000,12475.722,nan,2.7367e+09,nan,1.1768e+10
87.0,40.747,1.341,88,0,nan,nan,0.000,12475.722,nan,2.7367e+09,nan,1.1768e+10
89.0,41.684,1.372,64,0,nan,nan,0.000,12475.722,nan,2.7367e+09,nan,1.1768e+10
91.0,42.621,1.403,41,0,nan,nan,0.000,12475.722,nan,2.7367e+09,nan,1.1768e+10
93.0,43.557,1.433,28,0,nan,nan,0.000,12475.722,nan,2.7367e+09,nan,1.1768e+10
95.0,44.494,1.464,16,0,nan,nan,0.000,12475.722,nan,2.7367e+09,nan,1.1768e+10
97.0,45.431,1.495,7,0,nan,nan,0.000,12475.722,nan,2.7367e+09,nan,1.1768e+10
99.0,46.368,1.526,1,0,nan,nan,0.000,12475.722,nan,2.7367e+09,nan,1.1768e+10
