# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=191.5420 deg DEC=30.7321 deg PA=185.3 INC=50.0}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 96.61 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=64.88 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 0 times NGC4676A.co.smo7_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.5,0.703,0.023,19,19,54.339,3.1914752,1606.194,1606.1942,8.232,3.5234e+08,233.658,1.5150e+09
4.5,2.108,0.069,56,56,36.504,6.9189734,3180.225,4786.4194,4.791,1.0500e+09,156.966,4.5148e+09
7.5,3.513,0.116,92,92,15.985,5.767715,2287.880,7074.3,3.729,1.5518e+09,68.736,6.6729e+09
10.5,4.918,0.162,124,124,3.719,3.0296226,717.457,7791.757,3.144,1.7092e+09,15.992,7.3496e+09
13.5,6.323,0.208,164,164,-0.320,1.5736697,-81.627,7710.1294,2.496,1.6913e+09,-1.376,7.2726e+09
16.5,7.728,0.254,200,197,-0.575,1.0341028,-178.896,7531.2334,1.994,1.6521e+09,-2.472,7.1039e+09
19.5,9.133,0.301,236,203,-0.066,0.82159656,-24.392,7506.8413,1.616,1.6467e+09,-0.286,7.0809e+09
22.5,10.538,0.347,274,177,0.173,0.6903462,73.622,7580.4634,1.422,1.6629e+09,0.743,7.1503e+09
25.5,11.943,0.393,312,153,0.237,0.6179306,115.200,7695.663,1.345,1.6881e+09,1.021,7.2590e+09
28.5,13.348,0.439,340,134,0.194,0.4405852,102.447,7798.1104,1.312,1.7106e+09,0.833,7.3556e+09
