# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=79.9234 deg DEC=84.0525 deg PA=267.7 INC=58.3}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 59.46 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=41.22 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 0 times UGC03253.co.smo7_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.5,0.432,0.036,16,16,6.884,1.0735135,209.613,209.6125,4.964,1.7418e+07,29.602,7.4898e+07
4.5,1.297,0.109,43,43,4.420,1.6775291,361.728,571.3401,3.017,4.7477e+07,19.008,2.0415e+08
7.5,2.162,0.182,75,75,2.053,1.5561001,292.959,864.29895,2.240,7.1821e+07,8.826,3.0883e+08
10.5,3.027,0.255,104,104,1.034,0.89143574,204.712,1069.0112,1.807,8.8832e+07,4.448,3.8198e+08
13.5,3.892,0.328,138,133,0.843,0.64377826,221.508,1290.5189,1.509,1.0724e+08,3.627,4.6113e+08
16.5,4.756,0.400,160,129,0.675,0.5505665,205.396,1495.9149,1.379,1.2431e+08,2.901,5.3452e+08
19.5,5.621,0.473,192,136,0.657,0.652636,240.146,1736.0607,1.271,1.4426e+08,2.826,6.2033e+08
22.5,6.486,0.546,223,138,0.480,0.72491217,203.811,1939.8713,1.200,1.6120e+08,2.065,6.9315e+08
25.5,7.351,0.619,250,136,0.371,0.62357694,176.366,2116.2373,1.157,1.7585e+08,1.594,7.5617e+08
28.5,8.216,0.691,287,153,0.237,0.5139168,129.202,2245.439,1.113,1.8659e+08,1.017,8.0234e+08
31.5,9.080,0.764,312,134,0.161,0.4547443,95.775,2341.2139,1.108,1.9455e+08,0.694,8.3656e+08
34.5,9.945,0.837,343,104,0.120,0.44523585,78.386,2419.6,1.098,2.0106e+08,0.516,8.6457e+08
37.5,10.810,0.910,370,26,nan,nan,0.000,2419.6,1.107,2.0106e+08,nan,8.6457e+08
40.5,11.675,0.983,403,29,nan,nan,0.000,2419.6,1.113,2.0106e+08,nan,8.6457e+08
43.5,12.540,1.055,429,18,nan,nan,0.000,2419.6,1.138,2.0106e+08,nan,8.6457e+08
46.5,13.404,1.128,453,34,nan,nan,0.000,2419.6,1.174,2.0106e+08,nan,8.6457e+08
49.5,14.269,1.201,501,29,nan,nan,0.000,2419.6,1.186,2.0106e+08,nan,8.6457e+08
52.5,15.134,1.274,514,25,nan,nan,0.000,2419.6,1.260,2.0106e+08,nan,8.6457e+08
55.5,15.999,1.346,555,34,nan,nan,0.000,2419.6,1.305,2.0106e+08,nan,8.6457e+08
58.5,16.864,1.419,575,19,nan,nan,0.000,2419.6,1.395,2.0106e+08,nan,8.6457e+08
61.5,17.728,1.492,606,29,nan,nan,0.000,2419.6,1.449,2.0106e+08,nan,8.6457e+08
64.5,18.593,1.565,641,18,nan,nan,0.000,2419.6,1.496,2.0106e+08,nan,8.6457e+08
67.5,19.458,1.638,667,2,nan,nan,0.000,2419.6,1.572,2.0106e+08,nan,8.6457e+08
70.5,20.323,1.710,709,0,nan,nan,0.000,2419.6,1.619,2.0106e+08,nan,8.6457e+08
73.5,21.188,1.783,718,0,nan,nan,0.000,2419.6,1.716,2.0106e+08,nan,8.6457e+08
76.5,22.052,1.856,764,0,nan,nan,0.000,2419.6,1.781,2.0106e+08,nan,8.6457e+08
79.5,22.917,1.929,760,0,nan,nan,0.000,2419.6,1.892,2.0106e+08,nan,8.6457e+08
82.5,23.782,2.001,695,0,nan,nan,0.000,2419.6,1.982,2.0106e+08,nan,8.6457e+08
85.5,24.647,2.074,657,0,nan,nan,0.000,2419.6,2.056,2.0106e+08,nan,8.6457e+08
88.5,25.512,2.147,632,0,nan,nan,0.000,2419.6,2.265,2.0106e+08,nan,8.6457e+08
91.5,26.376,2.220,611,0,nan,nan,0.000,2419.6,2.398,2.0106e+08,nan,8.6457e+08
94.5,27.241,2.293,607,0,nan,nan,0.000,2419.6,2.652,2.0106e+08,nan,8.6457e+08
97.5,28.106,2.365,587,0,nan,nan,0.000,2419.6,2.943,2.0106e+08,nan,8.6457e+08
100.5,28.971,2.438,585,0,nan,nan,0.000,2419.6,3.413,2.0106e+08,nan,8.6457e+08
103.5,29.836,2.511,574,0,nan,nan,0.000,2419.6,4.732,2.0106e+08,nan,8.6457e+08
106.5,30.700,2.584,582,0,nan,nan,0.000,2419.6,15.280,2.0106e+08,nan,8.6457e+08
109.5,31.565,2.656,561,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
112.5,32.430,2.729,558,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
115.5,33.295,2.802,558,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
118.5,34.159,2.875,554,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
121.5,35.024,2.948,556,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
124.5,35.889,3.020,548,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
127.5,36.754,3.093,550,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
130.5,37.619,3.166,537,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
133.5,38.483,3.239,544,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
136.5,39.348,3.311,527,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
139.5,40.213,3.384,542,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
142.5,41.078,3.457,542,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
145.5,41.943,3.530,539,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
148.5,42.807,3.603,532,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
151.5,43.672,3.675,502,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
154.5,44.537,3.748,355,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
157.5,45.402,3.821,264,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
160.5,46.267,3.894,197,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
163.5,47.131,3.966,138,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
166.5,47.996,4.039,82,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
169.5,48.861,4.112,47,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
172.5,49.726,4.185,25,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
175.5,50.591,4.258,4,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
178.5,51.455,4.330,0,0,nan,nan,0.000,2419.6,nan,2.0106e+08,nan,8.6457e+08
