# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=153.0153 deg DEC=23.0854 deg PA=61.8 INC=81.0}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 91.75 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=47.00 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 1 times UGC05498NED01.co.smo7_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.5,0.667,0.032,5,0,nan,nan,0.000,0.0,2.530,0.0000e+00,nan,0.0000e+00
4.5,2.002,0.096,11,0,nan,nan,0.000,0.0,1.708,0.0000e+00,nan,0.0000e+00
7.5,3.336,0.160,25,0,nan,nan,0.000,0.0,1.138,0.0000e+00,nan,0.0000e+00
10.5,4.671,0.223,30,0,nan,nan,0.000,0.0,1.045,0.0000e+00,nan,0.0000e+00
13.5,6.005,0.287,41,0,nan,nan,0.000,0.0,0.904,0.0000e+00,nan,0.0000e+00
16.5,7.340,0.351,47,0,nan,nan,0.000,0.0,0.852,0.0000e+00,nan,0.0000e+00
19.5,8.674,0.415,61,0,nan,nan,0.000,0.0,0.760,0.0000e+00,nan,0.0000e+00
22.5,10.009,0.479,66,0,nan,nan,0.000,0.0,0.741,0.0000e+00,nan,0.0000e+00
25.5,11.343,0.543,76,0,nan,nan,0.000,0.0,0.707,0.0000e+00,nan,0.0000e+00
28.5,12.678,0.606,78,0,nan,nan,0.000,0.0,0.711,0.0000e+00,nan,0.0000e+00
31.5,14.012,0.670,96,0,nan,nan,0.000,0.0,0.663,0.0000e+00,nan,0.0000e+00
34.5,15.347,0.734,99,0,nan,nan,0.000,0.0,0.667,0.0000e+00,nan,0.0000e+00
37.5,16.681,0.798,115,0,nan,nan,0.000,0.0,0.643,0.0000e+00,nan,0.0000e+00
