# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=225.3852 deg DEC=48.3198 deg PA=138.2 INC=74.0}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 36.54 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=50.83 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 1 times UGC09665.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.177,0.020,2,2,10.233,0.29934388,74.248,74.24751,10.751,2.3302e+06,44.001,1.0020e+07
3.0,0.531,0.059,12,12,9.218,1.1112972,401.320,475.56732,4.229,1.4925e+07,39.638,6.4178e+07
5.0,0.886,0.098,19,19,8.115,1.2901857,559.373,1034.94,3.281,3.2481e+07,34.894,1.3967e+08
7.0,1.240,0.138,25,25,6.655,1.2113922,603.635,1638.5752,2.820,5.1425e+07,28.618,2.2113e+08
9.0,1.594,0.177,27,27,5.780,1.1864783,566.139,2204.7139,2.611,6.9193e+07,24.852,2.9753e+08
11.0,1.949,0.216,37,37,4.864,1.3425746,652.982,2857.6958,2.219,8.9686e+07,20.917,3.8565e+08
13.0,2.303,0.256,49,49,3.924,1.2261996,697.545,3555.2407,1.905,1.1158e+08,16.873,4.7978e+08
15.0,2.657,0.295,51,51,3.253,1.2139581,601.958,4157.199,1.838,1.3047e+08,13.990,5.6102e+08
17.0,3.012,0.334,62,62,2.384,1.0566527,536.331,4693.53,1.648,1.4730e+08,10.253,6.3340e+08
19.0,3.366,0.374,58,58,1.874,1.063552,394.268,5087.7974,1.692,1.5968e+08,8.057,6.8660e+08
21.0,3.720,0.413,74,74,1.687,0.9794696,452.890,5540.687,1.501,1.7389e+08,7.254,7.4772e+08
23.0,4.075,0.452,84,84,1.394,0.72332853,424.708,5965.3945,1.402,1.8722e+08,5.993,8.0504e+08
25.0,4.429,0.492,91,91,1.360,0.70484895,448.897,6414.292,1.358,2.0131e+08,5.847,8.6562e+08
27.0,4.783,0.531,84,84,1.255,0.6285862,382.571,6796.863,1.429,2.1331e+08,5.398,9.1724e+08
29.0,5.138,0.571,103,103,1.031,0.41999918,385.120,7181.9824,1.315,2.2540e+08,4.432,9.6922e+08
31.0,5.492,0.610,108,108,1.048,0.52234024,410.604,7592.5864,1.285,2.3829e+08,4.506,1.0246e+09
33.0,5.846,0.649,118,114,1.000,0.49194866,427.962,8020.549,1.259,2.5172e+08,4.299,1.0824e+09
35.0,6.200,0.689,123,85,0.999,0.3358021,446.005,8466.554,1.259,2.6571e+08,4.298,1.1426e+09
37.0,6.555,0.728,124,63,1.039,0.2672364,467.489,8934.043,1.285,2.8039e+08,4.468,1.2057e+09
39.0,6.909,0.767,130,43,1.103,0.2540551,520.240,9454.283,1.311,2.9671e+08,4.743,1.2759e+09
41.0,7.263,0.807,144,39,1.086,0.25607547,567.376,10021.659,1.250,3.1452e+08,4.670,1.3524e+09
43.0,7.618,0.846,158,27,1.137,0.23394784,651.865,10673.524,1.243,3.3498e+08,4.890,1.4404e+09
45.0,7.972,0.885,154,22,1.156,0.25603378,646.029,11319.554,1.290,3.5525e+08,4.972,1.5276e+09
47.0,8.326,0.925,156,16,1.225,0.2836775,693.083,12012.637,1.353,3.7700e+08,5.266,1.6211e+09
49.0,8.681,0.964,169,18,1.243,0.3391432,762.048,12774.685,1.348,4.0092e+08,5.344,1.7240e+09
51.0,9.035,1.003,181,15,nan,nan,0.000,12774.685,1.352,4.0092e+08,nan,1.7240e+09
