# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: r_arcs, unit: arcsec, datatype: float64, description: outer radius of ring in arcsec}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: outer radius of ring in kpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: outer radius of ring as frac of opt radius}
# - {name: npix, datatype: int64, description: number of available pixels in the ring}
# - {name: ngood, datatype: int64, description: number of unmasked pixels in the ring}
# - {name: ico_avg, unit: K km / s, datatype: float64, format: 10.3f, description: average face-on intensity in ring if ngood/npix > 0.1
#     and setting blanks to zero}
# - {name: ico_rms, unit: K km / s, datatype: float32, description: rms face-on intensity in ring for unmasked pixels}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f, description: 3 sigma detection limit based on emom0max}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f, description: average face-on surface density including He with
#     alphaco=4.3}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e, description: total CO luminosity within the given radius}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e, description: total molecular gas mass within the given radius}
# delimiter: ','
# schema: astropy-2.0
Name,r_arcs,r_kpc,r_r25,npix,ngood,ico_avg,ico_rms,detlim,sigmol,cumlum,cummass
ARP220,1.0,0.378,0.030,12,12,729.123,289.22577,14.972,3135.230,1.4394e+09,6.1894e+09
ARP220,3.0,1.134,0.090,31,31,477.498,342.24588,9.292,2053.241,3.8745e+09,1.6661e+10
ARP220,5.0,1.890,0.151,56,56,174.085,152.94963,6.823,748.564,5.4783e+09,2.3557e+10
ARP220,7.0,2.646,0.211,75,75,43.668,40.081295,5.803,187.770,6.0171e+09,2.5874e+10
ARP220,9.0,3.402,0.271,102,102,14.470,14.172608,4.846,62.220,6.2599e+09,2.6918e+10
ARP220,11.0,4.158,0.331,122,122,6.226,8.699895,4.147,26.770,6.3849e+09,2.7455e+10
ARP220,13.0,4.914,0.392,136,136,1.426,6.6493845,3.482,6.130,6.4168e+09,2.7592e+10
ARP220,15.0,5.670,0.452,166,136,-0.472,4.8962317,2.712,-2.032,6.4038e+09,2.7537e+10
ARP220,17.0,6.426,0.512,186,120,0.737,3.7378047,2.228,3.167,6.4264e+09,2.7633e+10
ARP220,19.0,7.182,0.572,208,111,2.082,5.060945,1.971,8.953,6.4976e+09,2.7940e+10
ARP220,21.0,7.938,0.633,228,113,2.330,5.3606772,1.879,10.018,6.5850e+09,2.8316e+10
ARP220,23.0,8.694,0.693,248,119,1.565,4.4025826,1.814,6.728,6.6489e+09,2.8590e+10
ARP220,25.0,9.451,0.753,272,109,1.380,3.3328452,1.715,5.932,6.7106e+09,2.8856e+10
