CALIFA ID,Galaxy Morphology,Redshift,GALEX FUV [mag], GALEX NUV [mag],SDSS u [mag],SDSS g [mag],SDSS r [mag],SDSS i[mag],SDSS z [mag],2MASS J [mag],2MASS H [mag],2MASS Ks [mag],WISE 3.6 [mag],WISE 4.5 [mag],WISE 12 [mag],WISE 22 [mag]
CALIFA001,Sb,0.01663,17.86+/-0.15,17.23+/-0.05,15.57+/-0.10,13.92+/-0.05,13.2+/-0.05,12.76+/-0.05,12.54+/-0.10,12.29+/-0.02,12.09+/-0.02,12.25+/-0.03,12.59+/-0.01,13.12+/-0.01,12.06+/-0.01,12.49+/-0.06
CALIFA002,Sbc,0.0238267,16.67+/-0.01,16.18+/-0.04,14.94+/-0.10,13.58+/-0.05,12.97+/-0.05,12.63+/-0.05,12.41+/-0.10,12.03+/-0.02,11.9+/-0.03,12.04+/-0.04,12.4+/-0.01,12.86+/-0.01,11.03+/-0.01,10.64+/-0.02
CALIFA003,Sc,0.0163533,-,15.59+/-0.02,14.02+/-0.09,13.65+/-0.05,13.13+/-0.05,12.89+/-0.05,12.62+/-0.09,12.58+/-0.06,12.62+/-0.08,12.49+/-0.09,12.85+/-0.01,13.33+/-0.02,11.4+/-0.01,10.7+/-0.02
CALIFA004,E1,0.0288367,-,-,14.87+/-0.37,13.7+/-0.23,12.89+/-0.23,12.51+/-0.23,11.19+/-0.58,12.22+/-0.03,12.06+/-0.04,12.22+/-0.04,12.55+/-0.01,13.15+/-0.01,14.48+/-0.04,-
CALIFA005,Sbc,0.0125467,15.43+/-0.01,15.19+/-0.01,14.18+/-0.09,13.16+/-0.05,12.68+/-0.05,12.42+/-0.05,12.31+/-0.09,12.04+/-0.03,11.9+/-0.03,11.99+/-0.05,12.39+/-0.01,12.85+/-0.01,11.06+/-0.01,10.75+/-0.02
CALIFA006,Sab,0.02006,17.77+/-0.52,17.24+/-0.02,15.03+/-0.09,13.24+/-0.05,12.38+/-0.05,11.94+/-0.05,11.7+/-0.09,11.42+/-0.02,11.17+/-0.02,11.36+/-0.03,11.9+/-0.01,12.51+/-0.01,12.44+/-0.01,12.85+/-0.07
CALIFA007,Sab,0.0205933,18.17+/-0.15,17.42+/-0.06,15.36+/-0.09,13.87+/-0.05,13.06+/-0.05,12.61+/-0.05,12.28+/-0.09,12.08+/-0.02,11.85+/-0.02,11.98+/-0.03,12.34+/-0.01,12.83+/-0.01,12.04+/-0.01,11.9+/-0.04
CALIFA008,Sbc,0.0149933,-,-,14.41+/-0.09,13.02+/-0.05,12.34+/-0.05,11.94+/-0.05,11.68+/-0.09,11.64+/-0.02,11.37+/-0.02,11.58+/-0.03,11.72+/-0.01,12.14+/-0.01,10.34+/-0.0,10.0+/-0.02
CALIFA009,Sb,0.0150233,15.9+/-0.01,15.13+/-0.01,13.62+/-0.09,12.26+/-0.05,11.57+/-0.05,11.22+/-0.05,11.01+/-0.09,10.79+/-0.01,10.58+/-0.01,10.71+/-0.02,11.04+/-0.0,11.47+/-0.01,9.43+/-0.0,8.42+/-0.01
CALIFA010,Sb,0.0197167,15.97+/-0.03,15.56+/-0.04,14.29+/-0.09,12.89+/-0.05,12.31+/-0.05,11.92+/-0.05,11.85+/-0.09,11.57+/-0.03,11.31+/-0.03,11.43+/-0.03,12.12+/-0.01,12.66+/-0.01,11.42+/-0.01,11.38+/-0.03
CALIFA011,Scd,0.0129967,15.39+/-0.01,15.15+/-0.05,14.62+/-0.09,13.7+/-0.05,13.35+/-0.05,13.14+/-0.05,12.97+/-0.09,12.9+/-0.04,12.7+/-0.05,12.88+/-0.06,13.27+/-0.01,13.67+/-0.02,11.92+/-0.01,11.62+/-0.04
CALIFA012,Sc,0.0138133,-,-,14.64+/-0.09,13.59+/-0.05,13.09+/-0.05,12.83+/-0.05,12.63+/-0.09,12.46+/-0.02,12.21+/-0.03,12.36+/-0.04,12.51+/-0.01,12.94+/-0.01,10.75+/-0.0,10.13+/-0.02
CALIFA013,Sb,0.0115233,16.41+/-0.03,15.92+/-0.01,14.57+/-0.09,13.21+/-0.05,12.58+/-0.05,12.24+/-0.05,12.01+/-0.09,11.71+/-0.02,11.57+/-0.03,11.76+/-0.03,12.16+/-0.01,12.71+/-0.01,11.4+/-0.01,11.17+/-0.03
CALIFA014,Sd,0.0142333,15.27+/-0.01,14.96+/-0.01,14.36+/-0.1,13.5+/-0.05,13.2+/-0.05,13.1+/-0.05,12.95+/-0.09,13.61+/-0.52,13.3+/-0.52,13.85+/-0.52,13.22+/-0.01,13.62+/-0.02,11.69+/-0.01,10.6+/-0.02
CALIFA015,Scd,0.02328,17.97+/-0.07,17.39+/-0.06,16.66+/-0.09,15.36+/-0.05,14.8+/-0.05,14.48+/-0.05,14.27+/-0.09,13.97+/-0.06,13.54+/-0.06,13.87+/-0.08,13.67+/-0.02,14.08+/-0.02,13.6+/-0.02,13.62+/-0.09
CALIFA016,Scd,0.0117133,16.75+/-0.06,16.27+/-0.01,15.0+/-0.09,13.9+/-0.05,13.31+/-0.05,12.81+/-0.05,12.88+/-0.07,12.47+/-0.03,12.22+/-0.03,12.31+/-0.04,12.46+/-0.01,12.87+/-0.01,10.69+/-0.0,10.19+/-0.02
CALIFA017,E4,0.01783,20.21+/-0.31,18.39+/-0.07,15.58+/-0.09,13.71+/-0.05,13.01+/-0.05,12.66+/-0.05,12.42+/-0.09,12.2+/-0.06,11.92+/-0.07,12.18+/-0.09,12.58+/-0.01,13.33+/-0.02,13.68+/-0.03,14.0+/-0.12
CALIFA018,E1,0.0202933,21.57+/-0.32,17.83+/-0.15,14.53+/-0.09,12.92+/-0.05,12.29+/-0.05,11.89+/-0.05,11.67+/-0.09,11.59+/-0.02,11.38+/-0.03,11.61+/-0.04,12.02+/-0.01,12.62+/-0.01,13.84+/-0.03,13.86+/-0.11
CALIFA019,Sb,0.0108433,-,-,14.46+/-0.09,13.38+/-0.05,12.9+/-0.05,12.55+/-0.05,12.45+/-0.09,12.34+/-0.02,12.26+/-0.03,12.5+/-0.04,11.74+/-0.01,12.34+/-0.01,11.99+/-0.01,11.94+/-0.04
