Name: standard CALIFA galaxy name
VsysRadio: CO radio helocentric vsys (km/s); see VsysFlag for how this was derived 
VsysRel: CO vsys after relativistic correction (km/s)
PA: position angle in degrees; ranges from 0-365 degrees; see PAFlag for how this was derived
Inc: inclination in degrees; see IncFlag for how this was derived
RA: RA of central pixel from CRVAL
Dec: Dec of central pixel from CRVAL
l: galactic longitude of central pixel calculated from RA and Dec
b: galactic latitude of central pixel calculated from RA and Dec
xoff: x-offset of center from central pixel; this is 0 unless the center position is very far off
Rmax: maximum radius in arcsec from the center for which ringfit places a ring; this already subtracts NumBadEndRings; 0 indicates no/not enough data
VRotMax: maximum rotational velocity at Rmax in km/s in relativistic frame; 0 indicates no/not enough data
yoff: y-offset of center from central pixel; this is 0 unless the center position is very far off
NumBadEndRings: the number of outer rings to discard due to poor fits from ringfit
PAFlag: this describes where the PA listed is from; 0=ringfit results; 1=outer optical isophotes; 2=LEDA
IncFlag: this describes where the inclination listed is from; 0=ringfit results; 1=outer optical isophotes; 2=LEDA
VsysFlag: this describes where the CO radio vsys listed is from; 0=ringfit results; 2=LEDA

Name, VsysRadio, VsysRel, PA, Inc, RA, Dec, l, b, xoff, yoff, Rmax, VRotMax, NumBadEndRings, PAFlag, IncFlag, VsysFlag
ARP220,5248,5293,337.7,29.7,233.738333,23.503667,36.699682,53.020273,0,0,15.177344,282.738096,3,1,1,2
IC0480,4493,4527,167.9,76.6,118.846667,26.741111,14.440125,25.100525,0,0,15.365893,140.188668,12,1,1,0
IC0540,1992,1999,350.0,68.3,142.542917,7.902750,45.293763,38.734079,0,0,13.555532,94.337639,0,1,1,0
IC0944,6833,6911,105.7,75.0,207.878750,14.092222,-6.920278,70.856978,0,0,30.110932,299.290105,2,1,0,0
IC1151,2175,2182,208.9,68.0,239.634583,17.441444,30.437152,45.895134,0,0,0.000000,0.000000,0,1,1,0
IC1199,4646,4682,337.3,64.5,242.642917,10.040361,22.845601,40.183048,0,0,25.122052,210.804626,0,1,1,0
IC1683,4785,4823,15.6,54.8,20.662083,34.437111,-49.706328,-27.991619,0,0,12.873787,191.318121,3,1,0,0
IC2247,4212,4242,328.5,77.7,123.996250,23.199611,19.905359,28.341758,0,0,19.508032,184.565727,13,1,1,0
IC2487,4257,4287,162.9,77.9,142.538333,20.090833,30.445592,43.662269,0,0,35.027414,206.289385,0,1,1,0
IC4566,5481,5531,145.0,53.9,234.175833,43.539306,70.313922,52.996144,0,0,20.880073,224.138236,5,0,1,0
IC5376,4921,4961,3.4,71.6,0.332500,34.525667,111.416444,-27.217259,0,0,21.849205,216.327895,2,1,1,0
NGC0444,4839,4878,158.7,74.9,18.956667,31.080611,-50.866004,-31.499958,0,0,0.000000,0.000000,0,1,1,0
NGC0447,5502,5552,227.0,29.1,18.906667,33.067778,-51.167410,-29.529370,0,0,7.460804,187.659364,0,0,1,0
NGC0477,5734,5789,150.0,60.0,20.335417,40.488139,-50.864528,-22.026556,0,0,32.723918,192.649823,0,0,1,0
NGC0496,5904,5962,33.5,57.0,20.798333,33.529278,-49.435835,-28.874992,0,0,13.726727,137.002275,5,0,1,0
NGC0523,4726,4763,282.2,71.6,21.336250,34.024944,-49.013745,-28.319782,0,0,38.510642,367.042215,2,1,1,0
NGC0528,2372,2381,57.7,61.1,21.390000,33.671444,-48.903233,-28.662595,0,0,0.000000,0.000000,0,1,1,0
NGC0551,5100,5143,315.0,64.2,21.919167,37.182972,-49.026897,-25.126432,0,0,22.687183,194.047777,1,0,1,0
NGC1167,4924,4964,62.5,39.5,45.426250,35.205611,-28.989947,-20.481896,0,0,32.224323,385.044751,2,1,1,0
NGC2253,3518,3539,300.0,47.4,100.924167,65.206361,-29.767675,23.666475,0,0,22.654317,167.442894,5,0,1,0
NGC2347,4354,4386,189.1,50.2,109.017083,64.711333,-28.547810,26.944625,0,0,18.308268,290.520419,3,1,1,0
NGC2410,4595,4630,214.6,71.6,113.759583,32.822111,6.585416,22.874101,-7,-6,26.388295,230.558082,0,1,1,0
NGC2480,2303,2312,167.2,55.4,119.293333,23.779806,17.660981,24.481632,0,0,9.673110,9.290771,3,1,1,2
NGC2486,4501,4535,92.9,55.6,119.485417,25.160861,16.296888,25.117666,0,0,0.000000,0.000000,0,1,1,2
NGC2487,4709,4746,132.5,31.4,119.585417,25.149222,16.342600,25.199010,0,0,27.240496,217.561027,8,1,1,0
NGC2623,5398,5447,270.0,45.6,129.600417,25.754722,18.910365,33.981744,0,0,8.611570,130.244132,9,0,1,0
NGC2639,3144,3160,317.3,49.5,130.908750,50.205528,-11.058188,38.191488,0,0,17.364904,362.266233,3,0,1,0
NGC2730,3755,3779,260.8,27.7,135.565833,16.838278,31.440621,36.332975,0,0,24.180104,170.474286,0,1,1,0
NGC2880,1522,1526,142.9,49.9,142.394167,62.490556,-28.472851,41.770828,0,0,0.000000,0.000000,0,1,1,2
NGC2906,2105,2112,265.0,55.7,143.025833,8.441778,44.976993,39.411256,0,1,25.890864,168.522440,0,0,1,0
NGC2916,3639,3661,199.9,49.9,143.740000,21.705250,28.780642,45.228800,0,0,31.887295,117.999535,0,1,1,2
NGC2918,6472,6542,255.1,46.1,143.933333,31.705472,14.641707,47.495206,0,0,0.000000,0.000000,0,1,1,2
NGC3303,6153,6216,339.6,60.5,159.250417,18.135889,42.065030,57.822412,0,0,10.457802,120.831584,2,1,1,0
NGC3381,1606,1611,43.1,30.8,162.103333,34.711417,9.280380,62.675181,0,0,8.332414,131.560876,4,1,1,2
NGC3687,2460,2470,151.0,19.6,172.002500,29.511056,20.695324,71.518898,0,0,0.000000,0.000000,0,1,1,2
NGC3811,3061,3077,359.0,42.5,175.319167,47.690806,-27.979773,65.294161,0,0,12.052993,108.461581,22,0,1,0
NGC3815,3658,3680,67.8,59.9,175.413750,24.800500,37.539735,74.165150,0,0,12.940597,181.416153,2,1,1,0
NGC3994,3068,3084,188.1,59.5,179.403750,32.277611,5.966225,77.248938,0,0,13.624471,221.787245,2,1,1,0
NGC4047,3397,3416,105.0,42.1,180.711250,48.636194,-36.585552,66.522595,0,0,17.813147,216.394838,0,0,1,0
NGC4149,3037,3053,90.0,66.2,182.636667,58.304139,-46.870618,58.013549,0,0,13.137520,222.811647,8,0,1,0
NGC4185,3836,3860,344.4,48.2,183.342500,28.510972,21.460964,81.480899,0,0,13.927745,168.033999,14,1,1,0
NGC4210,2708,2720,277.7,40.9,183.815958,65.985333,-51.205190,50.734479,0,0,18.974907,194.406198,11,1,1,0
NGC4211NED02,6533,6604,25.0,30.0,183.905417,28.169611,23.449357,82.010611,0,0,5.591310,0.000000,1,1,0,0
NGC4470,2322,2331,359.5,47.5,187.407500,7.824194,107.039535,70.018375,0,0,21.544152,65.376574,0,1,1,2
NGC4644,4863,4902,57.0,72.9,190.677917,55.145528,-54.360939,61.938263,0,0,27.568791,231.207990,2,1,1,0
NGC4676A,6474,6544,182.3,50.0,191.542083,30.731917,-39.690276,86.219085,0,0,9.523910,192.283167,2,1,0,0
NGC4711,4015,4042,215.0,58.3,192.191250,35.332694,-53.240214,81.776394,0,0,20.047666,162.693824,6,0,1,0
NGC4961,2516,2527,90.0,46.6,196.448333,27.734139,44.566099,86.749435,0,0,11.785328,105.063843,0,0,1,0
NGC5000,5503,5553,1.3,20.0,197.447917,28.906944,57.730595,85.568862,0,0,19.982262,119.495070,0,1,1,0
NGC5016,2587,2598,57.4,39.9,198.027917,24.095000,1.131120,84.433065,0,0,16.192737,174.393798,4,1,1,0
NGC5056,5489,5539,178.0,61.4,199.051250,30.950306,69.657359,83.368693,0,0,21.778891,184.226644,1,0,1,0
NGC5205,1750,1755,169.0,49.8,202.515000,62.511556,115.416221,54.043860,0,0,24.056067,105.314414,4,1,1,2
NGC5218,2882,2896,240.0,30.1,203.043333,62.767722,115.131602,53.733309,0,0,23.022939,232.743760,9,0,1,0
NGC5394,3410,3429,164.3,70.2,209.638333,37.453639,73.330705,72.495479,0,0,23.924585,107.192482,3,1,1,0
NGC5406,5310,5357,111.4,45.0,210.083750,38.915417,76.688797,71.409999,0,0,34.533533,215.446995,1,1,1,0
NGC5480,1874,1880,178.0,41.5,211.590000,50.725056,96.924452,62.438870,0,0,23.755089,112.684043,0,0,2,0
NGC5485,1888,1894,174.5,47.2,211.797083,55.001639,101.862563,58.906593,0,0,0.000000,0.000000,0,1,1,2
NGC5520,1863,1869,245.1,59.1,213.095000,50.348417,94.824834,62.117951,0,0,17.859047,155.229768,0,0,1,0
NGC5614,3834,3859,280.0,35.9,216.031667,34.858861,60.019789,68.740698,0,0,15.977994,100.938244,18,0,1,0
NGC5633,2315,2324,16.9,41.9,216.868333,46.146583,84.397804,63.129063,0,0,18.502136,196.593644,3,1,1,0
NGC5657,3823,3847,344.0,68.3,217.681667,29.180833,44.203444,68.051174,0,0,15.341473,54.538127,1,1,1,0
NGC5682,2237,2246,125.6,76.3,218.687500,48.670222,87.078571,60.621170,0,0,0.000000,0.000000,0,1,1,2
NGC5732,3622,3644,43.2,58.4,220.162083,38.637833,66.723505,64.474512,0,0,13.147133,-8.809915,3,1,1,0
NGC5784,5370,5418,252.0,45.0,223.568333,42.557889,72.771928,60.689077,0,0,12.396920,356.791531,2,0,0,0
NGC5876,3198,3215,231.4,65.9,227.381667,54.506472,89.984334,52.839702,0,0,0.000000,0.000000,0,1,1,2
NGC5908,3281,3299,145.0,77.0,229.180000,55.409556,90.311521,51.482774,0,0,38.320228,366.278347,23,0,0,0
NGC5930,2626,2638,155.0,45.0,231.532917,41.676056,67.919750,55.296037,0,0,9.738806,261.476667,7,0,0,0
NGC5934,5518,5569,5.0,55.0,232.053333,42.929889,69.898361,54.639994,0,0,9.561298,303.992749,10,0,0,0
NGC5947,5742,5797,206.6,32.2,232.650000,42.716944,69.370346,54.262339,0,0,7.642723,76.620940,14,0,1,0
NGC5953,2016,2023,43.3,26.1,233.638733,15.200017,24.003043,50.337001,0,0,36.917789,353.819769,0,1,1,0
NGC5980,4036,4063,15.0,66.2,235.376667,15.787694,25.881847,49.043436,0,0,26.332925,219.923417,0,2,1,0
NGC6004,3788,3812,277.3,37.3,237.594583,18.939278,31.496895,48.235748,0,0,18.715715,158.057966,15,2,1,0
NGC6021,4603,4639,157.1,43.4,239.377917,15.956056,28.331935,45.567192,0,0,0.000000,0.000000,0,1,1,2
NGC6027,4307,4338,231.4,30.9,239.802083,20.763361,35.050433,46.861960,0,0,0.000000,0.000000,0,1,1,2
NGC6060,4374,4406,102.0,64.3,241.466667,21.484917,36.725549,45.601361,0,0,34.410010,257.282383,10,1,1,0
NGC6063,2805,2818,156.6,56.2,241.804167,7.979000,19.959317,39.945524,0,0,0.000000,0.000000,0,1,1,2
NGC6081,4949,4990,128.2,65.6,243.236667,9.867111,22.992775,39.583659,0,0,0.000000,0.000000,0,1,1,2
NGC6125,4488,4521,184.8,16.9,244.797917,57.984139,88.420326,42.645166,0,0,0.000000,0.000000,0,1,1,2
NGC6146,8271,8385,253.3,40.7,246.292917,40.892861,64.856494,44.365117,0,0,0.000000,0.000000,0,1,1,2
NGC6155,2401,2411,130.0,44.7,246.534583,48.366806,75.222363,43.707577,0,0,19.461556,125.947022,2,10,1,0
NGC6168,2533,2544,111.1,76.6,247.836667,20.185639,37.577235,39.540607,0,0,28.452475,84.553759,3,2,1,2
NGC6186,2922,2936,69.8,71.2,248.606250,21.540917,39.536619,39.290486,0,0,17.248627,101.375927,22,0,1,0
NGC6301,8118,8228,288.5,52.8,257.136250,42.339111,67.234623,36.337472,0,0,23.102188,252.742587,3,1,2,0
NGC6310,3484,3504,69.9,73.7,256.989583,60.990167,90.380910,35.946847,0,0,30.204813,295.744788,0,1,1,0
NGC6314,6485,6555,356.0,57.7,258.161250,23.270083,44.948812,31.442458,0,0,10.189847,256.922633,0,0,1,0
NGC6361,3767,3791,41.8,75.0,259.671250,60.608167,89.719743,34.695325,7,7,29.405790,242.171283,31,0,1,0
NGC6394,8293,8408,230.0,60.0,262.589167,59.639889,88.430961,33.314015,0,0,19.533756,307.665641,0,0,0,0
NGC6478,6460,6530,39.2,76.4,267.162925,51.160151,78.568650,30.403243,-20,20,35.894460,405.135381,16,0,0,0
NGC7738,6611,6684,244.7,65.6,356.008583,0.516628,89.901051,-57.959145,0,0,12.564711,136.800810,4,1,2,0
NGC7819,4870,4910,280.3,54.0,1.102083,31.472000,111.392356,-30.338284,0,0,10.844140,190.247022,1,0,1,0
UGC00809,4151,4179,23.6,78.9,18.965833,33.810694,-51.203127,-28.785468,0,0,14.728195,130.642008,5,1,1,0
UGC03253,4091,4119,267.7,58.3,79.924583,84.052611,-50.971240,24.683756,0,0,20.711614,273.708570,0,1,1,0
UGC03539,3258,3276,297.9,72.1,102.225000,66.261639,-30.761882,24.424738,0,0,15.653159,144.948401,10,1,1,0
UGC03969,7908,8012,134.3,70.0,115.309583,27.614056,12.392278,22.426519,0,0,12.424367,204.160026,11,1,1,0
UGC03973,6508,6579,143.8,39.1,115.636667,49.809667,-11.328286,28.388123,0,0,11.930617,153.493584,17,0,0,0
UGC04029,4340,4371,58.5,77.6,117.079167,34.332278,5.912395,25.964817,0,0,26.591385,169.195497,1,0,1,0
UGC04132,5084,5127,212.6,72.0,119.804167,32.914667,8.144204,27.751955,0,0,28.335170,231.524280,0,0,1,0
UGC04280,3465,3485,183.7,71.5,123.638750,54.799556,-16.632896,33.689211,0,0,0.000000,0.000000,3,1,1,0
UGC04461,4893,4933,215.8,70.1,128.344583,52.532278,-13.911058,36.508550,0,0,13.581462,128.693409,5,0,1,0
UGC05108,7893,7997,133.1,66.1,143.859583,29.812611,17.395630,47.172864,0,0,12.128889,294.749865,0,0,1,0
UGC05111,6583,6655,118.3,72.9,144.219167,66.788306,-34.069422,40.609663,0,0,29.953403,231.698311,0,0,1,0
UGC05244,2622,2633,32.8,77.9,147.199167,64.166917,-31.798847,42.961731,0,0,0.000000,0.000000,0,0,1,0
UGC05359,8227,8340,97.5,72.3,149.715000,19.214972,34.890306,49.760698,0,0,18.479164,218.542577,1,0,1,0
UGC05498NED01,6049,6110,241.8,90.0,153.015000,23.085444,30.390303,53.850523,0,0,0.000000,0.000000,0,0,1,2
UGC05598,5510,5561,215.6,74.8,155.558333,20.589417,35.686347,55.403306,0,0,16.035199,132.932262,0,1,0,0
UGC06312,6075,6137,229.6,68.7,169.500833,7.844889,69.755857,60.656145,0,0,0.000000,0.000000,0,1,1,2
UGC07012,3042,3057,182.1,60.5,180.512917,29.847972,16.021541,78.827384,0,0,8.793478,70.493480,0,0,1,0
UGC08107,8097,8206,233.2,71.4,194.915833,53.341167,120.211568,63.742405,2,-2,21.450950,311.644145,7,1,1,0
UGC08250,5096,5139,193.7,76.2,197.583750,32.483194,86.661757,83.253169,0,0,0.000000,0.000000,0,1,1,2
UGC08267,7064,7147,223.0,75.4,197.797083,43.726333,110.744303,72.928014,0,0,15.630249,210.242769,6,0,1,0
UGC09067,7641,7738,14.6,62.4,212.689167,15.209389,4.150142,68.043693,0,0,15.810188,209.871101,0,0,1,0
UGC09476,3206,3223,312.0,48.5,220.383333,44.512778,78.514212,61.938469,0,0,28.529355,70.413949,5,1,1,0
UGC09537,8546,8668,140.7,72.0,222.111250,34.998056,57.749328,63.838510,0,0,22.364521,213.614923,10,1,1,0
UGC09542,5364,5412,214.3,72.7,222.255000,42.463917,73.359044,61.619592,0,0,15.167865,132.728189,9,1,0,0
UGC09665,2551,2562,118.2,74.0,225.385417,48.319694,81.837936,57.087134,0,0,17.599033,104.822746,12,0,1,0
UGC09759,3373,3392,54.7,66.8,227.671250,55.349278,90.986321,52.234232,0,0,14.765946,172.156504,4,0,1,0
UGC09873,5528,5579,126.0,75.3,232.460833,42.628917,69.275809,54.417437,0,0,14.987220,82.378056,0,1,1,0
UGC09892,5568,5620,101.0,72.2,233.216250,41.191472,66.670846,54.152627,0,0,13.244418,120.970904,4,1,1,0
UGC09919,3126,3142,349.2,77.9,233.915417,12.606389,20.573274,48.969313,0,0,14.515529,78.753392,4,0,1,0
UGC10043,2083,2090,341.8,75.2,237.172500,21.869750,35.541013,49.529878,0,0,26.096726,153.920068,4,0,1,0
UGC10123,3710,3733,232.6,70.0,239.762500,51.304694,80.592490,47.389554,0,0,18.994394,211.705058,1,0,0,0
UGC10205,6453,6522,118.6,51.7,241.667500,30.099056,48.988120,47.364407,0,0,13.994024,261.977222,8,0,1,0
UGC10331,4419,4451,140.8,76.2,244.337917,59.320139,90.243170,42.448348,0,0,0.000000,0.000000,0,1,1,2
UGC10380,8536,8658,288.2,77.9,246.457917,16.576056,32.599451,39.507496,0,0,20.876041,317.014874,0,1,1,0
UGC10384,4886,4926,277.8,70.0,246.694583,11.580278,26.874480,37.295018,0,0,16.556472,187.022395,5,0,0,0
UGC10710,8112,8222,329.5,69.6,256.718750,43.122222,68.171643,36.712073,0,0,13.856702,238.113691,6,2,1,0
