# %ECSV 1.0
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy name}
# - {name: bbRactr, unit: deg, datatype: float64, format: .4f, description: R.A. J2000 of center used by Bbarolo}
# - {name: bbDectr, unit: deg, datatype: float64, format: .4f, description: Dec. J2000 of center used by Bbarolo}
# - {name: bbVsys, unit: km / s, datatype: float64, format: .2f, description: Systemic velocity determined by Bbarolo (radio-LSR)}
# - {name: bbKinInc, unit: deg, datatype: float64, format: .2f, description: Inclination determined by Bbarolo}
# - {name: bbKinPA, unit: deg, datatype: float64, format: .2f, description: Position angle E from N determined by Bbarolo}
# - {name: bbMask, datatype: string, description: Identifier for cube mask}
# delimiter: ','
# meta: !!omap
# - {date: '2024-08-06'}
# - {comments: Global fit parameters from Bbarolo on natv CO data}
# schema: astropy-2.0
Name,bbRactr,bbDectr,bbVsys,bbKinInc,bbKinPA,bbMask
IC0480,118.8468361883717,26.742580555499863,4555.566,84.87,349.404,de10_natv_dil
IC0944,207.87861310236156,14.092104722156911,6842.07,63.707,283.278,de10_natv_dil
IC1199,242.64308395118312,10.04041666661575,4669.209,72.01,162.743,de10_natv_dil
IC1683,20.66191661580067,34.43699999987153,4785.389,66.401,196.989,de10_natv_dil
IC2247,123.99599069936112,23.19946055532625,4222.157,86.503,151.459,de10_natv_dil
IC2487,142.5383099666854,20.090911111079194,4279.296,79.821,345.025,de10_natv_dil
IC4566,234.17566932606363,43.53933583326173,5497.531,50.164,324.389,de10_natv_dil
NGC0447,18.90666600376723,33.06763888890582,5499.657,13.841,48.082,de10_natv_dil
NGC0477,20.334815850515703,40.488214720680645,5765.357,71.011,322.958,de10_natv_dil
NGC0496,20.798330001051717,33.52917000001808,5897.545,70.301,219.044,de10_natv_dil
NGC0523,21.33636998691827,34.02493999989712,4747.247,76.459,102.038,de10_natv_dil
NGC0551,21.919415955661123,37.182888888602356,5107.126,68.409,136.701,de10_natv_dil
NGC2253,100.92420906034414,65.20624999997868,3521.74,42.806,120.202,de10_natv_dil
NGC2347,109.01737529630059,64.71097972188808,4356.132,44.513,9.636,de10_natv_dil
NGC2410,113.75944185878326,32.82212916657667,4599.689,76.082,36.391,de10_natv_dil
NGC2487,119.58529514744211,25.149211666594464,4754.463,35.368,299.665,de10_natv_dil
NGC2639,130.9085803045471,50.205532777676616,3156.371,42.842,133.556,de10_natv_dil
NGC2906,143.02593751734776,8.441809166656336,2121.034,54.307,81.035,de10_natv_dil
NGC2916,143.7399718962994,21.70524583333082,3679.767,46.857,20.618,de10_natv_dil
NGC3811,175.31933709779742,47.690832777697096,3069.044,42.22,175.215,de10_natv_dil
NGC3815,175.41376499394656,24.800504444443877,3668.181,59.871,252.042,de10_natv_dil
NGC3994,179.40361660937174,32.27766638880978,3085.659,58.515,6.309,de10_natv_dil
NGC4047,180.7111066633822,48.63621611097856,3404.168,41.31,285.413,de10_natv_dil
NGC4149,182.6370573630009,58.30377249940164,3040.847,84.135,266.033,de10_natv_dil
NGC4185,183.3425518427479,28.510969166634492,3843.036,47.901,166.118,de10_natv_dil
NGC4210,183.8160149847158,65.98535499995708,2708.8,45.221,99.401,de10_natv_dil
NGC4211NED02,183.90546141124784,28.169673611095106,6542.7,51.005,205.281,de10_natv_dil
NGC4644,190.67775286640602,55.14550249991146,4876.295,67.516,239.746,de10_natv_dil
NGC4676A,191.54205748019754,30.731968333366073,6476.816,57.964,3.558,de10_natv_dil
NGC4711,192.1910896271948,35.33271527762824,4050.243,57.022,41.919,de10_natv_dil
NGC4961,196.44830854029715,27.734064722228286,2519.953,38.37,280.865,de10_natv_dil
NGC5000,197.44786208918373,28.90686888883056,5522.413,37.877,197.922,de10_natv_dil
NGC5016,198.02784759299405,24.09503361109687,2593.973,44.001,238.017,de10_natv_dil
NGC5056,199.05134684499617,30.950346388898804,5496.784,60.648,358.962,de10_natv_dil
NGC5218,203.04332422749368,62.76774305553384,2879.785,50.008,51.884,de10_natv_dil
NGC5406,210.08381854532297,38.915428333347066,5295.001,44.808,293.235,de10_natv_dil
NGC5480,211.5899236490569,50.725103888910255,1886.651,40.921,7.251,de10_natv_dil
NGC5520,213.09505484887535,50.34844611113267,1876.96,61.977,65.799,de10_natv_dil
NGC5614,216.03161995108024,34.85885194442405,3847.771,35.208,91.128,de10_natv_dil
NGC5633,216.8682030275307,46.14652388877926,2327.768,49.623,198.117,de10_natv_dil
NGC5657,217.68170834547666,29.180754444401654,3843.742,68.511,171.199,de10_natv_dil
NGC5784,223.56853961272395,42.557903055382205,5391.603,25.205,73.75,de10_natv_dil
NGC5908,229.17997944949704,55.40950861115203,3295.219,63.289,330.403,de10_natv_dil
NGC5930,231.53308216232278,41.67606027770372,2629.177,67.325,334.097,de10_natv_dil
NGC5934,232.05318461574026,42.929919722138266,5522.375,64.592,184.086,de10_natv_dil
NGC5953,233.63497497232407,15.19379333337288,1997.7,41.784,230.975,de10_natv_dil
NGC5980,235.37673739049333,15.787676388832335,4049.528,73.985,194.635,de10_natv_dil
NGC6004,237.59465851417778,18.939246666672574,3800.825,38.453,94.627,de10_natv_dil
NGC6060,241.46660397762514,21.484933055577823,4397.926,58.515,282.644,de10_natv_dil
NGC6155,246.5347501604089,48.36680999992401,2412.479,51.072,313.11,de10_natv_dil
NGC6186,248.6062123718934,21.540886666694636,2938.797,66.722,248.819,de10_natv_dil
NGC6301,257.13639317805143,42.33899194433972,8138.937,56.491,107.944,de10_natv_dil
NGC6314,258.16130714891955,23.27011444440195,6517.328,62.219,177.483,de10_natv_dil
NGC6361,259.67129527938374,60.608128055579755,3782.007,78.172,226.058,de10_natv_dil
NGC6394,262.58926779039416,59.639891666638974,8313.159,70.228,60.471,de10_natv_dil
NGC6478,267.1597501506194,51.15722222215877,6636.294,74.568,212.122,de10_natv_dil
NGC7738,356.0085286085501,0.5167413888932062,6613.192,61.689,54.781,de10_natv_dil
NGC7819,1.1020409938789266,31.47202777777189,4870.187,58.178,94.361,de10_natv_dil
UGC03539,102.22453216733108,66.2613349992957,3265.557,88.0,127.764,de10_natv_dil
UGC03969,115.30970089071666,27.614091944440755,7915.699,77.837,313.964,de10_natv_dil
UGC03973,115.63667011054852,49.80964000003227,6513.814,35.963,322.314,de10_natv_dil
UGC04029,117.07916094850975,34.3322150000197,4361.28,84.924,241.671,de10_natv_dil
UGC04132,119.80421696275872,32.91487555558679,5104.326,74.468,30.941,de10_natv_dil
UGC04461,128.3444353831481,52.53228805548594,4901.909,74.824,45.203,de10_natv_dil
UGC05108,143.85954747648802,29.81263388887381,7905.616,70.287,318.392,de10_natv_dil
UGC05111,144.21865780914877,66.78834583256082,6599.158,85.541,296.8,de10_natv_dil
UGC05598,155.55845261914732,20.589437499993263,5528.688,76.619,37.945,de10_natv_dil
UGC08107,194.91557837466692,53.34127027754337,8136.941,65.143,40.579,de10_natv_dil
UGC08267,197.79711754357177,43.72640777774217,7082.326,77.951,44.521,de10_natv_dil
UGC09067,212.68942056001745,15.209413610980747,7648.376,66.204,195.947,de10_natv_dil
UGC09537,222.11149211454207,34.99805305535957,8632.422,84.107,316.347,de10_natv_dil
UGC09542,222.25499397528586,42.46395916670148,5374.027,74.666,37.586,de10_natv_dil
UGC09665,225.38524330976992,48.319788055384436,2559.811,81.055,316.843,de10_natv_dil
UGC09759,227.6708567093068,55.3498166660781,3384.364,61.054,229.334,de10_natv_dil
UGC10043,237.17171009953648,21.86938999810401,2156.71,87.41,147.362,de10_natv_dil
UGC10123,239.76232982652087,51.30466999983131,3728.803,83.571,52.251,de10_natv_dil
UGC10205,241.66741363191744,30.099000277791863,6415.187,56.335,310.091,de10_natv_dil
UGC10384,246.6945164153005,11.580243333346575,4900.746,80.702,96.959,de10_natv_dil
UGC10710,256.7187480971468,43.12214833330829,8128.849,77.969,151.833,de10_natv_dil
