# %ECSV 1.0
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy name}
# - {name: bbRactr, unit: deg, datatype: float64, format: .4f, description: R.A. J2000 of center used by Bbarolo}
# - {name: bbDectr, unit: deg, datatype: float64, format: .4f, description: Dec. J2000 of center used by Bbarolo}
# - {name: bbVsys, unit: km / s, datatype: float64, format: .2f, description: Systemic velocity determined by Bbarolo (radio-LSR)}
# - {name: bbKinInc, unit: deg, datatype: float64, format: .2f, description: Inclination determined by Bbarolo}
# - {name: bbKinPA, unit: deg, datatype: float64, format: .2f, description: Position angle E from N determined by Bbarolo}
# - {name: bbMask, datatype: string, description: Identifier for cube mask}
# delimiter: ','
# meta: !!omap
# - {date: '2024-08-06'}
# - {comments: Global fit parameters from Bbarolo on smo7 CO data}
# schema: astropy-2.0
Name,bbRactr,bbDectr,bbVsys,bbKinInc,bbKinPA,bbMask
IC0480,118.8468361883717,26.742580555499863,4551.514,84.87,351.429,de10_smo7_dil
IC0944,207.87861310236156,14.092104722156911,6841.703,63.707,281.899,de10_smo7_dil
IC1199,242.64308395118312,10.04041666661575,4665.568,72.01,162.578,de10_smo7_dil
IC1683,20.66191661580067,34.43699999987153,4785.342,66.401,197.075,de10_smo7_dil
IC2247,123.99599069936112,23.19946055532625,4222.534,86.503,150.867,de10_smo7_dil
IC2487,142.5383099666854,20.090911111079194,4280.511,79.821,346.26,de10_smo7_dil
IC4566,234.17566932606363,43.53933583326173,5496.337,50.164,325.639,de10_smo7_dil
NGC0447,18.90666600376723,33.06763888890582,5519.673,13.841,46.594,de10_smo7_dil
NGC0477,20.334815850515703,40.488214720680645,5767.429,71.011,319.513,de10_smo7_dil
NGC0496,20.798330001051717,33.52917000001808,5894.09,70.301,218.743,de10_smo7_dil
NGC0523,21.33636998691827,34.02493999989712,4729.457,76.459,101.448,de10_smo7_dil
NGC0551,21.919415955661123,37.182888888602356,5097.281,68.409,136.92,de10_smo7_dil
NGC2253,100.92420906034414,65.20624999997868,3521.365,42.806,120.547,de10_smo7_dil
NGC2347,109.01737529630059,64.71097972188808,4356.172,44.513,12.073,de10_smo7_dil
NGC2410,113.75944185878326,32.82212916657667,4600.714,76.082,35.853,de10_smo7_dil
NGC2487,119.58529514744211,25.149211666594464,4759.151,35.368,296.249,de10_smo7_dil
NGC2639,130.9085803045471,50.205532777676616,3155.221,42.842,134.104,de10_smo7_dil
NGC2906,143.02593751734776,8.441809166656336,2124.257,54.307,79.962,de10_smo7_dil
NGC2916,143.7399718962994,21.70524583333082,3679.002,46.857,20.115,de10_smo7_dil
NGC3811,175.31933709779742,47.690832777697096,3066.347,42.22,173.974,de10_smo7_dil
NGC3815,175.41376499394656,24.800504444443877,3663.807,59.871,251.19,de10_smo7_dil
NGC3994,179.40361660937174,32.27766638880978,3085.705,58.515,7.897,de10_smo7_dil
NGC4047,180.7111066633822,48.63621611097856,3403.201,41.31,283.987,de10_smo7_dil
NGC4149,182.6370573630009,58.30377249940164,3039.185,84.135,267.461,de10_smo7_dil
NGC4185,183.3425518427479,28.510969166634492,3848.343,47.901,171.625,de10_smo7_dil
NGC4210,183.8160149847158,65.98535499995708,2713.568,45.221,99.426,de10_smo7_dil
NGC4211NED02,183.90546141124784,28.169673611095106,6548.002,51.005,204.057,de10_smo7_dil
NGC4644,190.67775286640602,55.14550249991146,4872.89,67.516,240.564,de10_smo7_dil
NGC4676A,191.54205748019754,30.731968333366073,6482.308,57.964,5.167,de10_smo7_dil
NGC4711,192.1910896271948,35.33271527762824,4020.63,57.022,42.534,de10_smo7_dil
NGC4961,196.44830854029715,27.734064722228286,2522.477,38.37,282.039,de10_smo7_dil
NGC5000,197.44786208918373,28.90686888883056,5518.141,37.877,212.033,de10_smo7_dil
NGC5016,198.02784759299405,24.09503361109687,2594.775,44.001,239.476,de10_smo7_dil
NGC5056,199.05134684499617,30.950346388898804,5494.65,60.648,358.149,de10_smo7_dil
NGC5218,203.04332422749368,62.76774305553384,2894.021,50.008,48.464,de10_smo7_dil
NGC5406,210.08381854532297,38.915428333347066,5285.024,44.808,290.115,de10_smo7_dil
NGC5480,211.5899236490569,50.725103888910255,1888.344,40.921,3.785,de10_smo7_dil
NGC5520,213.09505484887535,50.34844611113267,1877.678,61.977,65.599,de10_smo7_dil
NGC5614,216.03161995108024,34.85885194442405,3849.078,35.208,88.815,de10_smo7_dil
NGC5633,216.8682030275307,46.14652388877926,2324.354,49.623,199.399,de10_smo7_dil
NGC5657,217.68170834547666,29.180754444401654,3843.155,68.511,171.461,de10_smo7_dil
NGC5784,223.56853961272395,42.557903055382205,5392.352,25.205,76.445,de10_smo7_dil
NGC5908,229.17997944949704,55.40950861115203,3290.906,63.289,329.259,de10_smo7_dil
NGC5930,231.53308216232278,41.67606027770372,2639.428,67.325,332.882,de10_smo7_dil
NGC5934,232.05318461574026,42.929919722138266,5529.613,64.592,183.849,de10_smo7_dil
NGC5953,233.63497497232407,15.19379333337288,1997.623,41.784,231.404,de10_smo7_dil
NGC5980,235.37673739049333,15.787676388832335,4049.682,73.985,195.363,de10_smo7_dil
NGC6004,237.59465851417778,18.939246666672574,3798.822,38.453,95.997,de10_smo7_dil
NGC6060,241.46660397762514,21.484933055577823,4395.785,58.515,280.273,de10_smo7_dil
NGC6155,246.5347501604089,48.36680999992401,2412.79,51.072,311.943,de10_smo7_dil
NGC6186,248.6062123718934,21.540886666694636,2938.368,66.722,247.796,de10_smo7_dil
NGC6301,257.13639317805143,42.33899194433972,8137.021,56.491,112.182,de10_smo7_dil
NGC6314,258.16130714891955,23.27011444440195,6507.713,62.219,178.39,de10_smo7_dil
NGC6361,259.67129527938374,60.608128055579755,3781.662,78.172,225.226,de10_smo7_dil
NGC6394,262.58926779039416,59.639891666638974,8312.531,70.228,61.014,de10_smo7_dil
NGC6478,267.1597501506194,51.15722222215877,6636.0,74.568,212.737,de10_smo7_dil
NGC7738,356.0085286085501,0.5167413888932062,6607.849,61.689,55.485,de10_smo7_dil
NGC7819,1.1020409938789266,31.47202777777189,4875.615,58.178,93.426,de10_smo7_dil
UGC03539,102.22453216733108,66.2613349992957,3262.607,88.0,125.667,de10_smo7_dil
UGC03969,115.30970089071666,27.614091944440755,7909.892,77.837,314.733,de10_smo7_dil
UGC03973,115.63667011054852,49.80964000003227,6510.33,35.963,324.441,de10_smo7_dil
UGC04029,117.07916094850975,34.3322150000197,4391.81,84.924,244.084,de10_smo7_dil
UGC04132,119.80421696275872,32.91487555558679,5099.653,74.468,30.341,de10_smo7_dil
UGC04461,128.3444353831481,52.53228805548594,4902.068,74.824,42.881,de10_smo7_dil
UGC05108,143.85954747648802,29.81263388887381,7905.656,70.287,315.405,de10_smo7_dil
UGC05111,144.21865780914877,66.78834583256082,6592.4,85.541,297.461,de10_smo7_dil
UGC05598,155.55845261914732,20.589437499993263,5527.969,76.619,37.489,de10_smo7_dil
UGC08107,194.91557837466692,53.34127027754337,8101.113,65.143,49.798,de10_smo7_dil
UGC08267,197.79711754357177,43.72640777774217,7081.955,77.951,46.712,de10_smo7_dil
UGC09067,212.68942056001745,15.209413610980747,7646.347,66.204,195.825,de10_smo7_dil
UGC09537,222.11149211454207,34.99805305535957,8559.748,84.107,316.574,de10_smo7_dil
UGC09542,222.25499397528586,42.46395916670148,5374.353,74.666,36.066,de10_smo7_dil
UGC09665,225.38524330976992,48.319788055384436,2564.046,81.055,317.663,de10_smo7_dil
UGC09759,227.6708567093068,55.3498166660781,3384.726,61.054,231.857,de10_smo7_dil
UGC10043,237.17171009953648,21.86938999810401,2158.148,87.41,146.609,de10_smo7_dil
UGC10123,239.76232982652087,51.30466999983131,3728.52,83.571,58.509,de10_smo7_dil
UGC10205,241.66741363191744,30.099000277791863,6447.247,56.335,307.289,de10_smo7_dil
UGC10384,246.6945164153005,11.580243333346575,4896.271,80.702,99.18,de10_smo7_dil
UGC10710,256.7187480971468,43.12214833330829,8129.216,77.969,151.276,de10_smo7_dil
