# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: standard EDGE-CALIFA galaxy name}
# - {name: rfVsys, unit: km / s, datatype: float64, description: 'CO relativistic helocentric vsys (km/s); see VsysFlag for how this was
#     derived '}
# - {name: rfVsysFlag, datatype: int64, description: how is Vsys derived; 0=CO kinematics; 1=Ha kinematics; 3=LEDA}
# - {name: rfLSRK2helio, unit: km / s, datatype: float64, description: conversion from LSRK velocity to heliocentric velocity (km/s);
#     V(helio)=V(LSRK)-LSRK2helio}
# - {name: rfRflat, unit: arcsec, datatype: float64, description: the radius (arcsec) at which the rotation curve flattens from the Lelli+16
#     algorithm}
# - {name: rfVrotMaxL, unit: km / s, datatype: float64, description: the maximum CO rotation velocity (relativistic km/s) from the Lelli+2016
#     algorithm}
# - {name: rfeVrotMaxL, unit: km / s, datatype: float64, description: the error in rfVrotMaxL from the Lelli+2016 algorithm}
# - {name: rfVrotMaxLFlag, datatype: int64, description: 0 = either rfeVrotMaxL\rfVrotMaxL > 10% rfeVrotMaxL>rfVrotMaxL rfeVrotmaxL=0
#     so rfRflat rfVrotMaxL and rfeVrotMaxL values are unreliable; 1 = rfRflat rfVrotMaxL and rfeVrotMaxL values are reliable}
# - {name: rfVrotMax, unit: km / s, datatype: float64, description: the maximum CO rotation velocity (relativistic km/s) using median
#     Vrot at radii larger than 12 arcsec as used in Levy+18}
# - {name: rfeVrotMax, unit: km / s, datatype: float64, description: the error in rfVrotMax using standard deviation of Vrot at radii
#     larger than 12 arcsec as used in Levy+18}
# - {name: rfPA, unit: deg, datatype: float64, description: position angle (degrees) ranging from 0-365 degrees defined counterclockwise
#     from North to receding side of major axis; see PAFlag for how this was derived; please note that Levy+2018 defined the PA from the
#     approaching side so these values differ by 180deg}
# - {name: rfPAFlag, datatype: int64, description: this describes where the PA listed is from; 0=CO kinematics; 1=Ha kinematics; 2=outer
#     optical isophotes; 3=LEDA}
# - {name: rfInc, unit: deg, datatype: float64, description: inclination (degrees); see IncFlag for how this was derived}
# - {name: rfIncFlag, datatype: int64, description: this describes where the inclination listed is from; 0=CO kinematics; 1=Ha kinematics;
#     2=outer optical isophotes; 3=LEDA}
# - {name: rfKinXoff, unit: arcsec, datatype: float64, description: offset of CO kinematic center from ledaRA (arcsec); RA=ledaRA-xoff}
# - {name: rfKinYoff, unit: arcsec, datatype: float64, description: offset of CO kinematic center from ledaDec (arcsec); Dec=ledaDE-yoff}
# - {name: rfKinRA, unit: hourangle, datatype: float64, description: RA of kinematic center including rfKinXoff (J2000 hours); rfKinRA=ledaRA-rfKinXoff}
# - {name: rfKinDecl, unit: deg, datatype: float64, description: Decl of kinematic center including rfKinYoff (J2000 degrees); rfKinDecl=ledaDE-rfKinYoff}
# delimiter: ','
# meta: !!omap
# - {date: '2022-01-14'}
# schema: astropy-2.0
Name,rfVsys,rfVsysFlag,rfLSRK2helio,rfRflat,rfVrotMaxL,rfeVrotMaxL,rfVrotMaxLFlag,rfVrotMax,rfeVrotMax,rfPA,rfPAFlag,rfInc,rfIncFlag,rfKinXoff,rfKinYoff,rfKinRA,rfKinDecl
IC0480,4595.0,0,1.13,20.2,179.8,9.4,1,165.3,28.0,347.9,2,76.6,2,-1.6,-1.0,7.92313853,26.74309458
IC0540,2022.0,0,-1.94,nan,0.0,0.0,0,0.0,0.0,170.0,2,68.3,2,0.0,0.0,9.5028553,7.9025896
IC0944,6907.0,0,-2.1,29.6,280.3,13.4,1,280.4,18.8,285.7,2,75.0,0,0.0,0.0,13.8585759,14.0919749
IC1151,2192.0,0,-2.09,nan,0.0,0.0,0,0.0,0.0,23.9,0,68.0,2,0.0,0.0,15.9756507,17.441482
IC1199,4686.0,0,-3.25,13.9,197.1,11.3,1,199.0,5.7,159.3,0,64.5,2,0.6,1.1,16.17618889,10.03976384
IC1683,4820.0,0,3.56,nan,0.0,0.0,0,0.0,0.0,195.6,2,54.8,0,0.0,0.0,1.3774611,34.437
IC2247,4254.0,0,0.54,17.0,187.3,8.9,1,183.0,12.1,148.5,2,77.7,2,1.0,-1.0,8.26639198,23.19987928
IC2487,4310.0,0,-0.19,22.4,170.8,8.6,1,170.1,9.7,342.9,2,77.9,2,0.0,0.0,9.5025551,20.0909016
IC4566,5537.0,0,2.05,14.2,214.0,16.7,1,215.9,2.9,325.0,0,53.9,2,0.0,0.0,15.6117111,43.5393541
IC5376,4979.0,0,3.86,19.3,208.0,12.1,1,207.1,11.8,183.4,2,71.6,2,0.0,0.0,0.0221556,34.5257222
NGC0444,4776.0,1,3.17,nan,0.0,0.0,0,0.0,0.0,338.7,2,74.9,2,0.0,0.0,1.2637897,31.0802132
NGC0447,5552.0,0,3.42,nan,0.0,0.0,0,0.0,0.0,47.0,0,29.1,2,0.8,0.8,1.26042959,33.06741668
NGC0477,5796.0,0,4.28,17.1,209.1,13.0,1,200.3,16.5,320.0,0,60.0,2,0.0,0.0,1.3556544,40.4882148
NGC0496,5958.0,0,3.45,13.8,148.3,7.6,1,148.3,15.5,216.5,0,57.0,2,-0.4,1.6,1.38654321,33.52842756
NGC0523,4760.0,0,3.5,30.5,265.1,11.0,1,233.1,44.3,97.2,0,71.6,2,0.0,0.0,1.422441,34.0249907
NGC0528,4638.0,1,3.46,nan,0.0,0.0,0,0.0,0.0,237.7,2,61.1,2,-3.0,1.8,1.42604876,33.6709722
NGC0551,5141.0,0,3.87,20.7,188.8,11.0,1,179.5,12.9,135.0,0,64.2,2,0.0,0.0,1.4612944,37.1828889
NGC1167,4797.0,0,3.31,nan,0.0,0.0,0,0.0,0.0,267.5,0,39.5,2,-6.5,3.5,3.02855547,35.20475798
NGC2253,3545.0,0,6.05,22.1,180.1,10.1,1,174.2,7.9,120.0,0,47.4,2,0.0,0.0,6.7282806,65.20625
NGC2347,4387.0,0,5.94,12.5,282.0,14.5,1,285.6,2.0,9.1,2,50.2,2,2.5,1.9,7.2677078,64.71025802
NGC2410,4642.0,0,2.05,15.0,229.7,11.5,1,227.2,5.9,36.6,0,71.6,2,0.0,0.0,7.5839632,32.822139
NGC2480,2287.0,0,0.7,nan,0.0,0.0,0,0.0,0.0,163.1,0,55.4,2,0.0,0.0,7.952896,23.7797588
