Name,ID
ARP220,802
IC0480,159
IC0540,274
IC0944,663
IC1151,817
IC1199,824
IC1683,43
IC2247,186
IC2487,273
IC4566,807
IC5376,1
NGC0444,39
NGC0447,38
NGC0477,42
NGC0496,45
NGC0523,48
NGC0528,50
NGC0551,52
NGC1167,119
NGC2253,147
NGC2347,149
NGC2410,151
NGC2480,161
NGC2486,163
NGC2487,164
NGC2623,213
NGC2639,219
NGC2730,232
NGC2880,272
NGC2906,275
NGC2916,277
NGC2918,279
NGC3303,340
NGC3381,353
NGC3687,414
NGC3811,436
NGC3815,437
NGC3994,476
NGC4047,489
NGC4149,502
NGC4185,515
NGC4210,518
NGC4211NED02,520
NGC4470,548
NGC4644,569
NGC4676A,577
NGC4711,580
NGC4961,603
NGC5000,608
NGC5016,611
NGC5056,614
NGC5205,630
NGC5218,634
NGC5394,680
NGC5406,684
NGC5480,707
NGC5485,708
NGC5520,715
NGC5614,740
NGC5633,748
NGC5657,754
NGC5682,758
NGC5732,768
NGC5784,778
NGC5876,787
NGC5908,791
NGC5930,795
NGC5934,796
NGC5947,938
NGC5953,801
NGC5980,810
NGC6004,813
NGC6021,816
NGC6027,819
NGC6060,821
NGC6063,823
NGC6081,826
NGC6125,829
NGC6146,832
NGC6155,836
NGC6168,841
NGC6186,842
NGC6301,849
NGC6310,848
NGC6314,850
NGC6361,853
NGC6394,857
NGC6478,862
NGC7738,927
NGC7819,3
UGC00809,40
UGC03253,146
UGC03539,148
UGC03969,153
UGC03973,154
UGC04029,157
UGC04132,165
UGC04280,185
UGC04461,208
UGC05108,278
UGC05111,280
UGC05244,297
UGC05359,307
UGC05498NED01,314
UGC05598,326
UGC06312,386
UGC07012,486
UGC08107,593
UGC08250,609
UGC08267,610
UGC09067,714
UGC09476,769
UGC09537,774
UGC09542,775
UGC09665,783
UGC09759,788
UGC09873,797
UGC09892,798
UGC09919,805
UGC10043,811
UGC10123,818
UGC10205,822
UGC10331,828
UGC10380,834
UGC10384,837
UGC10710,847
