Name, ledaRA, ledaDE, ledaA_Bgal, ledaType, ledaMorph, ledaD25, ledaAxRatio, ledaPA, ledaIncl, ledaVrad, ledaVmaxg, ledaVrot, ledaBar, ledaRing, ledaMultiple, ledaBt, ledaIt, ledaMfir, ledaM21, ledaVvir, ledaModz, ledaDistMpc, W1, eW1, W2, eW2, W3, eW3, W4, eW4, coNomask, coeNomask, coDilated, coeDilated, coSmooth, coeSmooth, coMask2d, coeMask2d, coNomaskDv, coSmoothDv, coBmaj, coBmin, coBpa, coDvhel, nsaZdist, nsaAu, nsaAg, nsaAr, nsaAi, nsaAz, caMass, caeMass, caSFR, caeSFR, caOH, caeOH, caAvgas, caeAvgas, caAvstars, caeAvstars, Su, Sg, Sr, Si, caB, caV, caR, caRe, caeRe, caEllipticity, caPA, caR50, caeR50, caR90, caeR90, caOH_O3N2, caZgas, caZstars, caAge, caeAge, caFHa, caFHacorr, caLHacorr, caMstars, caDistMpc, coMmol, coeMmol, W1lum, W2lum, W3lum, W4lum, W4SFR, coVsys, coVsysFlag, coVrotmax, coeVrotmax, coRflat, coPA, coPAFlag, coInc, coIncFlag, coKinXoff, coKinYoff, coScaleMol, coeScaleMol, coScaleMolHi, coScaleMolLo, coNormMol, coeNormMol, coScaleSt, coeScaleSt, coNormSt, coeNormSt, coR50Mol, coeR50Mol, coR50St, coeR50St, coScaleSFR, coeScaleSFR, coObstime, coNptng, coRMS10mJybm, coRMS10mK, coTpeakmK, coNbeamsDet5, coNbeamsDet3
ARP220, 15.58258670, 23.50266820, 0.22000000, 9.30000000, Sm, 1.10662378, 1.54525444, 96.46, 56.98000000, 5420, 147.44, 175.83, , , , 13.94800000, NaN, 8.283, 14.244, 5612.60000000, 34.55300000, 81.39542591, 9.49600000, 15.01000000, 9.02000000, 14.27800000, 4.55900000, 11.26100000, 0.57600000, 6.80200000, 374.80000000, 14.96000000, 466.56, 3.36, 455.96, 5.15, 457.04, 10.34, 1600.00000000, 900, 4.48000026, 3.87000013, 71.80000305, -16.61300087, 0.0188555, 0.420428, 0.414849, 0.261436, 0.192362, 0.139517, 10.9099, 0.0872049, 1.57499, 0.180915, NaN, NaN, 5.3402, 0.700156, 0.401422, 1.76844, 15.47276630, 14.11019518, 13.42762456, 13.10010398, 14.38819190, 13.74703758, 13.35812670, 22.57252232, 22.57252232, 0.55050123, 12.60185186, 19.64453910, 0.41902297, 41.53416839, 0.00725311, NaN, 0.01793838, 0.01800146, 8.95270263, 0.40709788, 3.09833195, 4.88371559, 42.67841756, 11.11613730, 77.97227561, 5.24661e+09, 5.92596e+07, 3.18025e+43, 1.99364e+43, 9.27533e+43, 4.8312e+44, 101.45519809, 5247.00000000, 0.00000000, 0, 48.2, 18.2, 337.70000000, 2.00000000, 29.70000000, 2.00000000, 0.00000000, 0.00000000, 1.59, 0.69, 1.81, 1.25, 991.09, 3.48, 2.55, 0.2, 2314.26, 1.27, 1.34, 0.23, 3.23, 0.07, 1.24, 0.79, 4.00000000, 7.00000000, 7.90000000, 41.80000000, 3472.00000000, 13.03126448, 21.48122504
IC0480, 7.92310890, 26.74281680, 0.18300000, 4.00000000, Sbc, 1.74984669, 5.33334895, 167.01, 90.00000000, 4626.8, 152.52, 152.52, , , , 14.93800000, 13.29, 12.117, 15.527, 4641.80000000, 34.15100000, 67.63943948, 10.32000000, 15.42300000, 10.04800000, 14.78900000, 6.22800000, 12.08800000, 4.46200000, 8.74400000, 49.94000000, 14.82000000, 81.05, 2.44, 78.06, 4.38, 73.8, 9.16, 860.00000000, 420, 4.88000060, 3.93000031, 42.79999924, 9.20928955, 0.0170385, 0.349359, 0.344723, 0.217243, 0.159845, 0.115933, 10.2656, 0.134175, 0.113128, 0.10015, 8.48813, 0.0458044, 1.28283, 0.0682296, 0.401506, 1.33692, 16.11139949, 15.05101970, 14.47673959, 14.17375345, 15.26121259, 14.76638769, 14.41251353, 20.20523629, 20.20523629, 0.98072158, -12.39856666, 20.62375599, 0.46026049, 42.91970841, 0.16740285, 8.48941, 0.01528139, 0.01527649, 8.75405618, 0.40396314, 3.11992931, 3.26047552, 40.94567316, 10.39968968, 66.28591010, 3.5471e+09, 1.9903e+08, 1.07603e+43, 5.58996e+42, 1.44109e+43, 9.7413e+42, 2.04567356, 4595.00000000, 0.00000000, 167.7, 7.8, 20.6, 167.90000000, 2.00000000, 76.60000000, 2.00000000, 0.00000000, 0.00000000, 2.23, 0.19, 2.62, 1.77, 132.35, 1.19, 3.08, 0.32, 285.9, 1.22, 3.3, 0.09, 4.6, 0.07, 2.58, 0.41, 3.98000000, 7.00000000, 11.20000000, 53.60000000, 810.00000000, 8.65129262, 12.70083385
IC0540, 9.50285530, 7.90258960, 0.26200000, 2.50000000, Sb, 1.07151931, 3.94457302, 170.62, 90.00000000, 2023, 101, 101, , , , 14.68600000, 13.076, NaN, 17.07, 2047.50000000, 32.38400000, 29.97781672, 10.33500000, 15.43000000, 10.37500000, 14.94600000, 7.82700000, 12.80100000, 6.50300000, 9.73600000, -18.59000000, 19.31000000, 21.75, 1.97, 26.16, 4.03, 37.02, 9.65, 860.00000000, 280, 6.22000038, 3.63000026, 31.00000000, 9.31558037, 0.00748762, 0.504044, 0.497356, 0.313431, 0.23062, 0.167265, 9.83805, 0.121659, -1.08698, 0.168827, NaN, NaN, 1.6987, 0.166415, 0.41111, 1.17407, 15.81320321, 14.48014295, 13.80028433, 13.43598517, 14.77664606, 14.11232722, 13.71945744, 14.59989845, 14.59989845, 0.93282590, -10.81003109, 14.03181364, 0.02602377, 36.48271547, 0.36140377, NaN, 0.00694005, 0.00665258, 9.17059955, 0.52757173, 2.59938232, 2.97963112, 39.86682760, 9.95781408, 29.90732793, 2.43994e+08, 3.75877e+07, 2.16041e+42, 8.42019e+41, 6.72673e+41, 3.02642e+41, 0.06355491, 2022.00000000, 0.00000000, 28.8, 9, 6.1, 350.00000000, 2.00000000, 68.30000000, 2.00000000, 0.00000000, 0.00000000, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 3.33000000, 7.00000000, 16.20000000, 65.90000000, 375.00000000, 1.75894014, 3.28335492
IC0944, 13.85857590, 14.09197490, 0.10600000, 1.10000000, Sa, 1.52756606, 2.05589060, 106.48, 67.57000000, 6994.4, 298.18, 322.59, , , , 14.35200000, 12.305, 13.224, 16.791, 7119.40000000, 35.08000000, 103.75284158, 9.55300000, 15.04100000, 9.50700000, 14.52200000, 6.80500000, 12.37100000, 5.23700000, 9.13000000, 40.76000000, 12.47000000, 89.07, 3.11, 96.5, 5.58, 66.27, 11.02, 860.00000000, 680, 5.39000002, 4.17000018, 32.59999847, -10.01379967, 0.0230914, 0.201128, 0.198459, 0.125068, 0.0920239, 0.0667434, 11.2574, 0.104271, 0.413573, 0.150149, 8.52266, 0.0593436, 1.96414, 0.0735613, 0.253923, 1.18218, 15.84136352, 14.22485277, 13.47832435, 13.11505758, 14.55508231, 13.82181189, 13.39754428, 13.91326134, 13.91326134, 0.87723632, 21.38864617, 16.83817637, 0.07767265, 40.97289584, 0.45133636, 8.53157, 0.02309926, 0.02308014, 9.51147823, 0.34868880, 2.82333692, 3.19317910, 41.25154827, 11.38660526, 100.80702181, 1.00642e+10, 5.81952e+08, 5.04386e+43, 2.12789e+43, 1.95898e+43, 1.10346e+43, 2.31726367, 6907.00000000, 0.00000000, 298.2, 13.8, 23.5, 105.70000000, 2.00000000, 75.00000000, 0.00000000, 0.00000000, 0.00000000, 5.16, 0.19, 6.01, 4.2, 65.87, 1.08, 5.06, 0.15, 1087.18, 1.07, 6.92, 0.04, 6.85, 0.04, 8.7, 0.79, 4.09000000, 7.00000000, 10.10000000, 41.60000000, 317.00000000, 6.16467840, 16.41296541
IC1151, 15.97565070, 17.44148200, 0.16400000, 5.10000000, SBc, 2.23357222, 2.52929800, 32.1, 69.60000000, 2168.5, 104.94, 111.96, B, , , 13.45400000, 12.57, 12.946, 14.864, 2335.80000000, 32.66100000, 34.05649896, 10.18900000, 15.35700000, 10.15500000, 14.83900000, 6.79200000, 12.35200000, 5.00200000, 9.01000000, -3.96000000, 21.38000000, NaN, NaN, 8.64, 3.23, 7.85, 8.87, 860.00000000, 140, 5.32000023, 3.78000028, 50.29999924, -17.09609985, 0.00718563, 0.315123, 0.310942, 0.195954, 0.144181, 0.104572, 10.0209, 0.101915, -0.200551, 0.0576623, 8.40887, 0.0431561, 0.382791, 0.0171831, 0.177511, 0.781153, 14.79996014, 14.01844969, 13.62369489, 13.41805660, 14.17042328, 13.83224904, 13.58703438, 22.50904302, 22.50904302, 0.83067323, 44.35024556, 23.01217438, 1.30553525, 43.21798602, 0.27787089, 8.41127, 0.00714718, 0.00711870, 8.62019978, 0.44191678, 3.74676559, 3.81235861, 40.83347371, 9.92446641, 30.80494791, 8.54774e+07, 3.19551e+07, 2.62194e+42, 1.09398e+42, 1.85136e+42, 1.27943e+42, 0.26867969, 2192.00000000, 0.00000000, 140.3, 12.9, 11.8, 203.90000000, 0.00000000, 68.00000000, 2.00000000, 0.00000000, 0.00000000, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 2.35, 0.13, NaN, NaN, 2.65000000, 7.00000000, 16.90000000, 77.20000000, 382.00000000, 0.00000000, 0.21943310
IC1199, 16.17620000, 10.04006940, 0.22800000, 3.70000000, Sbc, 1.19124201, 2.86417797, 158.5, 74.75000000, 4726.5, 197.31, 204.51, , , , 14.49100000, NaN, 13.549, 15.999, 4857.70000000, 34.24500000, 70.63175543, 10.17700000, 15.34300000, 10.09700000, 14.80500000, 7.04000000, 12.48700000, 5.22500000, 9.12500000, 24.51000000, 13.67000000, 47.76, 2.5, 46.99, 4.4, 22.75, 9.8, 860.00000000, 480, 4.92000030, 4.30000057, 43.70000076, -16.74780083, 0.0155374, 0.435991, 0.430206, 0.271114, 0.199483, 0.144682, 10.7797, 0.102053, 0.162737, 0.0708585, 8.53268, 0.0640878, 0.991203, 0.0513154, 0.263664, 0.742965, 15.38950782, 14.14325053, 13.53609327, 13.22720780, 14.39400541, 13.82308175, 13.47295935, 17.73630762, 17.73630762, 0.91449081, -16.52567155, 17.83676193, 1.37479623, 35.11612506, 0.59132998, 8.56869, 0.01572950, 0.01565002, 9.14082474, 0.48050289, 3.29021249, 3.53862932, 41.22399191, 10.84534071, 68.25350427, 2.26291e+09, 2.11892e+08, 1.30146e+43, 5.66522e+42, 7.23267e+42, 5.11475e+42, 1.07409771, 4686.00000000, 0.00000000, 195.9, 11.3, 7.4, 339.30000000, 0.00000000, 64.50000000, 2.00000000, 0.60000000, 1.10000000, 4.21, 0.65, 6.06, 2.55, 31.59, 1.19, 2.58, 0.23, 1225.34, 1.26, 4.23, 0.09, 4.36, 0.07, 2.55, 0.62, 3.97000000, 7.00000000, 10.90000000, 47.30000000, 351.00000000, 1.87721703, 7.63401590
IC1683, 1.37746110, 34.43700000, 0.21700000, 2.70000000, Sb, 1.31522483, 2.29086765, 171, 69.03000000, 4891, 182.16, 195.07, , , , 14.07800000, NaN, 12.336, 17.174, 5002.70000000, 34.31700000, 73.01296749, 10.18000000, 15.35400000, 10.03800000, 14.78700000, 6.50900000, 12.23500000, 4.02700000, 8.52800000, 39.85000000, 13.03000000, 93.13, 2.39, 96.06, 4.11, 83.49, 7.27, 860.00000000, 520, 4.96000042, 3.79000031, 72.40000153, -0.82980102, 0.015982, 0.40799, 0.402576, 0.253702, 0.186671, 0.13539, 10.7619, 0.11059, 0.537945, 0.0668146, 8.57383, 0.0497936, 2.02567, 0.286497, 0.269034, 1.11359, 15.57185364, 14.24566581, 13.56636088, 13.25284287, 14.52740942, 13.88866824, 13.49860028, 13.43998179, 13.43998179, 0.77711629, -13.21249035, 14.58660930, 0.74584647, 37.58857011, 0.28851346, 8.56374, 0.01606476, 0.01603699, 9.35153518, 0.35799331, 3.22823159, 3.83368094, 41.57508194, 10.82029485, 69.72648289, 4.82621e+09, 2.06493e+08, 1.35449e+43, 6.24255e+42, 1.23096e+43, 1.60905e+43, 3.37900943, 4820.00000000, 0.00000000, 193, 10.3, 7.6, 15.60000000, 2.00000000, 54.80000000, 0.00000000, 0.00000000, 0.00000000, 1.65, 0.36, 2.07, 1.22, 264.32, 1.68, 2.38, 0.09, 1196.75, 1.11, 1.99, 0.12, 3.31, 0.07, 1.33, 0.21, 4.34000000, 7.00000000, 9.80000000, 48.00000000, 785.00000000, 6.10320568, 12.20641135
IC2247, 8.26641050, 23.19960150, 0.22800000, 4.00000000, Sbc, 1.82389570, 6.76082975, 149.39, 90.00000000, 4283.8, 180.91, 180.91, , , , 14.04700000, 12.692, 12.671, 16.104, 4348.20000000, 34.01300000, 63.47460398, 9.72400000, 15.12500000, 9.59200000, 14.55900000, 6.43700000, 12.17500000, 4.64800000, 8.83300000, 36.18000000, 11.68000000, 71.82, 2.31, 74.24, 4.34, 72.45, 9.28, 860.00000000, 500, 4.79000034, 3.85000007, 39.40000153, 9.44311047, 0.0154429, 0.436057, 0.430271, 0.271155, 0.199513, 0.144703, 10.4386, 0.110548, 0.233891, 0.145963, 8.50819, 0.0408138, 1.56448, 0.0846089, 0.563862, 1.4222, 15.89889321, 14.59295501, 13.87160558, 13.48341061, 14.88658304, 14.22139554, 13.78248996, 21.00696764, 21.00696764, 0.96375310, 39.39185493, 53.09799749, 0.90410775, 58.74672062, 0.89448651, 8.50218, 0.01431079, 0.01438023, 8.86615811, 0.56751005, 3.17334982, 3.39696588, 41.02200121, 10.77567376, 62.02869972, 2.95693e+09, 1.7286e+08, 1.63142e+43, 7.44993e+42, 1.04096e+43, 7.1872e+42, 1.50931275, 4254.00000000, 0.00000000, 187.1, 8.9, 18.8, 328.50000000, 2.00000000, 77.70000000, 2.00000000, 0.00000000, 0.00000000, 2.91, 0.17, 3.69, 2.11, 66.84, 1.13, 2.62, 0.13, 746.43, 1.12, 4.42, 0.07, 4.04, 0.07, 2.79, 0.46, 4.01000000, 7.00000000, 8.70000000, 43.30000000, 438.00000000, 10.76767278, 16.27114998
IC2487, 9.50255510, 20.09090160, 0.21100000, 3.10000000, Sb, 1.83653834, 3.97191549, 164.68, 90.00000000, 4338.7, 169.41, 169.41, , , , 14.18500000, 12.813, 13.488, 15.162, 4401.80000000, 34.03400000, 64.09143566, 10.12300000, 15.32400000, 10.04500000, 14.78500000, 6.85400000, 12.36300000, 5.22700000, 9.11900000, 22.72000000, 14.13000000, 50.12, 2.49, 54.37, 4.67, 32.92, 10.59, 860.00000000, 480, 6.17000065, 3.90000022, 33.00000000, 6.71146011, 0.0155351, 0.407297, 0.401892, 0.253271, 0.186354, 0.13516, 10.5939, 0.120517, 0.166782, 0.0771087, 8.51625, 0.0473492, 1.10969, 0.0331798, 0.387944, 0.928248, 15.77042362, 14.50194652, 13.89056196, 13.56363672, 14.75653928, 14.17641279, 13.82223442, 19.45126354, 19.45126354, 0.94849220, -16.75575927, 20.76708419, 0.86383278, 43.77925857, 0.62000446, 8.49021, 0.01438357, 0.01422584, 8.92051984, 0.49960374, 3.28292371, 3.48704086, 41.11206543, 10.65243957, 62.34770580, 2.1877e+09, 1.87908e+08, 1.14136e+43, 4.95915e+42, 7.16292e+42, 4.26006e+42, 0.89461225, 4310.00000000, 0.00000000, 170.4, 9.7, 17.1, 162.90000000, 2.00000000, 77.90000000, 2.00000000, 0.00000000, 0.00000000, 3.82, 0.26, 4.81, 2.74, 30.46, 1.12, 3.83, 0.09, 360.23, 1.06, 4.92, 0.07, 5.96, 0.05, 5.36, 0.54, 3.99000000, 7.00000000, 11.90000000, 45.60000000, 311.00000000, 4.07107169, 10.34272268
IC4566, 15.61171110, 43.53935410, 0.11700000, 2.50000000, SABb, 1.35207256, 1.52054753, 161.46, 51.56000000, 5751, 133.29, 170.18, B, , , 14.11700000, 12.706, NaN, 16.96, 5982.30000000, 34.69300000, 86.81604556, 10.01600000, 15.27300000, 10.01000000, 14.77400000, 7.36700000, 12.66100000, 5.69700000, 9.36200000, 18.04000000, 12.66000000, 51.82, 2.62, 55.87, 4.59, 39.57, 10, 860.00000000, 460, 6.01000059, 3.89000019, 69.19999695, -16.90990067, 0.0191433, 0.222696, 0.219741, 0.13848, 0.101892, 0.0739006, 11.0199, 0.101176, 0.149862, 0.13895, 8.55198, 0.0679942, 1.40576, 0.0993071, 0.189518, 0.863329, 15.76565814, 14.24231698, 13.53889429, 13.20063710, 14.54983444, 13.85720206, 13.46779821, 15.17179657, 15.17179657, 0.87031696, -14.24543558, 19.64453910, 0.53358285, 39.85035075, 0.89868662, 8.53938, 0.01856817, 0.01858339, 9.32620222, 0.29690941, 2.95486275, 3.20724668, 41.05167260, 11.04831958, 80.74927527, 3.75539e+09, 3.08524e+08, 2.1128e+43, 8.591e+42, 7.49077e+42, 4.63502e+42, 0.97335475, 5537.00000000, 0.00000000, 221.3, 10.8, 13.3, 145.00000000, 0.00000000, 53.90000000, 2.00000000, 0.00000000, 0.00000000, 5.75, 4212.51, 11.04, 5.61, 34.38, Inf, 3.22, 0.07, 1207.18, 1.06, 6.27, 0.08, 4.8, 0.05, -5.77, 1.3534e+13, 4.01000000, 7.00000000, 10.50000000, 41.30000000, 256.00000000, 1.39673237, 10.30561994
