CALIFA_name,Alias
11fe,HGGK640
14J,M82
2,M82
2MASSXJ22532475,2MASXJ22532475+0447583
2MASXJ01331766+1319567,UGC1110
2MASXJ08374557,2MASXJ08374557+4928400
2MASXJ09065870,2MASXJ09065870+2047103
2MASXJ09591230,2MASXJ09591230-0900095
2MASXJ12095669,2MASXJ12095669+4705461
2MASXJ15024995+4847010,2MASXJ15024995+4847010
2MASXJ15024995+4847010-2,2MASXJ15024995+4847010
2MASXJ15024995+4847010_comb,2MASXJ15024995+4847010
2MASXJ15393305+3205382,2MASXJ15393305+3205382
2MASXJ15393305+3205382-2,2MASXJ15393305+3205382
2MASXJ15393305+3205382_comb,2MASXJ15393305+3205382
2MASXJ15570268+3725001,2MASXJ15570268+3725001
2MASXJ16152860,2MASXJ16152860+1913344
ARP118,NGC1143
ARP180,MCG-01-13-034
ARP220,IC4553
ASAS14my,NGC3774
ASAS15cb,2MASXJ12395021+0347491
ASAS15cd,2MASXJ09591475+1259161
ASAS15db,NGC5996
ASAS15dd,MCG+03-40-032
ASASSN-14in,2MASXJ18242915+5226380
ASASSN-15fs,2MASXJ18584064+4328060
ASASSN15fj,2MASXJ17100856+7443426
ASASSN15fs,2MASXJ18584064+4328060
Arp141,2MASXJ07142057+7328502
Arp141_b,2MASXJ07142032+7328242
Arp142,NGC2937
Arp143,NGC2445
Arp148,Arp148
Arp70,UGC934
BKD2008WR209,NGC3310
BKD2008WR346,IC225
CGCG004035,2MASXJ08281803+0017219
CGCG008-023,2MASXJ10011189+0019458
CGCG115-018aF1,UGC3555
CGCG115-018aF2,UGC3555
CGCG163-062,MCG+05-34-053
CGCG229-009,2MASXJ18580350+4356090
CGCG229-010_comb,2MASXJ18584064+4328060
CGCG242-073,MCG+08-21-090
CGCG251-041,MCG+08-30-048
CGCG429-012,MCG+02-57-004
CGCG452-052AF1,MCG+03-57-031
CGCG452-052AF2,MCG+03-57-031
CGCG452-052AF3,MCG+03-57-031
CGCG452-052B1,2MASXJ22415846+2016211
CGCG452-052B2,2MASXJ22415846+2016211
CGCG476117,MCG+04-55-047
CGCG536-030,MCG+07-03-031
CGCG97026,Mrk181
CGCG97027,MCG+03-30-021
CGCG97036_comb,2MASXJ11385100+1936053
CGCG97036c,2MASXJ11385100+1936053
CGCG97036d,2MASXJ11385100+1936053
CGCG97041_comb,MCG+03-30-030
CGCG97041c,MCG+03-30-030
CGCG97041d,MCG+03-30-030
CGCG97062_comb,2MASXJ11421476+1958350
CGCG97062a,2MASXJ11421476+1958350
CGCG97062b,2MASXJ11421476+1958350
CGCG97063_comb,2MASXJ11421561+2002550
CGCG97063a,2MASXJ11421561+2002550
CGCG97063b,2MASXJ11421561+2002550
CGCG97068,2MASXJ11422448+2007100
CGCG97072_comb,MCG+03-30-055
CGCG97072a,MCG+03-30-055
CGCG97072b,MCG+03-30-055
CGCG97079,2MASXJ11431309+2000175
CGCG97114,[GCB2003]BIG
CGCG97120_comb,NGC3860
CGCG97120c,NGC3860
CGCG97120d,NGC3860
CGCG97121,UGC6719
CSP13N,NGC2949
CSP14acx,UGC12850
CSS140501,SDSSJ170413.29+174857.7
CygA,MCG+07-41-003
ESO539-G014,ESO539-14
ESO540-G003,ESO540-3
FGC1287a,2MASXJ11421561+2002550
FGC1287b,FGC1287b
FGC175A,2MASXJ12462478+1156577
GIN010,2MASXJ00425466-0913493
HDF-N3,[T2003]1126
IC0159,
IC0208,
IC0307,
IC0480,
IC0485,
IC0540,
IC0674,
IC0776,
IC0781,
IC0851,
IC0944,
IC0994,
IC0995,
IC10,
IC1014,
IC1078,
IC1079,
IC1151,
IC1199,
IC1256,
IC1481,
IC1528,
IC1602,
IC1652,
IC1683,
IC1689,
IC1755,
IC2095,
IC2098,
IC2101,
IC2247,
IC2341,
IC2361,
IC2373,
IC2378,
IC2402,
IC2407,
IC2481,
IC2487,
IC2604,
IC3065,
IC3328,
IC342,
IC342field1,
IC342field2,
IC3586,
IC3598,
IC3631,
IC3652,
IC391,
IC3918,
IC4215,
IC4526,
IC4534,
IC4566,
IC4582,
IC5309,
IC5376,
IC701,
IZw45,NGC4774
IZw45_b,LEDA2087677
KU0210-078,MCG-01-06-070
KUG0210-078,MCG-01-06-070
KUG1349+143,MCG+02-35-020
LSBCF560-04,MCG+03-20-011
LSQ12gef,2MASXJ01403375+1830406
LSQ13vy,2MASXJ16065563+0300046
LSQ14Q,LEDA1530175
LSQ14azy,2MASXJ11123493+1204206
LSQ15aae,2MASXJ16301506+0555514
LSQ15agh,2MASXJ10525434+2335518
M31-field-0,M31
M31-field-1,M31
M31-field-2,M31
M31-field-4,M31
M31-field-5,M31
M31-field-6,M31
M31field6,M31
M64NW,M64
M64SE,M64
M82,M82
M82NucS,M82
M82NucSb,M82
M82NucSc,M82
M82NucSd,M82
M82NucSe,M82
M82NucSf,M82
MCG+01-59-041,
MCG+05-30-111,
MCG+07-17-002,
MCG+08-19-17,
MCG+08-36-16,
MCG+09-18-064,
MCG+09-22-53,
MCG+10-17-007,
MCG-01-01-012,
MCG-01-09-006,
MCG-01-10-015,
MCG-01-10-019,
MCG-01-33-007,
MCG-01-52-012,
MCG-01-54-016,
MCG-02-02-030,
MCG-02-02-040,
MCG-02-02-086,
MCG-02-03-015,
MCG-02-06-016,
MCG-02-08-014,
MCG-02-51-004,
MCG0258008,MCG+02-58-008
MGC+07-05-39,
MGC+08-01-03,
MGC+08-10-07,
MGC+11-08-25,
MGC+11-10-34,
Mrk1418,MCG+08-18-021
Mrk1423,MCG+10-14-033
N0338,NGC338
N5907f3a,NGC5906
N7814f1a,NGC7814
N7814f2a,NGC7814
N7814f2b,NGC7814
N7814f2c,NGC7814
N7814f3a,NGC7814
N7814f3b,NGC7814
N7814f3c,NGC7814
N7814f3d,NGC7814
N7814f3e,NGC7814
N7814f3g,NGC7814
N7814f3h,NGC7814
N7814f3i,NGC7814
N7814f3j,NGC7814
N891f1a,NGC891
N891f2a,NGC891
N891f3a,NGC891
N891f3b,NGC891
N891f4a,NGC891
N891f4b,NGC891
N891f5a,NGC891
N891f5b,NGC891
N891f5c,NGC891
N891f6a,NGC891
N891f6b,NGC891
N891f6c,NGC891
N891f6d,NGC891
N891f6e,NGC891
NGC0001,
NGC0014,
NGC0023,
NGC0036,
NGC0155,
NGC0160,
NGC0165,
NGC0169,
NGC0171,
NGC0177,
NGC0180,
NGC0192,
NGC0197,
NGC0214,
NGC0216,
NGC0217,
NGC0234,
NGC0237,
NGC0257,
NGC0309,
NGC0364,
NGC0384,
NGC0426,
NGC0429,
NGC0444,
NGC0447,
NGC0472,
NGC0477,
NGC0495,
NGC0496,
NGC0499,
NGC0504,
NGC0507,
NGC0508,
NGC0515,
NGC0517,
NGC0523,
NGC0528,
NGC0529,
NGC0548,
NGC0551,
NGC0570,
NGC0647,
NGC0660-1,NGC0660
NGC0660-2,NGC0660
NGC0675,
NGC0677,
NGC0681,
NGC0693,
NGC0716,
NGC0731,
NGC0741,
NGC0755,
NGC0768,
NGC0774,
NGC0776,
NGC0781,
NGC0787,
NGC0810,
NGC0825,
NGC0833,
NGC0835,
NGC0842,
NGC0873,
NGC0924,
NGC0932,
NGC0938,
NGC0941,
NGC0955,
NGC0962,
NGC0976,
NGC0991,
NGC1026,
NGC1041,
NGC1056,
NGC1060,
NGC1070,
NGC1093,
NGC1094,
NGC1132,
NGC1142,
NGC1167,
NGC1211,
NGC1259,
NGC1260,
NGC1270,
NGC1271,
NGC1277,
NGC1281,
NGC1324,
NGC1349,
NGC1361,
NGC1542,
NGC1550,
NGC1590,
NGC1645,
NGC1656,
NGC1659,
NGC1665,
NGC1666,
NGC1667,
NGC1677,
NGC2253,
NGC2276N1,NGC2276
NGC2276N2,NGC2276
NGC2276N3,NGC2276
NGC2276P1,NGC2276
NGC2276P2,NGC2276
NGC2276P3,NGC2276
NGC2276P4,NGC2276
NGC2276P5,NGC2276
NGC2315,
NGC2333,
NGC2347,
NGC2410,
NGC2431,
NGC2445,
NGC2449,
NGC2476,
NGC2480,
NGC2481,
NGC2484,
NGC2486,
NGC2487,
NGC2507,
NGC2513,
NGC2522,
NGC2526,
NGC2530,
NGC2540,
NGC2543,
NGC2553,
NGC2554,
NGC2558,
NGC2565,
NGC2572,
NGC2577,
NGC2592,
NGC2595,
NGC2596,
NGC2604,
NGC2623,
NGC2638,
NGC2639,
NGC2691,
NGC2730,
NGC2748,
NGC2748-1,
NGC2748-2,
NGC2765,
NGC2767,
NGC2771,
NGC2780,
NGC2787,
NGC2793,
NGC2805,
NGC2880,
NGC2906,
NGC2916,
NGC2918,
NGC2926,
NGC3021,
NGC3057,
NGC3106,
NGC3158,
NGC3160,
NGC3182,
NGC3220,
NGC3227f1,NGC3227
NGC3227f2,NGC3227
NGC3227f3,NGC3227
NGC3300,
NGC3303,
NGC3323,
NGC3353,
NGC3353short,
NGC3381,
NGC3395,
NGC3396,
NGC3406NED01,2MASXJ10514368+5101195
NGC3451,
NGC3499,
NGC3600,
NGC3605,
NGC3610,
NGC3614,
NGC3615,
NGC3619,
NGC3687,
NGC3773,
NGC3811,
NGC3815,
NGC3842,
NGC3847,
NGC3893,
NGC3896,
NGC3905,
NGC3913,
NGC3945,
NGC3990,
NGC3991,
NGC3994,
NGC4003,
NGC4037,
NGC4047,
NGC4149,
NGC4185,
NGC4210,
NGC4211NED01,NGC4211
NGC4211NED02,UGC7277S
NGC4291,
NGC4384,
NGC4388f1,NGC4388
NGC4388f2,NGC4388
NGC4390,
NGC4415,
NGC4431,
NGC4470,
NGC4479,
NGC4486-2,NGC4486
NGC4486-3,NGC4486
NGC4486-4,NGC4486
NGC4486-5,NGC4486
NGC4486-6,NGC4486
NGC4486-7,NGC4486
NGC4486B,UGCA283
NGC4630,
NGC4644,
NGC4676A,IC819
NGC4676B,IC820
NGC4711,
NGC4736,
NGC4816,
NGC4841A,NGC4841
NGC4861a,NGC4861
NGC4861b,NGC4861
NGC4866,
NGC4874,
NGC4956,
NGC4961,
NGC5000,
NGC5016,
NGC5029,
NGC5056,
NGC5145,
NGC5157,
NGC5198,
NGC5205,
NGC5216,
NGC5218,
NGC5267,
NGC5289,
NGC5320,
NGC5338,
NGC5339,
NGC5358,
NGC5376,
NGC5378,
NGC5379,
NGC5394,
NGC5395,
NGC5402,
NGC5406,
NGC5410,
NGC5421NED02,
NGC5423,
NGC5425,
NGC5426,
NGC5427,
NGC5434B,
NGC5439,
NGC5443,
NGC5468,
NGC5473,
NGC5475,
NGC5480,
NGC5481,
NGC5485,
NGC5513,
NGC5519,
NGC5520,
NGC5522,
NGC5525,
NGC5532,
NGC5533,
NGC5546,
NGC5549,
NGC5557,
NGC5559,
NGC5576,
NGC5580,
NGC5587,
NGC5598,
NGC5602,
NGC5610,
NGC5611,
NGC5614,
NGC5616,
NGC5622,
NGC5623,
NGC5630,
NGC5631,
NGC5633,
NGC5635,
NGC5642,
NGC5656,
NGC5657,
NGC5659,
NGC5665,
NGC5675,
NGC5682,
NGC5684,
NGC5687,
NGC5689,
NGC5714,
NGC5720,
NGC5730,
NGC5731,
NGC5732,
NGC5735,
NGC5739,
NGC5772,
NGC5784,
NGC5794,
NGC5797,
