!! request processed by HyperLeda Tue Feb  1 20:12:14 2022
!! Number of lines in uploaded file: 673
                  name                  |     objname     |     al2000      |     de2000      |      type       |       bar       |      ring       |    multiple     |        t        |     logd25      |     logr25      |    e_logr25     |       pa        |       bt        |       it        |      vmaxg      |       m21       |      mfir       |        v        |       ag        |      incl       |      vrot       |      vvir       |      modz       |
2MASXJ01331766+1319567                  |  UGC01110       | 1.5549145       | 13.3322413      | Sc              | B               |                 |                 | 5.9             |  1.226          |  0.658          |     0.03        | 176.69          | 15.223          | 13.975          | 90.83           | 15.947          |                 | 2767.3          | 0.236           | 82.64           | 91.58           | 2749.1          | 33.005          |
PGC3089961                              |  PGC3089961     | 9.1163077       | 20.7862729      | E               |                 |                 |                 | -5              |   0.96          |   0.18          |    0.106        | 100.99          | 16.047          | 13.965          |                 |                 |                 | 24090.7         | 0.198           |   90            |                 | 24109.1         | 37.791          |
NGC1143                                 |  NGC1143        | 2.9193685       | -0.1778504      | E               |                 |                 |                 | -4.3            |  1.086          |  0.252          |    0.027        | 110.65          | 14.268          | 13.485          |                 |                 |                 | 8446.3          | 0.312           |   90            |                 | 8322.1          | 35.423          |
ARP180                                  |  PGC016261      | 4.8901744       | -4.7925158      |                 |                 |                 |                 |                 |  1.079          |  0.381          |    0.027        | 19.5            | 15.62           | 13.3            |                 |                 |                 | 4229            | 0.14            | 67.59           |                 | 4054.5          | 33.845          |
ARP220                                  |  IC1127         | 15.5825825      | 23.5028574      | Sm              |                 |                 |                 | 9.3             |  1.044          |  0.189          |    0.026        | 96.46           | 13.955          |                 | 147.44          | 14.244          | 8.283           | 5427            | 0.22            | 56.98           | 175.83          | 5662.2          | 34.585          |
IC0225                                  |  IC0225         | 2.4411888       | 1.1605165       | E               |                 | R               |                 | -4.9            |  1.004          |  0.052          |    0.023        | 157.79          | 14.831          | 13.486          |                 |                 |                 | 1537.6          | 0.135           | 38.53           |                 | 1432.2          | 31.639          |
CGCG163-062                             |  PGC051748      | 14.4865789      | 30.0772529      | SBc             | B               | R               |                 | 5               |  0.831          |  0.009          |    0.026        |                 | 15.381          | 14.198          | 13.89           | 17.97           |                 | 4368.7          | 0.092           | 11.99           | 66.86           | 4603.3          | 34.132          |
CGCG242-073                             |  PGC036230      | 11.6798224      | 46.5405076      | E               |                 |                 |                 | -5              |  1.076          |  0.118          |      0.1        | 160.16          | 15.082          | 13.275          |                 |                 |                 | 16065.4         | 0.087           | 62.56           |                 | 16273.7         | 36.905          |
CGCG251-041                             |  PGC058834      | 16.719298       | 45.8457457      | S0              |                 |                 |                 | -2              |  1.079          |  0.361          |      0.1        | 112.58          | 14.815          | 13.553          |                 |                 |                 | 5274.7          | 0.072           |   90            |                 | 5576.7          | 34.553          |
CGCG429-012                             |  PGC069310      | 22.6138512      | 14.386919       | E-S0            |                 |                 |                 | -3              |  0.917          |  0.321          |     0.07        | 4.73            | 15.752          | 14.089          | 115.14          | 17.299          |                 | 5275            | 0.286           |   90            | 115.14          | 5371.4          | 34.471          |
CGCG536-030                             |  PGC004901      | 1.3525682       | 40.4702507      | Sc              |                 |                 |                 | 4.9             |  0.874          |   0.19          |    0.028        | 30.5            | 14.752          |                 |                 |                 | 13.085          | 5836            | 0.227           | 51.27           |                 | 5955.5          | 34.693          |
ESO539-G014                             |  ESO539-014     | 0.5244956       | -19.76127       | Scd             |                 |                 |                 | 6.7             |   1.25          |  0.959          |    0.021        | 0.29            | 15.68           | 13.967          | 153.76          | 15.7            |                 | 7092.7          | 0.091           |   90            | 153.76          | 6956.1          | 35.029          |
ESO540-G003                             |  ESO540-003     | 0.5942992       | -20.1253039     | SABb            | B               | R               |                 | 2.9             |  1.165          |  0.336          |    0.025        | 154.4           | 13.863          | 12.09           | 150.14          | 14.125          |                 | 3293.7          | 0.118           | 66.87           | 163.27          | 3153.1          | 33.303          |
IC0159                                  |  IC0159         | 1.7736288       | -8.6366794      | SBb             | B               |                 | M               | 3.5             |  1.131          |  0.258          |    0.022        | 27.55           | 14.181          | 13.171          | 107.78          | 15.75           | 13.452          | 3917.1          | 0.122           | 59.3            | 125.35          | 3785.9          | 33.709          |
IC0208                                  |  IC0208         | 2.1410404       | 6.3949556       | Sbc             |                 | R               |                 | 3.6             |  1.122          |   0.07          |    0.029        | 167.85          | 14.727          | 12.32           | 54.38           | 16.015          |                 | 3517.3          | 0.235           | 32.62           | 100.88          | 3446.1          | 33.49           |
IC0307                                  |  IC0307         | 3.2292244       | -0.2414565      | Sa              | B               | R               | M               | 1.1             |  1.203          |  0.425          |    0.027        | 67.23           | 14.504          | 12.621          | 300.8           | 16.45           | 13.488          | 7788.7          | 0.418           | 78.6            | 306.84          | 7657.2          | 35.24           |
IC0480                                  |  IC0480         | 7.923108        | 26.7426992      | Sbc             |                 |                 |                 | 4               |  1.243          |  0.726          |    0.025        | 167.29          | 15.035          | 13.199          | 152.52          | 15.517          | 12.117          | 4618.5          | 0.183           |   90            | 152.52          | 4635.1          | 34.151          |
IC0485                                  |  IC0485         | 8.0054953       | 26.7014796      | SABa            | B               | R               | M               | 1               |  1.069          |  0.688          |     0.03        | 153.93          | 15.329          | 13.504          | 247.26          | 16.143          |                 | 8354            | 0.175           |   90            | 247.26          | 8372.3          | 35.434          |
IC0540                                  |  IC0540         | 9.5028622       | 7.9027107       | Sab             |                 |                 |                 | 2.1             |   1.03          |  0.596          |    0.048        | 170.79          | 14.692          | 13.118          |   117           | 17.077          |                 | 2041.3          | 0.262           |   90            |  117            | 2008.6          | 32.341          |
IC0674                                  |  IC0674         | 11.1850998      | 43.633019       | Sab             | B               | R               |                 | 2               |  1.138          |   0.52          |    0.028        | 121.03          | 14.356          | 12.945          | 241.85          | 15.98           |                 | 7507            | 0.064           | 85.27           | 242.68          | 7691.6          | 35.252          |
IC0701                                  |  IC0701         | 11.5168529      | 20.4689366      | Sd              | B               |                 | M               | 8.1             |  0.869          |  0.127          |    0.026        | 76.56           | 15.08           | 13.74           | 76.63           | 15.79           | 13.377          | 6144            | 0.097           | 47.04           | 104.72          | 6246.3          | 34.796          |
IC0776                                  |  IC0776         | 12.3175424      | 8.8560262       | SBd             | B               |                 | M               | 7.9             |  1.049          |  0.259          |    0.025        | 92.54           | 14.352          | 13.989          | 70.42           | 14.983          |                 | 2467.9          | 0.093           | 66.64           | 76.71           | 2548.2          | 32.839          |
IC0944                                  |  IC0944         | 13.8585742      | 14.0921046      | Sa              |                 |                 |                 | 1.1             |  1.184          |  0.313          |     0.06        | 106.54          | 14.456          | 12.395          | 299.13          | 16.013          | 13.224          | 6995.9          | 0.106           | 67.58           | 323.6           | 7153.6          | 35.093          |
IC0994                                  |  IC0994         | 14.3062835      | 11.1952368      | SABa            | B               |                 | M               | 1               |  1.165          |   0.39          |    0.029        | 12.91           | 14.621          | 12.903          |                 |                 |                 | 7324.9          | 0.139           | 75.34           |                 | 7483.3          | 35.192          |
IC0995                                  |  IC0995         | 14.2753021      | 57.81024        | Sd              | B               |                 | M               | 7.9             |  1.223          |  0.585          |    0.029        | 147.09          | 14.5            | 13.819          | 112.79          | 15.752          |                 | 3128.5          | 0.055           |   90            | 112.79          | 3417.3          | 33.49           |
IC1078                                  |  IC1078         | 14.9413874      | 9.3544975       | Sa              | B               | R               |                 | 1.1             |  0.997          |  0.087          |    0.026        | 18.98           | 14.724          | 13.394          | 65.85           | 17.315          |                 | 8587.8          | 0.176           | 37.32           | 108.6           | 8754.6          | 35.53           |
IC1079                                  |  IC1079         | 14.9433762      | 9.369763        | E               |                 |                 | M               | -4.9            |  1.164          |  0.234          |    0.027        | 81.43           | 14.65           | 12.605          |                 |                 |                 | 8717.1          | 0.175           |   90            |                 | 8884            | 35.562          |
IC1151                                  |  IC1151         | 15.9756507      | 17.4414742      | SBc             | B               |                 |                 | 5.1             |  1.349          |  0.403          |    0.027        | 31.81           | 13.452          | 12.608          | 104.87          | 14.834          | 12.946          | 2173            | 0.164           | 69.61           | 111.89          | 2392            | 32.698          |
IC1199                                  |  IC1199         | 16.1762056      | 10.0404167      | Sbc             |                 |                 |                 | 3.7             |  1.076          |  0.457          |     0.05        | 158             | 14.535          |                 | 197.31          | 15.999          | 13.549          | 4724.4          | 0.228           | 74.75           | 204.51          | 4916            | 34.263          |
IC1256                                  |  IC1256         | 17.3964765      | 26.4864529      | Sb              |                 |                 |                 | 3.4             |  1.106          |  0.233          |    0.029        | 93.08           | 14.408          | 13.076          | 148.18          | 15.186          | 13.738          | 4733            | 0.212           | 56.8            | 177.09          | 4992.4          | 34.299          |
PGC000312                               |  PGC000312      | 0.0848205       | -7.0933911      | SBb             | B               | R               |                 | 3.1             |  1.333          |  0.406          |     0.03        | 72.67           | 13.585          | 11.945          | 141.62          | 14.338          |                 | 3767.1          | 0.149           | 71.98           | 148.92          | 3704            | 33.662          |
IC1602                                  |  IC1602         | 0.9310761       | -9.9856584      | E               |                 |                 |                 | -4              |  1.032          |  0.128          |    0.024        | 149.03          | 15.437          | 12.801          |                 |                 |                 | 16409.2         | 0.161           | 56.97           |                 | 16300.8         | 36.911          |
IC1652                                  |  IC1652         | 1.2489554       | 31.9485189      | S0-a            |                 |                 |                 | -0.1            |  1.121          |  0.881          |    0.059        | 169.6           | 14.227          | 12.439          |                 |                 |                 | 5067            | 0.237           |   90            |                 | 5150            | 34.37           |
IC1683                                  |  IC1683         | 1.3774611       | 34.437          | Sb              |                 |                 |                 | 2.7             |  1.119          |   0.36          |    0.057        | 173.03          | 14.127          |                 | 182.16          | 17.174          | 12.336          | 4881.8          | 0.217           | 69.03           | 195.07          | 4972.8          | 34.299          |
IC1755                                  |  IC1755         | 1.9527195       | 14.549887       | SABa            | B               |                 |                 | 1               |  1.163          |  0.596          |    0.054        | 154.97          | 14.714          | 13.126          | 247.56          | 16.641          |                 | 7911.2          | 0.211           |   90            | 247.56          | 7886.6          | 35.299          |
IC2095                                  |  IC2095         | 4.8127108       | -5.1247489      | Sc              |                 |                 |                 | 6               |  1.164          |  0.871          |    0.028        | 55.2            | 16.13           | 15              | 68.65           | 16.55           |                 | 2847            | 0.192           |   90            | 68.65           | 2671.4          | 32.94           |
IC2098                                  |  IC2098         | 4.8456343       | -5.4185662      | Sc              |                 |                 |                 | 5.7             |  1.389          |  0.865          |    0.026        | 96.47           | 14.66           | 12.844          | 148.44          | 15.36           | 12.948          | 2822.2          | 0.208           |   90            | 148.44          | 2645.1          | 32.94           |
IC2101                                  |  IC2101         | 4.8617334       | -6.2314848      | SBc             | B               |                 |                 | 5               |  1.246          |  0.667          |    0.025        | 159.48          | 14.42           | 13.025          | 168.58          | 15.549          | 12.069          | 4525.2          | 0.209           | 85.66           | 169.06          | 4344.4          | 33.993          |
UGC04299                                |  UGC04299       | 8.2664118       | 23.199604       | Sbc             |                 |                 |                 | 4               |  1.261          |   0.83          |    0.037        | 149.14          | 14.038          | 12.735          | 182.96          | 16.074          | 12.671          | 4292.7          | 0.228           |   90            | 182.96          | 4299.1          | 33.972          |
IC2341                                  |  IC2341         | 8.394841        | 21.4348704      | E-S0            |                 |                 |                 | -3.1            |  1.073          |  0.315          |    0.026        | 2.58            | 14.639          | 12.432          |                 |                 |                 | 5132.6          | 0.212           |   90            |                 | 5133.3          | 34.37           |
IC2361                                  |  IC2361         | 8.4290284       | 27.8745451      | SBab            | B               |                 |                 | 2               |  1.194          |  0.491          |    0.028        | 77.78           | 14.764          | 13.412          | 106.44          | 17.173          |                 | 2078.2          | 0.162           | 81.63           | 107.58          | 2112.8          | 32.466          |
IC2378                                  |  IC2378         | 8.4754565       | 30.4312978      | E-S0            |                 |                 | M               | -3.1            |  1.118          |  0.156          |    0.027        | 23.18           | 14.377          | 12.863          |                 |                 |                 | 15085.2         | 0.206           | 58.26           |                 | 15133.9         | 36.746          |
IC2402                                  |  IC2402         | 8.7997317       | 31.7856829      | S0-a            |                 |                 |                 | -1.1            |  0.912          |  0.038          |    0.028        |                 | 15.405          | 13.253          |                 |                 |                 | 20178.1         | 0.142           | 26.31           |                 | 20242.1         | 37.395          |
IC2481                                  |  IC2481         | 9.4580014       | 3.9296091       | SBbc            | B               |                 |                 | 3.9             |   0.92          |  0.252          |    0.026        | 160.89          | 14.485          | 13.312          | 113.84          | 15.76           | 13.557          | 5325.9          | 0.201           | 58.37           | 133.7           | 5272.2          | 34.421          |
IC2487                                  |  IC2487         | 9.502554        | 20.0909112      | Sb              |                 | R               |                 | 3.1             |  1.264          |  0.599          |    0.022        | 164.34          | 14.131          | 12.855          | 171.14          | 14.895          | 13.488          | 4339.1          | 0.211           |   90            | 171.14          | 4366.5          | 34.013          |
IC2604                                  |  IC2604         | 10.8236304      | 32.7727539      | SBm             | B               |                 | M               | 9               |  1.073          |   0.06          |     0.03        | 39.6            | 14.855          | 13.841          | 63.12           | 14.97           |                 | 1629.5          | 0.14            | 32.59           | 117.17          | 1760.4          | 32.067          |
IC3065                                  |  IC3065         | 12.2534916      | 14.4328504      | S0              |                 |                 |                 | -2.2            |  1.095          |  0.151          |    0.071        | 178.91          | 14.389          | 13.077          |                 |                 |                 | 995.5           | 0.159           | 53.93           |                 | 1098.8          | 31.03           |
IC3586                                  |  IC3586         | 12.6152355      | 12.5200553      | E-S0            |                 |                 |                 | -3              |  1.063          |  0.064          |    0.039        | 72.69           | 14.516          | 13.45           |                 |                 |                 | 1716.6          | 0.193           | 36.86           |                 | 1824.9          | 32.115          |
IC3598                                  |  IC3598         | 12.6225243      | 28.2081839      | Sab             |                 | R               |                 | 1.9             |   1.15          |  0.544          |    0.023        | 139.1           | 15.008          | 12.731          | 225.78          | 17.677          |                 | 7667.2          | 0.076           |   90            | 225.78          | 7841.1          | 35.287          |
IC3631                                  |  IC3631         | 12.6633362      | 12.9739372      | S0-a            |                 |                 |                 | -1.2            |  1.024          |  0.167          |    0.025        | 91.03           | 14.219          | 13.151          | 31.14           | 18.68           |                 | 2804.5          | 0.165           | 54.13           | 38.42           | 2916.6          | 33.129          |
IC3652                                  |  IC3652         | 12.6829341      | 11.1844663      | E               |                 |                 |                 | -4.8            |  0.994          |  0.029          |    0.025        |                 | 14.306          | 13.282          |                 |                 |                 | 629.6           | 0.127           | 28.4            |                 | 734.3           | 30.185          |
IC3918                                  |  IC3917         | 12.9482037      | 22.3735616      | Sc              |                 |                 |                 | 5.1             |  0.741          |   0.14          |    0.025        | 163.85          | 15.624          | 14.981          | 107.06          | 16.425          |                 | 6655.2          | 0.146           | 44.66           | 152.31          | 6817.3          | 34.989          |
IC4215                                  |  IC4215         | 13.271365       | 25.405678       | Sab             |                 |                 |                 | 2               |  1.191          |   0.63          |    0.028        | 45.51           | 14.627          | 13.246          | 158.87          | 18.131          | 13.842          | 3883.6          | 0.071           |   90            | 158.87          | 4068.2          | 33.866          |
UGC09713                                |  UGC09713       | 15.1116059      | 23.6419503      | S0              | B               |                 |                 | -1.8            |   1.16          |   0.26          |    0.025        | 163.94          | 14.471          | 12.621          |                 |                 |                 | 4861.4          | 0.217           | 70.25           |                 | 5088.4          | 34.352          |
IC4566                                  |  IC4566         | 15.6117113      | 43.5393358      | Sb              | B               |                 |                 | 2.5             |  1.131          |  0.182          |    0.025        | 162.87          | 14.113          | 12.656          | 133.29          | 16.96           |                 | 5582            | 0.117           | 51.56           | 170.18          | 5870.7          | 34.662          |
IC5309                                  |  IC5309         | 23.3198972      | 8.1093056       | Sb              |                 |                 |                 | 3.1             |  1.109          |  0.322          |    0.025        | 25              | 14.369          | 12.564          | 127.07          | 16.456          | 13.604          | 4184.7          | 0.337           | 65.46           | 139.68          | 4224.4          | 33.951          |
IC5376                                  |  IC5376         | 0.0221556       | 34.5257222      | Sab             |                 |                 |                 | 2               |  1.215          |   0.57          |    0.028        |  4              | 14.61           |                 | 202.17          | 15.574          |                 | 5029.2          | 0.31            |   90            | 202.17          | 5162.4          | 34.37           |
KUG1349+143                             |  IC0944         | 13.8585742      | 14.0921046      | Sa              |                 |                 |                 | 1.1             |  1.184          |  0.313          |     0.06        | 106.54          | 14.456          | 12.395          | 299.13          | 16.013          | 13.224          | 6995.9          | 0.106           | 67.58           | 323.6           | 7153.6          | 35.093          |
PGC021757                               |  PGC021757      | 7.7718366       | 18.3687015      | E               |                 |                 |                 | -4              |  1.018          |  0.217          |     0.03        | 176.36          | 14.713          | 12.813          |                 |                 |                 | 15771.6         | 0.162           | 86.5            |                 | 15741           | 36.833          |
MCG+07-17-002                           |  PGC022212      | 7.9289904       | 41.2038856      | E               |                 |                 |                 | -5              |  0.921          |  0.231          |    0.027        | 128.68          | 15.951          | 13.973          |                 |                 |                 | 22262           | 0.183           |   90            |                 | 22352.8         | 37.621          |
MCG+08-19-17                            |  PGC030128      | 10.3161078      | 46.4540955      | Sbc             |                 |                 |                 | 4.3             |  0.539          |  0.127          |    0.025        | 68.67           | 15.979          | 14.994          |                 |                 |                 | 8972.5          | 0.049           | 43.07           |                 | 9143.2          | 35.633          |
MCG+09-18-064                           |  PGC033110      | 10.9961166      | 53.8036369      | E               |                 |                 |                 | -5              |  0.929          |  0.175          |    0.033        | 146.61          | 15.624          | 13.739          |                 |                 |                 | 21330.5         | 0.057           |   90            |                 | 21543.6         | 37.534          |
MCG+09-22-53                            |  PGC046714      | 13.375688       | 54.8182008      | Sb              |                 |                 |                 | 3               |  0.933          |  0.163          |    0.064        | 113.63          | 15.027          | 14.01           | 72.04           | 15.834          |                 | 3537.3          | 0.133           | 48.71           | 95.88           | 3806.2          | 33.709          |
MCG+10-17-007                           |  PGC035451      | 11.5047995      | 58.1339605      | Sm              |                 |                 |                 | 8.9             |  1.005          |  0.056          |    0.026        | 113.33          | 14.593          | 13.991          | 28.33           | 15.746          |                 | 1448.7          | 0.062           | 31.75           | 53.83           | 1685            | 31.968          |
MCG-01-01-012                           |  PGC073143      | 23.9863374      | -4.1919115      | Sb              |                 |                 |                 | 3.2             |  1.197          |  0.663          |    0.033        | 70              | 15.05           | 12.62           | 171.6           | 16.96           |                 | 5764.6          | 0.159           |   90            | 171.6           | 5719.1          | 34.601          |
MCG-01-09-006                           |  PGC011767      | 3.1467602       | -7.0405944      | S?              | B               |                 |                 | 1.4             |   1.22          |   0.52          |    0.028        | 9.59            | 14.852          | 13.295          | 204.78          | 15.934          | 13.653          | 8674.8          | 0.322           |   90            | 204.78          | 8513.6          | 35.477          |
MCG-01-10-015                           |  PGC013426      | 3.6442084       | -5.3473282      | Scd             |                 |                 |                 | 6.6             |  1.162          |  0.522          |    0.025        | 79.88           | 14.961          | 13.472          | 134.5           | 16.322          |                 | 4131            | 0.215           | 75.24           | 139.09          | 3967.8          | 33.8            |
